forecast_date;target_end_date;target;location;type;quantile;value;scenario_id
2020-10-19;2020-10-24;1 wk ahead inc death;PL;point;NA;890,9511053;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,01;846,40355;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,025;850,8583055;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,05;855,3130611;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,1;859,2728438;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,15;862,7926506;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,2;865,9213678;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,25;868,7024497;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,3;871,1745226;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,35;873,3719206;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,4;875,3251634;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,45;877,0613791;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,5;890,9511053;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,55;893,3809719;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,6;895,8108386;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,65;898,2407052;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,7;900,6705719;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,75;903,1004385;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,8;905,5303052;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,85;907,9601718;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,9;910,3900385;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,95;912,8199051;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,975;915,2497718;forecast
2020-10-19;2020-10-24;1 wk ahead inc death;PL;quantile;0,99;917,6796384;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;point;NA;2109,829094;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,01;2004,337639;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,025;2014,886785;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,05;2024,381016;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,1;2032,925823;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,15;2040,61615;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,2;2047,537445;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,25;2053,76661;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,3;2059,372858;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,35;2064,418482;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,4;2068,959543;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,45;2073,046498;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,5;2109,829094;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,55;2115,583173;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,6;2121,337253;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,65;2127,091332;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,7;2132,845411;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,75;2138,599491;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,8;2144,35357;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,85;2150,107649;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,9;2155,861729;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,95;2161,615808;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,975;2167,369887;forecast
2020-10-19;2020-10-31;2 wk ahead inc death;PL;quantile;0,99;2173,123967;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;point;NA;3040,498764;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,01;2888,473826;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,025;2903,67632;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,05;2917,358564;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,1;2929,672584;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,15;2940,755202;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,2;2950,729558;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,25;2959,706479;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,3;2967,785708;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,35;2975,057013;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,4;2981,601188;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,45;2987,490946;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,5;3040,498764;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,55;3048,791034;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,6;3057,083303;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,65;3065,375572;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,7;3073,667842;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,75;3081,960111;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,8;3090,25238;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,85;3098,54465;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,9;3106,836919;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,95;3115,129188;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,975;3123,421458;forecast
2020-10-19;2020-11-07;3 wk ahead inc death;PL;quantile;0,99;3131,713727;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;point;NA;2533,836271;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,01;2407,144458;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,025;2419,813639;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,05;2431,215902;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,1;2441,477939;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,15;2450,713773;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,2;2459,026022;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,25;2466,507047;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,3;2473,23997;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,35;2479,2996;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,4;2484,753267;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,45;2489,661567;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,5;2533,836271;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,55;2540,746734;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,6;2547,657197;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,65;2554,567659;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,7;2561,478122;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,75;2568,388584;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,8;2575,299047;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,85;2582,209509;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,9;2589,119972;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,95;2596,030434;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,975;2602,940897;forecast
2020-10-19;2020-11-14;4 wk ahead inc death;PL;quantile;0,99;2609,85136;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;point;NA;59396,74035;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,01;56426,90333;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,025;56723,88704;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,05;56991,17237;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,1;57231,72917;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,15;57448,23028;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,2;57643,08129;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,25;57818,4472;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,3;57976,27651;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,35;58118,3229;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,4;58246,16464;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,45;58361,22221;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,5;59396,74035;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,55;59558,73146;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,6;59720,72257;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,65;59882,71368;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,7;60044,70479;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,75;60206,6959;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,8;60368,68701;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,85;60530,67812;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,9;60692,66923;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,95;60854,66034;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,975;61016,65145;forecast
2020-10-19;2020-10-24;1 wk ahead inc case;PL;quantile;0,99;61178,64256;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;point;NA;140655,2729;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,01;133622,5093;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,025;134325,7856;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,05;134958,7344;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,1;135528,3882;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,15;136041,0767;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,2;136502,4963;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,25;136917,774;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,3;137291,5239;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,35;137627,8988;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,4;137930,6362;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,45;138203,0999;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,5;140655,2729;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,55;141038,8782;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,6;141422,4835;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,65;141806,0888;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,7;142189,6941;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,75;142573,2994;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,8;142956,9047;forecast
2020-10-19;2020-10-31;2 wk ahead inc case;PL;quantile;0,85;143340,51;forecast
