location_name,location,indicator,date,value,source
Belgium,BE,Weekly new hospital admissions,2020-03-12,34,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-13,95,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-14,151,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-15,221,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-16,308,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-17,433,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-18,605,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-19,792,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-20,1025,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-21,1291,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-22,1499,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-23,1679,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-24,1974,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-25,2338,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-26,2619,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-27,2912,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-28,3232,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-29,3499,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-30,3717,OWID
Belgium,BE,Weekly new hospital admissions,2020-03-31,3847,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-01,3903,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-02,3981,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-03,3896,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-04,3756,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-05,3571,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-06,3409,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-07,3334,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-08,3199,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-09,3094,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-10,3023,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-11,2913,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-12,2830,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-13,2750,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-14,2528,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-15,2381,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-16,2227,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-17,2102,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-18,1975,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-19,1925,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-20,1865,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-21,1874,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-22,1773,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-23,1664,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-24,1579,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-25,1517,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-26,1420,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-27,1365,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-28,1268,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-29,1237,OWID
Belgium,BE,Weekly new hospital admissions,2020-04-30,1186,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-01,1099,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-02,978,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-03,910,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-04,873,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-05,831,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-06,747,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-07,716,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-08,661,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-09,664,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-10,664,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-11,620,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-12,571,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-13,553,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-14,497,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-15,483,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-16,460,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-17,443,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-18,447,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-19,432,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-20,426,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-21,423,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-22,395,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-23,389,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-24,375,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-25,362,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-26,342,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-27,318,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-28,283,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-29,274,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-30,260,OWID
Belgium,BE,Weekly new hospital admissions,2020-05-31,255,OWID
Belgium,BE,Weekly new hospital admissions,2020-06-01,245,OWID
