location,type,quantile,value,target_end_date,forecast_date,target
AT,point,NA,14169,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.01,4353,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.025,5736,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.05,6974,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.1,9333,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.15,11364,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.2,11835,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.25,12266,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.3,12414,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.35,12581,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.4,13009,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.45,13622,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.5,14169,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.55,14369,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.6,14557,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.65,14927,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.7,14983,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.75,15259,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.8,16231,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.85,16892,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.9,18440,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.95,18844,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.975,21912,2022-05-28,2022-05-23,1 wk ahead inc case
AT,quantile,0.99,28703,2022-05-28,2022-05-23,1 wk ahead inc case
AT,point,NA,22,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.01,6,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.025,8,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.05,8,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.1,10,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.15,13,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.2,14,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.25,17,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.3,18,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.35,20,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.4,21,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.45,22,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.5,22,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.55,24,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.6,26,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.65,28,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.7,30,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.75,32,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.8,34,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.85,37,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.9,39,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.95,43,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.975,46,2022-05-28,2022-05-23,1 wk ahead inc death
AT,quantile,0.99,53,2022-05-28,2022-05-23,1 wk ahead inc death
AT,point,NA,6219,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.01,0,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.025,0,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.05,75,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.1,1115,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.15,2271,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.2,3166,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.25,3772,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.3,4293,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.35,4860,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.4,5285,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.45,5760,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.5,6219,2022-06-04,2022-05-23,2 wk ahead inc case
AT,quantile,0.55,6752,2022-06-04,2022-05-23,2 wk ahead inc case
