location,type,quantile,value,target_end_date,forecast_date,target
AT,point,NA,35879,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.01,12173,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.025,22133,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.05,22587,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.1,29338,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.15,30959,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.2,32355,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.25,33493,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.3,34105,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.35,34418,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.4,35002,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.45,35342,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.5,35879,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.55,36225,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.6,36610,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.65,37212,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.7,38110,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.75,38515,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.8,39135,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.85,40084,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.9,43068,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.95,44925,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.975,50025,2022-05-07,2022-05-02,1 wk ahead inc case
AT,quantile,0.99,68487,2022-05-07,2022-05-02,1 wk ahead inc case
AT,point,NA,178,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.01,91,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.025,109,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.05,117,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.1,129,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.15,135,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.2,142,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.25,150,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.3,153,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.35,161,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.4,167,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.45,172,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.5,178,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.55,183,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.6,187,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.65,188,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.7,193,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.75,197,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.8,201,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.85,209,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.9,227,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.95,242,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.975,258,2022-05-07,2022-05-02,1 wk ahead inc death
AT,quantile,0.99,269,2022-05-07,2022-05-02,1 wk ahead inc death
AT,point,NA,37601,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.01,5792,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.025,13537,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.05,16923,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.1,21883,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.15,26596,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.2,29353,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.25,31263,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.3,32915,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.35,34420,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.4,35542,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.45,36522,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.5,37601,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.55,38641,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.6,39799,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.65,40948,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.7,42239,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.75,43794,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.8,45726,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.85,48547,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.9,52758,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.95,61983,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.975,75505,2022-05-14,2022-05-02,2 wk ahead inc case
AT,quantile,0.99,93711,2022-05-14,2022-05-02,2 wk ahead inc case
AT,point,NA,162,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.01,53,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.025,66,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.05,78,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.1,95,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.15,108,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.2,118,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.25,126,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.3,134,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.35,141,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.4,148,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.45,155,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.5,162,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.55,169,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.6,177,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.65,185,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.7,192,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.75,202,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.8,212,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.85,224,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.9,243,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.95,270,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.975,291,2022-05-14,2022-05-02,2 wk ahead inc death
AT,quantile,0.99,320,2022-05-14,2022-05-02,2 wk ahead inc death
AT,point,NA,42724,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.01,3431,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.025,7796,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.05,13629,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.1,19635,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.15,24728,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.2,28933,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.25,32097,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.3,34919,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.35,37074,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.4,39094,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.45,41065,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.5,42724,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.55,44703,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.6,46629,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.65,48756,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.7,51001,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.75,53784,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.8,57153,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.85,61749,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.9,68739,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.95,84598,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.975,103295,2022-05-21,2022-05-02,3 wk ahead inc case
AT,quantile,0.99,123211,2022-05-21,2022-05-02,3 wk ahead inc case
AT,point,NA,171,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.01,34,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.025,48,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.05,62,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.1,82,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.15,97,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.2,111,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.25,121,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.3,131,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.35,141,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.4,151,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.45,162,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.5,171,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.55,181,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.6,192,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.65,203,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.7,216,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.75,229,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.8,244,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.85,262,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.9,288,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.95,324,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.975,357,2022-05-21,2022-05-02,3 wk ahead inc death
AT,quantile,0.99,397,2022-05-21,2022-05-02,3 wk ahead inc death
AT,point,NA,46707,2022-05-28,2022-05-02,4 wk ahead inc case
AT,quantile,0.01,123,2022-05-28,2022-05-02,4 wk ahead inc case
AT,quantile,0.025,2505,2022-05-28,2022-05-02,4 wk ahead inc case
