location,type,quantile,value,target_end_date,forecast_date,target
AT,point,NA,86853,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.01,60176,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.025,60440,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.05,68663,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.1,75483,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.15,79925,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.2,80739,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.25,82752,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.3,83481,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.35,84219,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.4,85082,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.45,86198,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.5,86853,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.55,87317,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.6,88466,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.65,89461,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.7,90356,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.75,91398,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.8,92201,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.85,94387,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.9,96756,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.95,99278,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.975,106588,2022-07-30,2022-07-25,1 wk ahead inc case
AT,quantile,0.99,124020,2022-07-30,2022-07-25,1 wk ahead inc case
AT,point,NA,67,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.01,34,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.025,39,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.05,40,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.1,44,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.15,48,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.2,54,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.25,57,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.3,59,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.35,61,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.4,64,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.45,65,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.5,67,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.55,72,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.6,74,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.65,78,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.7,80,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.75,84,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.8,87,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.85,91,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.9,96,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.95,102,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.975,104,2022-07-30,2022-07-25,1 wk ahead inc death
AT,quantile,0.99,119,2022-07-30,2022-07-25,1 wk ahead inc death
