location,type,quantile,value,target_end_date,forecast_date,target
AT,point,NA,13645,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.01,972,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.025,5923,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.05,7183,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.1,10740,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.15,11332,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.2,11886,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.25,12287,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.3,12598,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.35,12704,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.4,12928,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.45,13227,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.5,13645,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.55,13954,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.6,14265,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.65,14598,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.7,14873,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.75,15130,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.8,15786,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.85,16837,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.9,17523,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.95,18501,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.975,19670,2022-06-04,2022-05-30,1 wk ahead inc case
AT,quantile,0.99,28079,2022-06-04,2022-05-30,1 wk ahead inc case
AT,point,NA,46,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.01,21,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.025,23,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.05,25,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.1,29,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.15,32,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.2,35,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.25,38,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.3,42,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.35,44,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.4,45,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.45,46,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.5,46,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.55,48,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.6,52,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.65,55,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.7,58,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.75,61,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.8,63,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.85,67,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.9,70,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.95,75,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.975,79,2022-06-04,2022-05-30,1 wk ahead inc death
AT,quantile,0.99,87,2022-06-04,2022-05-30,1 wk ahead inc death
AT,point,NA,14778,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.01,0,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.025,1373,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.05,3644,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.1,6712,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.15,9019,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.2,10470,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.25,11438,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.3,12183,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.35,12856,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.4,13542,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.45,14173,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.5,14778,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.55,15495,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.6,16219,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.65,16964,2022-06-11,2022-05-30,2 wk ahead inc case
AT,quantile,0.7,17791,2022-06-11,2022-05-30,2 wk ahead inc case
