location,type,quantile,value,target_end_date,forecast_date,target
AT,point,NA,40245,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.01,14793,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.025,25557,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.05,26173,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.1,33444,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.15,35104,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.2,36496,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.25,37324,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.3,38224,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.35,38752,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.4,39271,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.45,39699,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.5,40245,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.55,40674,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.6,41125,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.65,41552,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.7,42413,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.75,42921,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.8,43657,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.85,44627,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.9,47840,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.95,49945,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.975,55130,2022-05-14,2022-05-09,1 wk ahead inc case
AT,quantile,0.99,74567,2022-05-14,2022-05-09,1 wk ahead inc case
AT,point,NA,200,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.01,107,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.025,127,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.05,133,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.1,147,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.15,153,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.2,161,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.25,166,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.3,174,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.35,182,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.4,187,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.45,194,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.5,200,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.55,203,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.6,208,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.65,210,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.7,214,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.75,218,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.8,224,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.85,232,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.9,252,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.95,266,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.975,284,2022-05-14,2022-05-09,1 wk ahead inc death
AT,quantile,0.99,297,2022-05-14,2022-05-09,1 wk ahead inc death
AT,point,NA,46594,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.01,10652,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.025,18269,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.05,22775,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.1,29185,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.15,34574,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.2,37231,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.25,39600,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.3,41491,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.35,43230,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.4,44360,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.45,45451,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.5,46594,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.55,47765,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.6,48998,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.65,50382,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.7,51892,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.75,53560,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.8,55444,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.85,58698,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.9,62928,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.95,73085,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.975,88147,2022-05-21,2022-05-09,2 wk ahead inc case
AT,quantile,0.99,104718,2022-05-21,2022-05-09,2 wk ahead inc case
AT,point,NA,211,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.01,82,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.025,102,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.05,114,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.1,135,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.15,149,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.2,160,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.25,169,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.3,178,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.35,187,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.4,195,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.45,203,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.5,211,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.55,219,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.6,228,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.65,237,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.7,246,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.75,256,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.8,267,2022-05-21,2022-05-09,2 wk ahead inc death
AT,quantile,0.85,282,2022-05-21,2022-05-09,2 wk ahead inc death
