location,type,quantile,value,target_end_date,forecast_date,target
AT,point,NA,34684,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.01,13429,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.025,21896,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.05,24244,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.1,28095,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.15,30145,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.2,30888,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.25,31399,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.3,31971,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.35,32865,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.4,33339,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.45,34104,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.5,34684,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.55,35346,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.6,35921,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.65,36323,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.7,36474,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.75,36972,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.8,38381,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.85,39494,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.9,40690,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.95,45244,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.975,47948,2022-06-18,2022-06-13,1 wk ahead inc case
AT,quantile,0.99,65859,2022-06-18,2022-06-13,1 wk ahead inc case
AT,point,NA,21,2022-06-18,2022-06-13,1 wk ahead inc death
AT,quantile,0.01,5,2022-06-18,2022-06-13,1 wk ahead inc death
AT,quantile,0.025,5,2022-06-18,2022-06-13,1 wk ahead inc death
AT,quantile,0.05,7,2022-06-18,2022-06-13,1 wk ahead inc death
AT,quantile,0.1,9,2022-06-18,2022-06-13,1 wk ahead inc death
AT,quantile,0.15,11,2022-06-18,2022-06-13,1 wk ahead inc death
AT,quantile,0.2,12,2022-06-18,2022-06-13,1 wk ahead inc death
