location,forecast_date,target_end_date,target,quantile,value,type
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.0100,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.9900,46,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.5000,1,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.4500,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.5500,1,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.4000,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.6000,1,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.3500,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.6500,2,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.3000,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.7000,3,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.2500,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.7500,3,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.2000,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.8000,5,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.1500,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.8500,7,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.1000,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.9000,9,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.0500,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.9500,17,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.0250,0,quantile
BG,2024-04-29,2024-05-04,1 wk ahead inc death,0.9750,28,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.0100,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.9900,44,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.5000,1,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.4500,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.5500,1,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.4000,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.6000,1,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.3500,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.6500,2,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.3000,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.7000,3,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.2500,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.7500,3,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.2000,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.8000,5,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.1500,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.8500,7,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.1000,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.9000,12,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.0500,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.9500,17,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.0250,0,quantile
BG,2024-04-29,2024-05-11,2 wk ahead inc death,0.9750,22,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.0100,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.9900,39,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.5000,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.4500,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.5500,1,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.4000,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.6000,1,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.3500,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.6500,2,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.3000,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.7000,2,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.2500,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.7500,4,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.2000,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.8000,5,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.1500,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.8500,6,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.1000,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.9000,12,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.0500,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.9500,16,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.0250,0,quantile
BG,2024-04-29,2024-05-18,3 wk ahead inc death,0.9750,25,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.0100,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.9900,31,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.5000,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.4500,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.5500,1,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.4000,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.6000,1,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.3500,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.6500,2,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.3000,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.7000,2,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.2500,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.7500,3,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.2000,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.8000,4,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.1500,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.8500,6,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.1000,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.9000,8,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.0500,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.9500,16,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.0250,0,quantile
BG,2024-04-29,2024-05-25,4 wk ahead inc death,0.9750,23,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.0100,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.9900,70,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.5000,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.4500,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.5500,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.4000,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.6000,1,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.3500,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.6500,1,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.3000,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.7000,2,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.2500,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.7500,3,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.2000,0,quantile
HR,2024-04-29,2024-05-04,1 wk ahead inc death,0.8000,4,quantile
