"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.183167840596234
"GM","inc case","LANL-GrowthRate",0.129417708630063
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0991927689853359
"GM","inc case","epiforecasts-EpiExpert",0.332433894319695
"GM","inc case","epiforecasts-EpiNow2",0.105787660712598
"GM","inc case","KIT-time_series_baseline",0.150000126756074
"GM","cum case","FIAS_FZJ-Epi1Ger",0.188993067481775
"GM","cum case","LANL-GrowthRate",0.143435204072242
"GM","cum case","epiforecasts-EpiExpert",0.360733129513423
"GM","cum case","epiforecasts-EpiNow2",0.125796735506551
"GM","cum case","KIT-time_series_baseline",0.181041863426009
"GM","inc death","FIAS_FZJ-Epi1Ger",0.110533658985854
"GM","inc death","LANL-GrowthRate",0.16594320117185
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.163476292004849
"GM","inc death","ITWW-county_repro",0.0591064739439821
"GM","inc death","epiforecasts-EpiExpert",0.370882843401877
"GM","inc death","epiforecasts-EpiNow2",0.076837724865184
"GM","inc death","KIT-time_series_baseline",0.053219805626404
"GM","cum death","FIAS_FZJ-Epi1Ger",0.115391428201792
"GM","cum death","LANL-GrowthRate",0.181924491307245
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.16755191196642
"GM","cum death","ITWW-county_repro",0.0490189448539329
"GM","cum death","epiforecasts-EpiExpert",0.340692381973713
"GM","cum death","epiforecasts-EpiNow2",0.0869745696432811
"GM","cum death","KIT-time_series_baseline",0.0584462720536158
"PL","inc case","LANL-GrowthRate",0.144812383319816
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.125642323557026
"PL","inc case","MOCOS-agent1",0.1308724891818
"PL","inc case","ITWW-county_repro",0.106297619764924
"PL","inc case","epiforecasts-EpiExpert",0.203330049796003
"PL","inc case","epiforecasts-EpiNow2",0.114430088817566
"PL","inc case","KIT-time_series_baseline",0.0939195053609483
"PL","inc case","ICM-agentModel",0.0806955402019175
"PL","cum case","LANL-GrowthRate",0.153505428279037
"PL","cum case","MOCOS-agent1",0.145748777454333
"PL","cum case","ITWW-county_repro",0.120285029963079
"PL","cum case","epiforecasts-EpiExpert",0.251402699675446
"PL","cum case","epiforecasts-EpiNow2",0.135622199458284
"PL","cum case","KIT-time_series_baseline",0.104211576841768
"PL","cum case","ICM-agentModel",0.0892242883280531
"PL","inc death","LANL-GrowthRate",0.155246621702732
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.182322898829727
"PL","inc death","MOCOS-agent1",0.121446248332876
"PL","inc death","ICM-agentModel",0.0714464964940123
"PL","inc death","ITWW-county_repro",0.0460215193525038
"PL","inc death","epiforecasts-EpiExpert",0.18544413222072
"PL","inc death","epiforecasts-EpiNow2",0.0786619020583136
"PL","inc death","KIT-time_series_baseline",0.159410181009116
"PL","cum death","LANL-GrowthRate",0.155218873301768
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.140942448654111
"PL","cum death","MOCOS-agent1",0.138268571738775
"PL","cum death","ICM-agentModel",0.0712065438307909
"PL","cum death","ITWW-county_repro",0.0421500657987117
"PL","cum death","epiforecasts-EpiExpert",0.203873472947738
"PL","cum death","epiforecasts-EpiNow2",0.0830001665064883
"PL","cum death","KIT-time_series_baseline",0.165339857221617
