"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.254229854688513
"GM","inc case","LANL-GrowthRate",0.0882665944137264
"GM","inc case","MIT_CovidAnalytics-DELPHI",0.0642820688613173
"GM","inc case","USC-SIkJalpha",0.0456878974700493
"GM","inc case","ITWW-county_repro",0.0513854949662609
"GM","inc case","epiforecasts-EpiExpert",0.142269529971772
"GM","inc case","epiforecasts-EpiNow2",0.305398947219315
"GM","inc case","Karlen-pypm",0.0484796124090455
"GM","cum case","FIAS_FZJ-Epi1Ger",0.279972018374677
"GM","cum case","LANL-GrowthRate",0.0844770309209884
"GM","cum case","USC-SIkJalpha",0.0387895381182545
"GM","cum case","ITWW-county_repro",0.0408072900869725
"GM","cum case","epiforecasts-EpiExpert",0.177503966245746
"GM","cum case","epiforecasts-EpiNow2",0.338271565585222
"GM","cum case","Karlen-pypm",0.0401785906681389
"GM","inc death","FIAS_FZJ-Epi1Ger",0.0779223404238343
"GM","inc death","LANL-GrowthRate",0.181315367144333
"GM","inc death","MIT_CovidAnalytics-DELPHI",0.0519091537685962
"GM","inc death","USC-SIkJalpha",0.0519091537685962
"GM","inc death","ITWW-county_repro",0.0977689819337223
"GM","inc death","epiforecasts-EpiExpert",0.227066911071879
"GM","inc death","epiforecasts-EpiNow2",0.256036778844037
"GM","inc death","Karlen-pypm",0.0560713130450019
"GM","cum death","FIAS_FZJ-Epi1Ger",0.0745673368495059
"GM","cum death","LANL-GrowthRate",0.170247048406703
"GM","cum death","MIT_CovidAnalytics-DELPHI",0.045331357642349
"GM","cum death","USC-SIkJalpha",0.045331357642349
"GM","cum death","ITWW-county_repro",0.0954398260945111
"GM","cum death","epiforecasts-EpiExpert",0.211891876235546
"GM","cum death","epiforecasts-EpiNow2",0.309747479641188
"GM","cum death","Karlen-pypm",0.0474437174878483
"PL","inc case","LANL-GrowthRate",0.126544633377454
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.113179424988411
"PL","inc case","USC-SIkJalpha",0.0517325245515898
"PL","inc case","MOCOS-agent1",0.150103258227271
"PL","inc case","ICM-agentModel",0.0646796651058865
"PL","inc case","ITWW-county_repro",0.161234949593327
"PL","inc case","epiforecasts-EpiExpert",0.0702200992977111
"PL","inc case","epiforecasts-EpiNow2",0.26230544485835
"PL","cum case","LANL-GrowthRate",0.164992946457679
"PL","cum case","USC-SIkJalpha",0.055808442584737
"PL","cum case","MOCOS-agent1",0.126986847119807
"PL","cum case","ICM-agentModel",0.0573723520578868
"PL","cum case","ITWW-county_repro",0.197967611203486
"PL","cum case","epiforecasts-EpiExpert",0.072456997240448
"PL","cum case","epiforecasts-EpiNow2",0.324414803335956
"PL","inc death","LANL-GrowthRate",0.434260296667485
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.0972686201279939
"PL","inc death","USC-SIkJalpha",0.0196181424858566
"PL","inc death","MOCOS-agent1",0.112414043315957
"PL","inc death","ICM-agentModel",0.0201654597149782
"PL","inc death","ITWW-county_repro",0.196633653378871
"PL","inc death","epiforecasts-EpiExpert",0.0892510131286634
"PL","inc death","epiforecasts-EpiNow2",0.0303887711801947
"PL","cum death","LANL-GrowthRate",0.45600846954394
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.0892530834449874
"PL","cum death","USC-SIkJalpha",0.020635725455744
"PL","cum death","MOCOS-agent1",0.0992106805657665
"PL","cum death","ICM-agentModel",0.0206811817939126
"PL","cum death","ITWW-county_repro",0.190795635912399
"PL","cum death","epiforecasts-EpiExpert",0.0925915729059328
"PL","cum death","epiforecasts-EpiNow2",0.0308236503773173
