quantile,value,type,location,target,forecast_date,target_end_date
0.01,19,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.025,22,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.05,24,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.1,27,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.15,29,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.2,31,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.25,32,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.3,34,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.35,35,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.4,36,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.45,38,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.5,39,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
NA,39,point,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.55,40,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.6,41,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.65,43,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.7,44,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.75,46,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.8,48,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.85,50,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.9,54,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.95,57,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.975,62,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.99,68,quantile,BE,1 wk ahead inc death,2021-09-12,2021-09-18
0.01,16,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.025,18,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.05,20,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.1,23,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.15,25,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.2,27,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.25,29,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.3,30,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.35,32,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.4,33,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.45,35,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.5,37,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
NA,37,point,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.55,38,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.6,40,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.65,41,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.7,43,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.75,45,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.8,47,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.85,50,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.9,53,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.95,59,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.975,66,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.99,74,quantile,BE,2 wk ahead inc death,2021-09-12,2021-09-25
0.01,13,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.025,14,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.05,17,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.1,19,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.15,21,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.2,23,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.25,25,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.3,27,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.35,28,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.4,30,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.45,31,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.5,33,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
NA,33,point,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.55,35,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.6,36,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.65,38,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.7,40,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.75,42,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.8,45,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.85,48,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.9,52,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.95,60,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.975,67,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.99,75,quantile,BE,3 wk ahead inc death,2021-09-12,2021-10-02
0.01,9,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.025,11,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.05,13,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.1,16,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.15,18,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.2,20,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.25,22,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.3,24,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.35,25,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.4,27,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.45,28,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.5,30,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
NA,30,point,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.55,32,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.6,33,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.65,35,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.7,38,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.75,40,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.8,43,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.85,48,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.9,54,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.95,61,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.975,69,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.99,80,quantile,BE,4 wk ahead inc death,2021-09-12,2021-10-09
0.01,224,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.025,246,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.05,268,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.1,295,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.15,320,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.2,343,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.25,359,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.3,372,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.35,385,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.4,398,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.45,414,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.5,428,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
NA,428,point,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.55,441,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.6,458,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.65,477,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.7,497,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.75,520,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.8,552,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.85,579,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.9,613,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.95,686,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.975,745,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.99,805,quantile,BG,1 wk ahead inc death,2021-09-12,2021-09-18
0.01,225,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.025,255,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.05,276,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.1,311,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.15,336,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.2,368,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.25,389,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.3,407,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.35,423,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.4,442,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.45,460,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.5,480,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
NA,480,point,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.55,501,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.6,521,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.65,543,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.7,566,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.75,602,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.8,640,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.85,677,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.9,744,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.95,836,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.975,917,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.99,1007,quantile,BG,2 wk ahead inc death,2021-09-12,2021-09-25
0.01,216,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.025,245,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.05,272,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.1,315,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.15,345,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.2,373,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.25,400,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.3,427,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.35,445,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.4,466,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.45,489,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.5,510,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
NA,510,point,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.55,536,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.6,565,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.65,597,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.7,630,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.75,671,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.8,711,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.85,781,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.9,864,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.95,1008,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.975,1123,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.99,1324,quantile,BG,3 wk ahead inc death,2021-09-12,2021-10-02
0.01,209,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.025,230,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.05,265,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.1,312,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.15,354,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.2,383,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.25,413,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.3,443,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
0.35,478,quantile,BG,4 wk ahead inc death,2021-09-12,2021-10-09
