quantile,value,type,location,target,forecast_date,target_end_date
0.01,113,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.025,123,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.05,139,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.1,159,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.15,175,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.2,191,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.25,200,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.3,210,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.35,221,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.4,230,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.45,240,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.5,252,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
NA,252,point,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.55,262,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.6,273,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.65,286,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.7,297,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.75,312,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.8,328,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.85,351,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.9,382,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.95,436,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.975,478,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.99,557,quantile,BE,1 wk ahead inc death,2022-01-30,2022-02-05
0.01,100,quantile,BE,2 wk ahead inc death,2022-01-30,2022-02-12
0.025,114,quantile,BE,2 wk ahead inc death,2022-01-30,2022-02-12
0.05,125,quantile,BE,2 wk ahead inc death,2022-01-30,2022-02-12
0.1,146,quantile,BE,2 wk ahead inc death,2022-01-30,2022-02-12
