model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.38,NA,0.63,0.96,NA,295,31,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.28,0.94,0.19,566,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.71,0.62,0.59,0.94,0.08,566,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.02,0.87,0.42,0.84,0.17,561,32,NA
ILM-EKF,inc case,1,Overall,0.86,0.73,0.5,0.91,0.06,565,32,NA
LANL-GrowthRate,inc case,1,Overall,0.87,0.79,0.61,0.92,-0.29,535,32,NA
MUNI-ARIMA,inc case,1,Overall,0.43,0.65,0.56,0.9,0.05,311,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.95,1.23,0.38,0.75,-0.06,566,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.71,NA,NA,NA,NA,471,32,NA
UMass-SemiMech,inc case,1,Overall,0.94,1.01,0.52,0.91,0.13,467,32,NA
USC-SIkJalpha,inc case,1,Overall,1,1.1,0.4,0.49,0.15,566,32,NA
UVA-Ensemble,inc case,1,Overall,1.62,NA,0.44,0.74,NA,538,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.88,0.7,0.34,0.81,0.2,205,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.61,0.64,0.56,0.94,0.08,78,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.58,0.72,0.31,0.66,0.34,62,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.89,0.77,0.49,0.85,0.02,564,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.38,NA,0.63,0.95,NA,265,31,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.37,0.88,0.22,533,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.74,0.64,0.48,0.9,0.16,533,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.03,0.93,0.32,0.73,0.25,529,32,NA
ILM-EKF,inc case,2,Overall,0.86,0.71,0.43,0.89,0.11,532,32,NA
LANL-GrowthRate,inc case,2,Overall,0.71,0.66,0.54,0.89,-0.16,503,32,NA
MUNI-ARIMA,inc case,2,Overall,0.5,0.79,0.58,0.91,0.05,278,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.87,1.21,0.36,0.71,-0.05,533,32,NA
UMass-SemiMech,inc case,2,Overall,0.8,0.85,0.39,0.86,0.22,434,32,NA
USC-SIkJalpha,inc case,2,Overall,0.84,0.92,0.34,0.44,0.15,533,32,NA
UVA-Ensemble,inc case,2,Overall,1.4,NA,0.44,0.64,NA,505,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.88,0.73,0.29,0.69,0.23,199,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.53,0.56,0.35,0.77,0.19,74,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.54,0.76,0.28,0.56,0.37,57,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.8,0.75,0.42,0.82,0,531,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.37,0.84,0.28,500,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.81,0.69,0.41,0.86,0.27,500,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.18,1.04,0.3,0.68,0.34,497,32,NA
ILM-EKF,inc case,3,Overall,0.99,0.78,0.43,0.88,0.17,500,32,NA
MUNI-ARIMA,inc case,3,Overall,0.55,0.93,0.6,0.9,0.04,215,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.85,1.21,0.35,0.67,0.01,500,32,NA
UMass-SemiMech,inc case,3,Overall,0.78,0.85,0.39,0.8,0.29,401,32,NA
USC-SIkJalpha,inc case,3,Overall,0.8,0.85,0.32,0.41,0.17,500,32,NA
UVA-Ensemble,inc case,3,Overall,1.18,NA,0.36,0.58,NA,440,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.88,0.73,0.24,0.68,0.29,194,32,NA
epiforecasts-EpiExpert_Rt,inc case,3,Overall,0.54,0.53,0.29,0.76,0.27,70,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,0.63,0.84,0.15,0.43,0.41,53,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,0.85,0.75,0.4,0.81,0.03,498,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.36,0.82,0.33,467,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.92,0.76,0.36,0.8,0.36,467,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.4,1.16,0.29,0.64,0.4,465,32,NA
ILM-EKF,inc case,4,Overall,1.21,0.88,0.44,0.88,0.23,466,32,NA
MUNI-ARIMA,inc case,4,Overall,0.56,0.97,0.6,0.92,0.08,183,31,NA
RobertWalraven-ESG,inc case,4,Overall,0.78,1.21,0.39,0.69,0.07,467,32,NA
UMass-SemiMech,inc case,4,Overall,0.83,0.97,0.34,0.79,0.37,368,32,NA
USC-SIkJalpha,inc case,4,Overall,0.77,0.84,0.31,0.41,0.21,467,32,NA
UVA-Ensemble,inc case,4,Overall,1.16,NA,0.3,0.51,NA,375,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.86,0.71,0.23,0.65,0.38,189,32,NA
