target_end_date,location,target,forecast_date,type,value,quantile
2022-06-11,IT,1 wk ahead inc case,2022-06-06,quantile,30851,0.025
2022-06-18,IT,2 wk ahead inc case,2022-06-06,quantile,22377,0.025
2022-06-25,IT,3 wk ahead inc case,2022-06-06,quantile,15780,0.025
2022-07-02,IT,4 wk ahead inc case,2022-06-06,quantile,12121,0.025
2022-06-11,IT,1 wk ahead inc case,2022-06-06,point,91018,NA
2022-06-18,IT,2 wk ahead inc case,2022-06-06,point,69901,NA
2022-06-25,IT,3 wk ahead inc case,2022-06-06,point,53422,NA
2022-07-02,IT,4 wk ahead inc case,2022-06-06,point,40677,NA
2022-06-11,IT,1 wk ahead inc case,2022-06-06,quantile,101424,0.975
2022-06-18,IT,2 wk ahead inc case,2022-06-06,quantile,79206,0.975
2022-06-25,IT,3 wk ahead inc case,2022-06-06,quantile,60528,0.975
2022-07-02,IT,4 wk ahead inc case,2022-06-06,quantile,47189,0.975
2022-06-11,IT,1 wk ahead inc death,2022-06-06,quantile,177,0.025
2022-06-18,IT,2 wk ahead inc death,2022-06-06,quantile,152,0.025
2022-06-25,IT,3 wk ahead inc death,2022-06-06,quantile,126,0.025
2022-07-02,IT,4 wk ahead inc death,2022-06-06,quantile,109,0.025
2022-06-11,IT,1 wk ahead inc death,2022-06-06,point,376,NA
2022-06-18,IT,2 wk ahead inc death,2022-06-06,point,322,NA
2022-06-25,IT,3 wk ahead inc death,2022-06-06,point,275,NA
2022-07-02,IT,4 wk ahead inc death,2022-06-06,point,234,NA
2022-06-11,IT,1 wk ahead inc death,2022-06-06,quantile,635,0.975
2022-06-18,IT,2 wk ahead inc death,2022-06-06,quantile,545,0.975
2022-06-25,IT,3 wk ahead inc death,2022-06-06,quantile,477,0.975
2022-07-02,IT,4 wk ahead inc death,2022-06-06,quantile,411,0.975
