"target_end_date","location","target","forecast_date","type","value","quantile"
2022-05-06,"IT","1 wk ahead inc case","2022-05-02","quantile",44709,0.025
2022-05-13,"IT","2 wk ahead inc case","2022-05-02","quantile",34905,0.025
2022-05-20,"IT","3 wk ahead inc case","2022-05-02","quantile",30106,0.025
2022-05-27,"IT","4 wk ahead inc case","2022-05-02","quantile",23962,0.025
2022-05-06,"IT","1 wk ahead inc case","2022-05-02","point",319124,NA
2022-05-13,"IT","2 wk ahead inc case","2022-05-02","point",270445,NA
2022-05-20,"IT","3 wk ahead inc case","2022-05-02","point",225721,NA
2022-05-27,"IT","4 wk ahead inc case","2022-05-02","point",186122,NA
2022-05-06,"IT","1 wk ahead inc case","2022-05-02","quantile",486220,0.975
2022-05-13,"IT","2 wk ahead inc case","2022-05-02","quantile",437289,0.975
2022-05-20,"IT","3 wk ahead inc case","2022-05-02","quantile",386264,0.975
2022-05-27,"IT","4 wk ahead inc case","2022-05-02","quantile",347233,0.975
2022-05-06,"IT","1 wk ahead inc death","2022-05-02","quantile",71,0.025
2022-05-13,"IT","2 wk ahead inc death","2022-05-02","quantile",56,0.025
2022-05-20,"IT","3 wk ahead inc death","2022-05-02","quantile",43,0.025
2022-05-27,"IT","4 wk ahead inc death","2022-05-02","quantile",35,0.025
2022-05-06,"IT","1 wk ahead inc death","2022-05-02","point",973,NA
2022-05-13,"IT","2 wk ahead inc death","2022-05-02","point",977,NA
2022-05-20,"IT","3 wk ahead inc death","2022-05-02","point",981,NA
2022-05-27,"IT","4 wk ahead inc death","2022-05-02","point",984,NA
2022-05-06,"IT","1 wk ahead inc death","2022-05-02","quantile",4727,0.975
2022-05-13,"IT","2 wk ahead inc death","2022-05-02","quantile",5676,0.975
2022-05-20,"IT","3 wk ahead inc death","2022-05-02","quantile",6114,0.975
2022-05-27,"IT","4 wk ahead inc death","2022-05-02","quantile",6313,0.975
