target_end_date,location,target,forecast_date,type,value,quantile
2022-07-02,IT,1 wk ahead inc case,2022-06-27,quantile,371349,0.025
2022-07-09,IT,2 wk ahead inc case,2022-06-27,quantile,538748,0.025
2022-07-16,IT,3 wk ahead inc case,2022-06-27,quantile,771455,0.025
2022-07-23,IT,4 wk ahead inc case,2022-06-27,quantile,1094142,0.025
2022-07-02,IT,1 wk ahead inc case,2022-06-27,point,416349,NA
2022-07-09,IT,2 wk ahead inc case,2022-06-27,point,583748,NA
2022-07-16,IT,3 wk ahead inc case,2022-06-27,point,816455,NA
2022-07-23,IT,4 wk ahead inc case,2022-06-27,point,1139142,NA
2022-07-02,IT,1 wk ahead inc case,2022-06-27,quantile,461349,0.975
2022-07-09,IT,2 wk ahead inc case,2022-06-27,quantile,628748,0.975
2022-07-16,IT,3 wk ahead inc case,2022-06-27,quantile,861455,0.975
2022-07-23,IT,4 wk ahead inc case,2022-06-27,quantile,1184142,0.975
2022-07-02,IT,1 wk ahead inc death,2022-06-27,quantile,125,0.025
2022-07-09,IT,2 wk ahead inc death,2022-06-27,quantile,105,0.025
2022-07-16,IT,3 wk ahead inc death,2022-06-27,quantile,87,0.025
2022-07-23,IT,4 wk ahead inc death,2022-06-27,quantile,81,0.025
2022-07-02,IT,1 wk ahead inc death,2022-06-27,point,259,NA
2022-07-09,IT,2 wk ahead inc death,2022-06-27,point,223,NA
2022-07-16,IT,3 wk ahead inc death,2022-06-27,point,191,NA
2022-07-23,IT,4 wk ahead inc death,2022-06-27,point,163,NA
2022-07-02,IT,1 wk ahead inc death,2022-06-27,quantile,427,0.975
2022-07-09,IT,2 wk ahead inc death,2022-06-27,quantile,361,0.975
2022-07-16,IT,3 wk ahead inc death,2022-06-27,quantile,314,0.975
2022-07-23,IT,4 wk ahead inc death,2022-06-27,quantile,279,0.975
