"target_end_date","location","target","forecast_date","type","value","quantile"
2021-10-23,"IT","1 wk ahead inc case","2021-10-18","quantile",14572,0.025
2021-10-30,"IT","2 wk ahead inc case","2021-10-18","quantile",13411,0.025
2021-11-06,"IT","3 wk ahead inc case","2021-10-18","quantile",12358,0.025
2021-11-13,"IT","4 wk ahead inc case","2021-10-18","quantile",11504,0.025
2021-10-23,"IT","1 wk ahead inc case","2021-10-18","point",16346,NA
2021-10-30,"IT","2 wk ahead inc case","2021-10-18","point",14873,NA
2021-11-06,"IT","3 wk ahead inc case","2021-10-18","point",13770,NA
2021-11-13,"IT","4 wk ahead inc case","2021-10-18","point",12949,NA
2021-10-23,"IT","1 wk ahead inc case","2021-10-18","quantile",18142,0.975
2021-10-30,"IT","2 wk ahead inc case","2021-10-18","quantile",16679,0.975
2021-11-06,"IT","3 wk ahead inc case","2021-10-18","quantile",15265,0.975
2021-11-13,"IT","4 wk ahead inc case","2021-10-18","quantile",14582,0.975
2021-10-23,"IT","1 wk ahead inc death","2021-10-18","quantile",174,0.025
2021-10-30,"IT","2 wk ahead inc death","2021-10-18","quantile",144,0.025
2021-11-06,"IT","3 wk ahead inc death","2021-10-18","quantile",118,0.025
2021-11-13,"IT","4 wk ahead inc death","2021-10-18","quantile",99,0.025
2021-10-23,"IT","1 wk ahead inc death","2021-10-18","point",201,NA
2021-10-30,"IT","2 wk ahead inc death","2021-10-18","point",167,NA
2021-11-06,"IT","3 wk ahead inc death","2021-10-18","point",141,NA
2021-11-13,"IT","4 wk ahead inc death","2021-10-18","point",119,NA
2021-10-23,"IT","1 wk ahead inc death","2021-10-18","quantile",229,0.975
2021-10-30,"IT","2 wk ahead inc death","2021-10-18","quantile",194,0.975
2021-11-06,"IT","3 wk ahead inc death","2021-10-18","quantile",163,0.975
2021-11-13,"IT","4 wk ahead inc death","2021-10-18","quantile",141,0.975
