target_end_date,location,target,forecast_date,type,value,quantile
2022-06-25,IT,1 wk ahead inc case,2022-06-20,quantile,205089,0.025
2022-07-02,IT,2 wk ahead inc case,2022-06-20,quantile,245946,0.025
2022-07-09,IT,3 wk ahead inc case,2022-06-20,quantile,275617,0.025
2022-07-16,IT,4 wk ahead inc case,2022-06-20,quantile,288631,0.025
2022-06-25,IT,1 wk ahead inc case,2022-06-20,point,235089,NA
2022-07-02,IT,2 wk ahead inc case,2022-06-20,point,275946,NA
2022-07-09,IT,3 wk ahead inc case,2022-06-20,point,305617,NA
2022-07-16,IT,4 wk ahead inc case,2022-06-20,point,318631,NA
2022-06-25,IT,1 wk ahead inc case,2022-06-20,quantile,265089,0.975
2022-07-02,IT,2 wk ahead inc case,2022-06-20,quantile,305946,0.975
2022-07-09,IT,3 wk ahead inc case,2022-06-20,quantile,335617,0.975
2022-07-16,IT,4 wk ahead inc case,2022-06-20,quantile,348631,0.975
2022-06-25,IT,1 wk ahead inc death,2022-06-20,quantile,142,0.025
2022-07-02,IT,2 wk ahead inc death,2022-06-20,quantile,125,0.025
2022-07-09,IT,3 wk ahead inc death,2022-06-20,quantile,96,0.025
2022-07-16,IT,4 wk ahead inc death,2022-06-20,quantile,84,0.025
2022-06-25,IT,1 wk ahead inc death,2022-06-20,point,288,NA
2022-07-02,IT,2 wk ahead inc death,2022-06-20,point,247,NA
2022-07-09,IT,3 wk ahead inc death,2022-06-20,point,211,NA
2022-07-16,IT,4 wk ahead inc death,2022-06-20,point,180,NA
2022-06-25,IT,1 wk ahead inc death,2022-06-20,quantile,461,0.975
2022-07-02,IT,2 wk ahead inc death,2022-06-20,quantile,410,0.975
2022-07-09,IT,3 wk ahead inc death,2022-06-20,quantile,343,0.975
2022-07-16,IT,4 wk ahead inc death,2022-06-20,quantile,320,0.975
