model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.36,NA,0.73,0.98,NA,129,30,NA
DSMPG-bayes,inc case,2,Overall,0.32,0.33,0.54,0.98,0.21,61,24,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.37,0.93,0.53,152,31,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.45,0.46,0.46,0.91,0.44,152,31,NA
IEM_Health-CovidProject,inc case,2,Overall,0.72,0.75,0.29,0.69,0.51,151,31,NA
ILM-EKF,inc case,2,Overall,0.37,0.41,0.43,0.93,0.33,151,31,NA
MUNI-ARIMA,inc case,2,Overall,0.55,0.64,0.62,0.91,0.27,152,31,NA
RobertWalraven-ESG,inc case,2,Overall,0.59,0.66,0.45,0.79,0.23,152,31,NA
UMass-SemiMech,inc case,2,Overall,0.7,0.77,0.25,0.82,0.52,152,31,NA
USC-SIkJalpha,inc case,2,Overall,0.56,0.79,0.25,0.28,0.53,152,31,NA
UVA-Ensemble,inc case,2,Overall,1.14,NA,0.67,0.85,NA,152,31,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.48,0.52,0.22,0.69,0.49,36,19,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.48,0.5,0.44,0.85,0.13,151,31,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.52,NA,0.66,0.97,NA,131,30,NA
DSMPG-bayes,inc case,1,Overall,0.41,0.42,0.6,0.95,0.23,40,21,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.27,0.98,0.49,151,31,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.51,0.51,0.46,0.95,0.36,151,31,NA
IEM_Health-CovidProject,inc case,1,Overall,0.67,0.69,0.39,0.78,0.4,149,31,NA
ILM-EKF,inc case,1,Overall,0.49,0.47,0.52,0.95,0.3,150,31,NA
MUNI-ARIMA,inc case,1,Overall,0.6,0.66,0.57,0.91,0.21,151,31,NA
RobertWalraven-ESG,inc case,1,Overall,0.89,0.96,0.45,0.82,0.23,151,31,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.39,NA,NA,NA,NA,151,31,NA
UMass-SemiMech,inc case,1,Overall,0.84,0.96,0.4,0.89,0.4,151,31,NA
USC-SIkJalpha,inc case,1,Overall,0.72,0.97,0.25,0.27,0.53,151,31,NA
UVA-Ensemble,inc case,1,Overall,1.24,NA,0.62,0.92,NA,151,31,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.54,0.56,0.49,0.84,0.1,150,31,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.27,0.83,0.64,152,31,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.6,0.63,0.2,0.65,0.64,152,31,NA
IEM_Health-CovidProject,inc case,4,Overall,1.02,1.1,0.08,0.32,0.8,152,31,NA
ILM-EKF,inc case,4,Overall,0.52,0.54,0.43,0.88,0.43,151,31,NA
LANL-GrowthRate,inc case,4,Overall,0.53,0.55,0.36,0.86,0.48,152,31,NA
RobertWalraven-ESG,inc case,4,Overall,0.45,0.59,0.46,0.74,0.26,152,31,NA
UMass-SemiMech,inc case,4,Overall,0.64,0.85,0.24,0.7,0.57,152,31,NA
USC-SIkJalpha,inc case,4,Overall,0.52,0.72,0.18,0.21,0.6,152,31,NA
UVA-Ensemble,inc case,4,Overall,1.3,NA,0.34,0.61,NA,152,31,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.56,0.58,0.19,0.56,0.56,59,20,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,0.58,0.64,0.22,0.38,0.51,37,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.63,0.66,0.37,0.8,0.24,151,31,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.34,0.86,0.58,152,31,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.5,0.52,0.34,0.8,0.54,152,31,NA
IEM_Health-CovidProject,inc case,3,Overall,0.85,0.9,0.22,0.49,0.65,152,31,NA
ILM-EKF,inc case,3,Overall,0.42,0.45,0.43,0.91,0.37,152,31,NA
MUNI-ARIMA,inc case,3,Overall,0.56,0.66,0.61,0.92,0.28,122,31,NA
RobertWalraven-ESG,inc case,3,Overall,0.51,0.64,0.42,0.74,0.24,152,31,NA
UMass-SemiMech,inc case,3,Overall,0.68,0.85,0.24,0.66,0.54,152,31,NA
USC-SIkJalpha,inc case,3,Overall,0.51,0.74,0.25,0.28,0.53,152,31,NA
UVA-Ensemble,inc case,3,Overall,1.25,NA,0.49,0.76,NA,152,31,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.56,0.53,0.18,0.62,0.49,45,19,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,0.54,0.58,0.16,0.44,0.43,32,16,NA
