model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.48,NA,0.59,0.94,NA,135,31,NA
DSMPG-bayes,inc case,2,Overall,0.4,0.42,0.38,0.95,0.31,21,17,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.54,0.96,0.32,153,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.49,0.49,0.49,0.91,0.18,153,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.55,0.62,0.35,0.73,0.25,150,32,NA
ILM-EKF,inc case,2,Overall,0.41,0.42,0.47,0.89,0.09,152,32,NA
MUNI-ARIMA,inc case,2,Overall,0.69,0.72,0.63,0.92,0.01,153,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.74,0.86,0.44,0.79,0.05,153,32,NA
UMass-SemiMech,inc case,2,Overall,0.7,0.74,0.29,0.85,0.36,153,32,NA
USC-SIkJalpha,inc case,2,Overall,0.61,0.76,0.24,0.25,0.27,153,32,NA
UVA-Ensemble,inc case,2,Overall,1.06,NA,0.71,0.88,NA,153,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.39,0.43,0.39,0.78,-0.15,152,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.44,NA,0.57,0.93,NA,136,31,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.45,0.99,0.22,155,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.59,0.56,0.47,0.92,0.05,155,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.56,0.61,0.43,0.77,0.08,151,32,NA
ILM-EKF,inc case,1,Overall,0.47,0.47,0.52,0.9,-0.01,155,32,NA
LANL-GrowthRate,inc case,1,Overall,0.67,0.7,0.51,0.85,-0.38,124,32,NA
MUNI-ARIMA,inc case,1,Overall,0.65,0.64,0.58,0.92,-0.03,155,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.15,1.2,0.46,0.81,-0.03,155,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.55,NA,NA,NA,NA,155,32,NA
UMass-SemiMech,inc case,1,Overall,0.79,0.8,0.5,0.88,0.15,155,32,NA
USC-SIkJalpha,inc case,1,Overall,0.91,1.04,0.26,0.27,0.25,155,32,NA
UVA-Ensemble,inc case,1,Overall,1.72,NA,0.66,0.9,NA,155,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.53,0.57,0.37,0.76,-0.17,155,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.42,0.87,0.48,153,31,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.52,0.55,0.29,0.73,0.49,153,31,NA
IEM_Health-CovidProject,inc case,4,Overall,0.74,0.83,0.26,0.52,0.5,152,31,NA
ILM-EKF,inc case,4,Overall,0.38,0.42,0.45,0.9,0.27,152,31,NA
MUNI-ARIMA,inc case,4,Overall,0.65,0.68,0.6,0.93,0.19,153,31,NA
RobertWalraven-ESG,inc case,4,Overall,0.55,0.77,0.48,0.76,0.16,153,31,NA
UMass-SemiMech,inc case,4,Overall,0.68,0.86,0.21,0.69,0.55,153,31,NA
USC-SIkJalpha,inc case,4,Overall,0.51,0.76,0.27,0.29,0.37,153,31,NA
UVA-Ensemble,inc case,4,Overall,1.06,NA,0.46,0.7,NA,153,31,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.55,0.58,0.11,0.49,0.49,37,19,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.49,0.51,0.38,0.76,0.04,152,31,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.49,0.91,0.42,152,31,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.45,0.46,0.42,0.87,0.37,152,31,NA
IEM_Health-CovidProject,inc case,3,Overall,0.61,0.68,0.29,0.65,0.44,150,31,NA
ILM-EKF,inc case,3,Overall,0.31,0.38,0.45,0.93,0.22,152,31,NA
MUNI-ARIMA,inc case,3,Overall,0.68,0.71,0.63,0.93,0.11,152,31,NA
RobertWalraven-ESG,inc case,3,Overall,0.62,0.77,0.45,0.78,0.16,152,31,NA
UMass-SemiMech,inc case,3,Overall,0.65,0.75,0.28,0.7,0.48,152,31,NA
USC-SIkJalpha,inc case,3,Overall,0.51,0.69,0.27,0.27,0.34,152,31,NA
UVA-Ensemble,inc case,3,Overall,0.94,NA,0.61,0.83,NA,152,31,NA
epiforecasts-EpiNow2,inc case,3,Overall,0.37,0.42,0.4,0.83,-0.06,151,31,NA
BIOCOMSC-Gompertz,inc death,2,Overall,1.1,NA,0.51,0.91,NA,122,29,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.71,0.98,0.32,156,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.42,0.44,0.66,0.95,0.19,156,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.61,0.61,0.49,0.87,0.27,152,32,NA
ILM-EKF,inc death,2,Overall,0.51,0.53,0.78,0.96,0.08,155,32,NA
MUNI-ARIMA,inc death,2,Overall,0.64,0.6,0.56,0.96,0.19,156,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.53,0.57,0.74,0.96,0.04,156,32,NA
UMass-MechBayes,inc death,2,Overall,0.5,0.51,0.47,0.93,0.16,156,32,NA
UMass-SemiMech,inc death,2,Overall,0.5,0.51,0.53,0.91,0.24,156,32,NA
USC-SIkJalpha,inc death,2,Overall,0.51,0.62,0.31,0.36,0.24,156,32,NA
USyd-OneModelMan,inc death,2,Overall,0.52,NA,NA,NA,NA,156,32,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.61,0.68,0.54,0.93,-0.05,136,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,1.18,NA,0.41,0.85,NA,124,30,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.6,0.97,0.27,157,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.59,0.54,0.68,0.95,0.12,157,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.66,0.57,0.57,0.87,0.15,152,31,NA
ILM-EKF,inc death,1,Overall,0.69,0.66,0.8,0.97,0.07,157,32,NA
Imperial-DeCa,inc death,1,Overall,1.13,1.37,0.12,0.37,-0.4,65,19,NA
Imperial-RtI0,inc death,1,Overall,1.14,1.25,0.22,0.6,-0.05,65,19,NA
Imperial-sbkp,inc death,1,Overall,1.05,1.23,0.23,0.55,-0.17,65,19,NA
LANL-GrowthRate,inc death,1,Overall,0.91,0.92,0.3,0.77,0.08,126,32,NA
MUNI-ARIMA,inc death,1,Overall,0.86,0.7,0.54,0.95,0.11,157,32,NA
