model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,3,Overall,1.69,1.69,0.49,0.96,0.32,104,25,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.32,0.78,0.27,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,1.12,1.06,0.48,0.91,0.31,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.66,1.65,0.41,0.83,0.38,160,32,NA
ILM-EKF,inc case,3,Overall,1.74,1.58,0.42,0.86,0.28,160,32,NA
LANL-GrowthRate,inc case,3,Overall,0.87,0.87,0.56,0.88,0.08,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,1,NA,0.26,0.59,NA,160,32,NA
UMass-SemiMech,inc case,3,Overall,1.1,1.17,0.53,0.91,0.13,124,32,NA
USC-SIkJalpha,inc case,3,Overall,0.99,0.98,0.43,0.61,0.17,160,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,1.08,1.07,0.2,0.69,0.42,54,23,NA
epiforecasts-EpiNow2,inc case,3,Overall,1.16,1.13,0.43,0.87,0.14,159,32,NA
DSMPG-bayes,inc case,2,Overall,1.13,1.12,0.54,0.96,0.3,101,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.26,0.84,0.34,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.85,0.82,0.54,0.94,0.24,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.19,1.25,0.42,0.83,0.37,160,32,NA
ILM-EKF,inc case,2,Overall,1.19,1.1,0.47,0.92,0.24,160,32,NA
LANL-GrowthRate,inc case,2,Overall,0.8,0.82,0.61,0.93,-0.08,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.85,NA,0.29,0.61,NA,160,32,NA
UMass-SemiMech,inc case,2,Overall,0.94,0.96,0.53,0.94,0.16,156,32,NA
USC-SIkJalpha,inc case,2,Overall,0.88,0.92,0.49,0.63,0.23,160,32,NA
UVA-Ensemble,inc case,2,Overall,1.56,NA,0.24,0.45,NA,160,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,1.05,1.1,0.25,0.65,0.35,55,22,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.99,0.97,0.43,0.88,0.09,159,32,NA
DSMPG-bayes,inc case,1,Overall,0.8,0.74,0.49,0.94,0.26,102,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.21,0.92,0.38,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.7,0.65,0.72,0.96,0.15,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.09,1,0.51,0.92,0.34,160,32,NA
ILM-EKF,inc case,1,Overall,0.89,0.79,0.51,0.94,0.16,160,32,NA
LANL-GrowthRate,inc case,1,Overall,0.98,0.91,0.69,0.96,-0.26,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.85,NA,0.31,0.69,NA,160,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.95,NA,NA,NA,NA,160,32,NA
UMass-SemiMech,inc case,1,Overall,1.1,1.15,0.63,0.94,0.06,160,32,NA
USC-SIkJalpha,inc case,1,Overall,0.93,0.92,0.53,0.59,0.27,160,32,NA
UVA-Ensemble,inc case,1,Overall,2,NA,0.24,0.57,NA,160,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.84,0.84,0.38,0.84,0.31,64,22,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.02,0.88,0.55,0.86,0.08,159,32,NA
DSMPG-bayes,inc case,4,Overall,2.27,2.5,0.43,NA,0.34,105,25,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.35,0.78,0.21,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.44,1.41,0.4,0.89,0.34,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,2.31,2.29,0.38,0.78,0.34,160,32,NA
ILM-EKF,inc case,4,Overall,2.19,2.14,0.41,0.84,0.3,160,32,NA
LANL-GrowthRate,inc case,4,Overall,1,0.93,0.44,0.82,0.13,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,1.12,NA,0.28,0.61,NA,160,32,NA
USC-SIkJalpha,inc case,4,Overall,0.96,1.03,0.42,0.64,0.07,160,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.96,0.99,0.27,0.7,0.37,77,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.39,1.34,0.45,0.84,0.17,159,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.39,0.81,0.14,159,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.33,0.62,0.11,159,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.6,0.82,0.06,160,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.85,0.75,0.67,0.98,0.26,160,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.72,1.49,0.53,0.95,-0.03,160,32,NA
ILM-EKF,inc death,4,Overall,1.77,1.56,0.65,0.98,0.33,160,32,NA
LANL-GrowthRate,inc death,4,Overall,0.92,0.79,0.46,0.87,-0.13,160,32,NA
RobertWalraven-ESG,inc death,4,Overall,1.09,1.13,0.37,0.66,-0.29,160,32,NA
USC-SIkJalpha,inc death,4,Overall,0.87,0.84,0.51,0.75,0.24,160,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,1.06,0.93,0.34,0.78,0.17,77,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,1.5,1.41,0.53,0.92,0.31,158,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.54,0.86,0.08,160,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.65,0.59,0.72,0.98,0.23,160,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.4,1.27,0.59,0.95,0.08,160,32,NA
ILM-EKF,inc death,3,Overall,1.16,1,0.69,0.98,0.27,160,32,NA
LANL-GrowthRate,inc death,3,Overall,0.78,0.68,0.44,0.87,-0.1,160,32,NA
RobertWalraven-ESG,inc death,3,Overall,0.95,1.02,0.41,0.69,-0.19,160,32,NA
UMass-MechBayes,inc death,3,Overall,0.8,0.73,0.6,0.98,0.16,124,32,NA
UMass-SemiMech,inc death,3,Overall,0.97,0.86,0.58,0.93,0.32,124,32,NA
USC-SIkJalpha,inc death,3,Overall,0.83,0.83,0.43,0.65,0.33,160,32,NA
USyd-OneModelMan,inc death,3,Overall,1.2,NA,NA,NA,NA,128,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,1.09,1.04,0.17,0.74,0.36,54,23,NA
epiforecasts-EpiNow2,inc death,3,Overall,1.2,1.1,0.52,0.92,0.28,158,32,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.49,0.89,0.14,160,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.54,0.54,0.72,0.99,0.19,160,32,NA
IEM_Health-CovidProject,inc death,2,Overall,1.12,1.05,0.54,0.94,0.14,160,32,NA
ILM-EKF,inc death,2,Overall,0.91,0.86,0.81,0.99,0.2,160,32,NA
LANL-GrowthRate,inc death,2,Overall,0.75,0.69,0.42,0.88,-0.11,160,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.89,0.95,0.42,0.68,-0.03,160,32,NA
