model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.95,NA,0.36,0.9,NA,136,31,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.6,0.9,-0.24,158,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.95,1.02,0.39,0.8,-0.35,158,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.73,0.85,0.22,0.5,-0.36,153,31,NA
ILM-EKF,inc case,2,Overall,1.01,1.15,0.28,0.65,-0.5,158,32,NA
Karlen-pypm,inc case,2,Overall,7.07,4.63,0.36,0.82,0.23,22,18,NA
LANL-GrowthRate,inc case,2,Overall,0.82,0.91,0.3,0.72,-0.54,158,32,NA
MUNI-ARIMA,inc case,2,Overall,0.75,0.8,0.53,0.87,-0.38,158,32,NA
RobertWalraven-ESG,inc case,2,Overall,1.04,1.29,0.29,0.57,-0.55,158,32,NA
USC-SIkJalpha,inc case,2,Overall,1.15,1.38,0.18,0.19,-0.52,158,32,NA
UVA-Ensemble,inc case,2,Overall,1.39,NA,0.54,0.8,NA,158,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,1.68,1.98,0.25,0.61,-0.37,158,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.91,NA,0.4,0.91,NA,136,32,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.52,0.93,-0.28,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.91,0.83,0.43,0.86,-0.34,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.88,0.94,0.25,0.63,-0.35,155,31,NA
ILM-EKF,inc case,1,Overall,1.25,1.36,0.29,0.72,-0.46,160,32,NA
Karlen-pypm,inc case,1,Overall,1.99,1.22,0.64,0.9,0.18,50,29,NA
LANL-GrowthRate,inc case,1,Overall,0.81,0.81,0.33,0.8,-0.51,160,32,NA
MUNI-ARIMA,inc case,1,Overall,0.94,1.05,0.53,0.83,-0.3,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.04,1.2,0.36,0.66,-0.49,160,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.73,NA,NA,NA,NA,160,32,NA
USC-SIkJalpha,inc case,1,Overall,1.43,1.56,0.37,0.39,-0.37,160,32,NA
UVA-Ensemble,inc case,1,Overall,1.76,NA,0.62,0.86,NA,160,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.41,1.46,0.34,0.73,-0.29,160,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.59,0.87,-0.07,156,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.73,0.77,0.38,0.75,-0.27,156,32,NA
IEM_Health-CovidProject,inc case,4,Overall,0.69,0.83,0.36,0.64,-0.37,152,32,NA
ILM-EKF,inc case,4,Overall,0.73,0.84,0.33,0.71,-0.42,156,32,NA
LANL-GrowthRate,inc case,4,Overall,0.99,0.98,0.32,0.64,-0.43,125,32,NA
MUNI-ARIMA,inc case,4,Overall,0.88,0.87,0.53,0.84,-0.37,156,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.98,1.24,0.35,0.62,-0.36,156,32,NA
UMass-SemiMech,inc case,4,Overall,0.8,0.87,0.3,0.68,-0.14,156,32,NA
USC-SIkJalpha,inc case,4,Overall,0.93,1.08,0.22,0.24,-0.5,156,32,NA
UVA-Ensemble,inc case,4,Overall,1.07,NA,0.38,0.62,NA,156,32,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.7,0.78,0.22,0.52,-0.62,156,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.61,0.86,-0.15,157,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.77,0.74,0.34,0.78,-0.34,157,32,NA
IEM_Health-CovidProject,inc case,3,Overall,0.75,0.88,0.22,0.55,-0.36,152,31,NA
ILM-EKF,inc case,3,Overall,0.89,0.99,0.29,0.66,-0.48,157,32,NA
LANL-GrowthRate,inc case,3,Overall,0.85,0.93,0.29,0.64,-0.47,157,32,NA
MUNI-ARIMA,inc case,3,Overall,0.78,0.77,0.52,0.86,-0.39,157,32,NA
RobertWalraven-ESG,inc case,3,Overall,1.04,1.29,0.27,0.59,-0.47,157,32,NA
UMass-SemiMech,inc case,3,Overall,0.84,0.84,0.39,0.78,-0.24,157,32,NA
USC-SIkJalpha,inc case,3,Overall,1.02,1.19,0.15,0.16,-0.51,157,32,NA
UVA-Ensemble,inc case,3,Overall,1.16,NA,0.49,0.74,NA,157,32,NA
epiforecasts-EpiNow2,inc case,3,Overall,0.85,0.87,0.24,0.58,-0.49,157,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,1.48,NA,0.43,0.82,NA,122,30,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.87,0.99,0.17,159,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.44,0.39,0.77,0.95,0.19,159,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.69,0.52,0.56,0.87,0.16,154,31,NA
ILM-EKF,inc death,2,Overall,0.5,0.48,0.84,0.97,0.06,159,32,NA
Karlen-pypm,inc death,2,Overall,1.24,0.73,0.32,0.95,0.12,22,18,NA
LANL-GrowthRate,inc death,2,Overall,0.6,0.56,0.36,0.71,0.15,159,32,NA
MUNI-ARIMA,inc death,2,Overall,0.66,0.56,0.71,0.96,0.04,159,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.62,0.57,0.79,0.95,-0.07,159,32,NA
UMass-MechBayes,inc death,2,Overall,0.69,0.6,0.56,0.92,0.15,159,32,NA
USC-SIkJalpha,inc death,2,Overall,0.51,0.47,0.4,0.47,0.21,159,32,NA
