model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.42,NA,0.77,0.99,NA,128,30,NA
DSMPG-bayes,inc case,2,Overall,0.37,0.35,0.52,0.96,0.08,80,24,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.33,0.92,0.55,153,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.49,0.49,0.49,0.89,0.43,153,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.84,0.85,0.25,0.65,0.56,153,32,NA
ILM-EKF,inc case,2,Overall,0.42,0.44,0.44,0.95,0.31,152,32,NA
MUNI-ARIMA,inc case,2,Overall,0.53,0.57,0.59,0.92,0.27,153,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.58,0.65,0.41,0.77,0.22,153,32,NA
UMass-SemiMech,inc case,2,Overall,0.77,0.96,0.27,0.82,0.46,153,32,NA
USC-SIkJalpha,inc case,2,Overall,0.58,0.81,0.25,0.29,0.52,153,32,NA
UVA-Ensemble,inc case,2,Overall,1.41,NA,0.59,0.82,NA,153,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.54,0.5,0.28,0.76,0.48,46,20,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.53,0.56,0.34,0.66,0.47,32,16,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.65,0.66,0.44,0.86,0.12,152,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.53,NA,0.68,0.98,NA,130,31,NA
DSMPG-bayes,inc case,1,Overall,0.44,0.41,0.61,0.97,0.16,62,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.24,0.97,0.49,153,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.53,0.52,0.54,0.97,0.33,153,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.81,0.77,0.4,0.85,0.38,152,32,NA
ILM-EKF,inc case,1,Overall,0.5,0.46,0.55,0.97,0.26,152,32,NA
MUNI-ARIMA,inc case,1,Overall,0.57,0.62,0.56,0.91,0.24,153,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.83,0.87,0.44,0.81,0.21,153,32,NA
