model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.49,NA,0.49,0.9,NA,136,31,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.59,0.95,0.13,155,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.59,0.63,0.43,0.85,-0.05,155,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.58,0.69,0.34,0.68,-0.04,151,32,NA
ILM-EKF,inc case,2,Overall,0.47,0.57,0.43,0.81,-0.13,155,32,NA
LANL-GrowthRate,inc case,2,Overall,0.65,0.73,0.38,0.76,-0.39,125,32,NA
MUNI-ARIMA,inc case,2,Overall,0.74,0.75,0.58,0.9,-0.14,155,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.96,1.15,0.41,0.74,-0.15,155,32,NA
UMass-SemiMech,inc case,2,Overall,0.66,0.71,0.3,0.81,0.11,155,32,NA
USC-SIkJalpha,inc case,2,Overall,0.81,0.98,0.23,0.23,0,155,32,NA
UVA-Ensemble,inc case,2,Overall,1.21,NA,0.68,0.85,NA,155,32,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.45,0.58,0.34,0.68,-0.32,155,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.48,NA,0.53,0.92,NA,137,31,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.48,0.97,0.06,156,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.62,0.64,0.44,0.88,-0.11,156,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.63,0.71,0.33,0.68,-0.06,151,31,NA
ILM-EKF,inc case,1,Overall,0.69,0.74,0.43,0.82,-0.17,156,32,NA
LANL-GrowthRate,inc case,1,Overall,0.66,0.76,0.47,0.83,-0.43,156,32,NA
MUNI-ARIMA,inc case,1,Overall,0.6,0.61,0.57,0.9,-0.13,156,32,NA
RobertWalraven-ESG,inc case,1,Overall,1.1,1.23,0.42,0.71,-0.21,156,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.55,NA,NA,NA,NA,156,32,NA
UMass-SemiMech,inc case,1,Overall,0.69,0.71,0.48,0.87,-0.01,156,32,NA
USC-SIkJalpha,inc case,1,Overall,1.14,1.28,0.25,0.27,0.06,156,32,NA
