model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.55,NA,0.75,1,NA,130,29,NA
DSMPG-bayes,inc case,1,Overall,0.57,0.49,0.53,0.96,0.11,101,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.21,0.97,0.54,156,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.56,0.55,0.62,0.96,0.31,156,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.04,0.95,0.31,0.82,0.55,156,32,NA
ILM-EKF,inc case,1,Overall,0.53,0.5,0.55,0.95,0.27,155,32,NA
LANL-GrowthRate,inc case,1,Overall,0.7,0.76,0.73,0.97,-0.2,156,32,NA
MUNI-ARIMA,inc case,1,Overall,0.52,0.58,0.53,0.89,0.28,124,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.72,0.75,0.43,0.74,0.25,156,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.43,NA,NA,NA,NA,156,32,NA
UMass-SemiMech,inc case,1,Overall,1.05,1.33,0.49,0.91,0.3,156,32,NA
USC-SIkJalpha,inc case,1,Overall,0.8,0.99,0.37,0.42,0.46,156,32,NA
UVA-Ensemble,inc case,1,Overall,1.81,NA,0.5,0.85,NA,156,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.65,0.6,0.4,0.84,0.39,63,21,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.71,0.7,0.29,0.66,0.46,38,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.9,0.87,0.58,0.9,0.15,155,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.38,NA,0.78,1,NA,103,29,NA
DSMPG-bayes,inc case,2,Overall,0.49,0.43,0.57,0.97,0.1,104,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.29,0.89,0.56,157,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.54,0.51,0.51,0.9,0.38,157,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.92,0.87,0.24,0.67,0.61,157,32,NA
ILM-EKF,inc case,2,Overall,0.62,0.58,0.46,0.95,0.3,157,32,NA
LANL-GrowthRate,inc case,2,Overall,0.46,0.49,0.73,0.97,-0.02,157,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.55,0.64,0.41,0.75,0.19,157,32,NA
UMass-SemiMech,inc case,2,Overall,0.69,0.77,0.46,0.88,0.26,157,32,NA
USC-SIkJalpha,inc case,2,Overall,0.66,0.78,0.34,0.38,0.53,157,32,NA
UVA-Ensemble,inc case,2,Overall,1.65,NA,0.5,0.76,NA,157,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.72,0.61,0.28,0.78,0.59,60,19,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.79,0.73,0.45,0.89,0.19,157,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.25,0.81,0.56,157,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.81,0.81,0.43,0.81,0.45,157,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.29,1.28,0.28,0.68,0.59,157,32,NA
ILM-EKF,inc case,4,Overall,0.94,0.9,0.48,0.9,0.34,157,32,NA
LANL-GrowthRate,inc case,4,Overall,0.64,0.62,0.52,0.9,0.31,157,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.63,NA,0.38,0.64,NA,157,32,NA
UMass-SemiMech,inc case,4,Overall,0.8,0.91,0.43,0.85,0.27,157,32,NA
USC-SIkJalpha,inc case,4,Overall,0.68,0.81,0.32,0.4,0.37,157,32,NA
