model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,4,Overall,1.75,1.89,0.47,0.96,0.33,104,25,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.3,0.77,0.34,160,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,1.26,1.18,0.45,0.88,0.37,160,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.89,1.81,0.38,0.79,0.43,160,32,NA
ILM-EKF,inc case,4,Overall,1.92,1.79,0.43,0.84,0.33,160,32,NA
LANL-GrowthRate,inc case,4,Overall,0.86,0.8,0.49,0.86,0.22,160,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.89,NA,0.31,0.6,NA,160,32,NA
UMass-SemiMech,inc case,4,Overall,1.12,1.23,0.44,0.92,0.2,124,32,NA
USC-SIkJalpha,inc case,4,Overall,0.91,0.96,0.39,0.56,0.22,160,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.96,0.96,0.28,0.69,0.49,54,23,NA
epiforecasts-EpiNow2,inc case,4,Overall,1.19,1.11,0.43,0.84,0.14,159,32,NA
DSMPG-bayes,inc case,3,Overall,1.25,1.28,0.56,0.96,0.27,101,25,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.28,0.8,0.37,160,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.92,0.89,0.49,0.91,0.32,160,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.4,1.41,0.38,0.8,0.45,160,32,NA
ILM-EKF,inc case,3,Overall,1.33,1.24,0.48,0.88,0.27,160,32,NA
LANL-GrowthRate,inc case,3,Overall,0.72,0.73,0.64,0.91,0.08,160,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.87,NA,0.28,0.56,NA,160,32,NA
UMass-SemiMech,inc case,3,Overall,0.95,0.97,0.52,0.91,0.2,156,32,NA
USC-SIkJalpha,inc case,3,Overall,0.87,0.88,0.42,0.55,0.24,160,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.84,0.87,0.29,0.73,0.39,55,22,NA
epiforecasts-EpiNow2,inc case,3,Overall,1,0.97,0.43,0.88,0.1,159,32,NA
DSMPG-bayes,inc case,2,Overall,0.85,0.79,0.55,0.96,0.15,102,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.26,0.86,0.4,160,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.63,0.63,0.56,0.93,0.24,160,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.97,1.04,0.39,0.81,0.42,160,32,NA
ILM-EKF,inc case,2,Overall,0.82,0.76,0.51,0.96,0.2,160,32,NA
LANL-GrowthRate,inc case,2,Overall,0.63,0.67,0.66,0.96,-0.11,160,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.72,NA,0.31,0.66,NA,160,32,NA
UMass-SemiMech,inc case,2,Overall,0.84,0.94,0.54,0.93,0.13,160,32,NA
USC-SIkJalpha,inc case,2,Overall,0.81,0.9,0.46,0.54,0.28,160,32,NA
UVA-Ensemble,inc case,2,Overall,1.76,NA,0.28,0.52,NA,160,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.85,0.88,0.31,0.73,0.38,64,22,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.86,0.86,0.45,0.89,0.07,159,32,NA
DSMPG-bayes,inc case,1,Overall,0.61,0.52,0.56,0.96,0.16,104,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.23,0.94,0.39,160,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.55,0.52,0.75,0.98,0.15,160,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.95,0.86,0.49,0.92,0.37,160,32,NA
ILM-EKF,inc case,1,Overall,0.73,0.65,0.57,0.96,0.12,160,32,NA
LANL-GrowthRate,inc case,1,Overall,0.87,0.85,0.76,0.98,-0.28,160,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.68,NA,0.34,0.73,NA,160,32,NA
