model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.37,NA,0.69,0.97,NA,239,31,NA
DSMPG-bayes,inc case,1,Overall,1.03,0.66,0.5,0.92,0.28,232,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.24,0.94,0.26,502,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.71,0.6,0.62,0.96,0.17,502,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.06,0.89,0.44,0.87,0.26,499,32,NA
ILM-EKF,inc case,1,Overall,0.85,0.67,0.53,0.94,0.15,501,32,NA
MUNI-ARIMA,inc case,1,Overall,0.39,0.68,0.56,0.91,0.18,247,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.93,1.17,0.38,0.77,0.16,502,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.72,NA,NA,NA,NA,407,32,NA
UMass-SemiMech,inc case,1,Overall,0.96,1.06,0.53,0.92,0.22,403,32,NA
USC-SIkJalpha,inc case,1,Overall,0.94,1.01,0.42,0.51,0.24,502,32,NA
UVA-Ensemble,inc case,1,Overall,1.67,NA,0.42,0.73,NA,474,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.88,0.72,0.34,0.81,0.23,197,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.6,0.69,0.57,0.93,0.12,72,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.54,0.78,0.31,0.69,0.47,54,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.91,0.78,0.51,0.87,0.09,500,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.32,NA,0.72,0.98,NA,212,31,NA
DSMPG-bayes,inc case,2,Overall,1.05,0.7,0.49,0.95,0.23,230,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.32,0.87,0.28,469,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.74,0.61,0.5,0.92,0.26,469,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.06,0.95,0.33,0.76,0.35,467,32,NA
ILM-EKF,inc case,2,Overall,0.9,0.7,0.46,0.93,0.21,468,32,NA
MUNI-ARIMA,inc case,2,Overall,0.43,0.79,0.61,0.93,0.22,214,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.84,1.08,0.37,0.72,0.21,469,32,NA
UMass-SemiMech,inc case,2,Overall,0.82,0.9,0.39,0.88,0.33,370,32,NA
USC-SIkJalpha,inc case,2,Overall,0.81,0.87,0.36,0.48,0.26,469,32,NA
UVA-Ensemble,inc case,2,Overall,1.41,NA,0.4,0.63,NA,441,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.89,0.75,0.28,0.7,0.26,191,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.54,0.62,0.37,0.78,0.27,68,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.51,0.78,0.29,0.57,0.53,49,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.83,0.75,0.45,0.86,0.11,467,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.32,0.83,0.33,438,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.82,0.7,0.41,0.87,0.36,438,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.24,1.1,0.3,0.69,0.42,437,32,NA
ILM-EKF,inc case,3,Overall,1.06,0.81,0.43,0.89,0.26,438,32,NA
MUNI-ARIMA,inc case,3,Overall,0.48,0.91,0.61,0.93,0.25,153,31,NA
RobertWalraven-ESG,inc case,3,Overall,0.83,1.01,0.35,0.67,0.21,438,32,NA
UMass-SemiMech,inc case,3,Overall,0.8,0.94,0.37,0.79,0.37,339,32,NA
USC-SIkJalpha,inc case,3,Overall,0.78,0.83,0.34,0.44,0.26,438,32,NA
UVA-Ensemble,inc case,3,Overall,1.21,NA,0.33,0.55,NA,378,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.88,0.74,0.24,0.68,0.32,186,32,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,0.59,0.83,0.16,0.42,0.51,45,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,0.89,0.78,0.42,0.85,0.13,436,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.31,0.8,0.37,406,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.95,0.82,0.33,0.79,0.43,406,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.49,1.32,0.26,0.61,0.47,406,32,NA
ILM-EKF,inc case,4,Overall,1.31,0.96,0.43,0.88,0.31,405,32,NA
MUNI-ARIMA,inc case,4,Overall,0.52,0.95,0.57,0.93,0.26,122,31,NA
RobertWalraven-ESG,inc case,4,Overall,0.76,0.93,0.37,0.68,0.22,406,32,NA
UMass-SemiMech,inc case,4,Overall,0.87,1.06,0.31,0.77,0.42,307,32,NA
USC-SIkJalpha,inc case,4,Overall,0.77,0.84,0.31,0.42,0.29,406,32,NA
UVA-Ensemble,inc case,4,Overall,1.21,NA,0.26,0.47,NA,314,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.87,0.75,0.24,0.65,0.37,179,32,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,0.59,0.83,0.2,0.4,0.5,40,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.99,0.83,0.39,0.82,0.16,404,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.31,0.8,0.39,375,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.27,0.4,0.33,375,32,NA
BIOCOMSC-Gompertz,inc death,1,Overall,0.66,NA,0.52,0.91,NA,223,31,NA
EuroCOVIDhub-baseline,inc death,1,Overall,1,1,0.4,0.95,0.19,507,32,NA
EuroCOVIDhub-ensemble,inc death,1,Overall,0.56,0.55,0.72,0.98,0.14,507,32,NA
IEM_Health-CovidProject,inc death,1,Overall,0.91,0.84,0.59,0.92,0.11,503,32,NA
ILM-EKF,inc death,1,Overall,0.7,0.77,0.87,0.99,0.11,506,32,NA
MUNI-ARIMA,inc death,1,Overall,0.55,0.78,0.51,0.93,0.2,251,32,NA
RobertWalraven-ESG,inc death,1,Overall,0.77,0.74,0.53,0.83,-0.02,507,32,NA
SDSC_ISG-TrendModel,inc death,1,Overall,0.74,NA,NA,NA,NA,411,32,NA
UMass-MechBayes,inc death,1,Overall,0.67,0.74,0.57,0.93,0.13,407,32,NA
UMass-SemiMech,inc death,1,Overall,0.76,0.9,0.58,0.9,0.14,407,32,NA
USC-SIkJalpha,inc death,1,Overall,0.74,0.89,0.43,0.54,0.23,507,32,NA
USyd-OneModelMan,inc death,1,Overall,0.68,NA,NA,NA,NA,411,32,NA
epiforecasts-EpiExpert,inc death,1,Overall,0.91,0.73,0.4,0.78,0.17,196,32,NA
epiforecasts-EpiExpert_Rt,inc death,1,Overall,0.7,0.79,0.5,0.93,0.17,72,19,NA
epiforecasts-EpiNow2,inc death,1,Overall,0.95,0.85,0.57,0.93,0.17,485,32,NA
BIOCOMSC-Gompertz,inc death,2,Overall,0.63,NA,0.56,0.94,NA,200,31,NA
EuroCOVIDhub-baseline,inc death,2,Overall,1,1,0.53,0.92,0.22,474,32,NA
EuroCOVIDhub-ensemble,inc death,2,Overall,0.45,0.44,0.66,0.97,0.22,474,32,NA
IEM_Health-CovidProject,inc death,2,Overall,0.92,0.84,0.49,0.9,0.19,471,32,NA
ILM-EKF,inc death,2,Overall,0.66,0.6,0.78,0.99,0.18,473,32,NA
MUNI-ARIMA,inc death,2,Overall,0.5,0.76,0.53,0.96,0.29,218,32,NA
RobertWalraven-ESG,inc death,2,Overall,0.72,0.71,0.55,0.8,-0.02,474,32,NA
UMass-MechBayes,inc death,2,Overall,0.46,0.53,0.53,0.94,0.18,374,32,NA
UMass-SemiMech,inc death,2,Overall,0.55,0.66,0.55,0.89,0.27,374,32,NA
USC-SIkJalpha,inc death,2,Overall,0.6,0.62,0.42,0.54,0.29,474,32,NA
USyd-OneModelMan,inc death,2,Overall,0.65,NA,NA,NA,NA,378,32,NA
epiforecasts-EpiExpert,inc death,2,Overall,0.83,0.68,0.31,0.76,0.24,191,32,NA
epiforecasts-EpiExpert_Rt,inc death,2,Overall,0.52,0.62,0.44,0.81,0.28,68,19,NA
epiforecasts-EpiNow2,inc death,2,Overall,0.83,0.72,0.49,0.9,0.25,454,32,NA
EuroCOVIDhub-baseline,inc death,3,Overall,1,1,0.53,0.88,0.24,442,32,NA
EuroCOVIDhub-ensemble,inc death,3,Overall,0.46,0.43,0.6,0.95,0.3,442,32,NA
IEM_Health-CovidProject,inc death,3,Overall,1.03,0.91,0.46,0.88,0.24,440,32,NA
ILM-EKF,inc death,3,Overall,0.74,0.62,0.68,0.98,0.24,441,32,NA
MUNI-ARIMA,inc death,3,Overall,0.44,0.81,0.53,0.95,0.3,155,31,NA
RobertWalraven-ESG,inc death,3,Overall,0.73,0.71,0.54,0.78,-0.04,442,32,NA
UMass-MechBayes,inc death,3,Overall,0.46,0.5,0.49,0.94,0.24,342,32,NA
UMass-SemiMech,inc death,3,Overall,0.56,0.61,0.46,0.89,0.37,342,32,NA
USC-SIkJalpha,inc death,3,Overall,0.61,0.62,0.36,0.51,0.37,442,32,NA
USyd-OneModelMan,inc death,3,Overall,0.71,NA,NA,NA,NA,346,32,NA
epiforecasts-EpiExpert,inc death,3,Overall,0.74,0.61,0.32,0.77,0.31,186,32,NA
epiforecasts-EpiNow2,inc death,3,Overall,0.85,0.73,0.48,0.9,0.3,424,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.55,0.84,0.28,410,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.52,0.47,0.55,0.91,0.37,410,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.17,1.04,0.37,0.81,0.31,409,32,NA
ILM-EKF,inc death,4,Overall,0.9,0.71,0.59,0.97,0.3,409,32,NA
MUNI-ARIMA,inc death,4,Overall,0.42,0.83,0.56,0.94,0.32,124,31,NA
RobertWalraven-ESG,inc death,4,Overall,0.73,0.71,0.52,0.76,-0.03,410,32,NA
UMass-MechBayes,inc death,4,Overall,0.49,0.53,0.49,0.9,0.28,310,32,NA
UMass-SemiMech,inc death,4,Overall,0.6,0.67,0.39,0.85,0.44,310,32,NA
USC-SIkJalpha,inc death,4,Overall,0.57,0.58,0.36,0.52,0.4,410,32,NA
USyd-OneModelMan,inc death,4,Overall,0.76,NA,NA,NA,NA,314,32,NA
epiforecasts-EpiExpert,inc death,4,Overall,0.75,0.61,0.26,0.73,0.34,179,32,NA
epiforecasts-EpiNow2,inc death,4,Overall,0.88,0.75,0.47,0.91,0.31,398,32,NA
LANL-GrowthRate,inc death,5,Overall,NA,NA,0.36,0.79,0.24,379,32,NA
USC-SIkJalpha,inc death,5,Overall,NA,NA,0.36,0.54,0.43,379,32,NA
BIOCOMSC-Gompertz,inc case,1,AT,0.26,NA,0.78,1,NA,9,1,Austria
EuroCOVIDhub-baseline,inc case,1,AT,1,1,0.25,1,0.38,16,1,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,0.56,0.51,0.69,0.94,0.35,16,1,Austria
IEM_Health-CovidProject,inc case,1,AT,0.75,0.69,0.38,0.88,0.54,16,1,Austria
ILM-EKF,inc case,1,AT,0.64,0.6,0.69,1,0.26,16,1,Austria
MUNI-ARIMA,inc case,1,AT,0.26,0.37,0.62,1,0.22,8,1,Austria
RobertWalraven-ESG,inc case,1,AT,0.64,0.9,0.62,0.94,0.37,16,1,Austria
SDSC_ISG-TrendModel,inc case,1,AT,0.43,NA,NA,NA,NA,13,1,Austria
UMass-SemiMech,inc case,1,AT,0.79,0.72,0.54,1,0.45,13,1,Austria
USC-SIkJalpha,inc case,1,AT,0.68,0.88,0.31,0.5,0.62,16,1,Austria
UVA-Ensemble,inc case,1,AT,1.49,NA,0.33,1,NA,15,1,Austria
epiforecasts-EpiNow2,inc case,1,AT,0.55,0.5,0.44,0.69,0.07,16,1,Austria
BIOCOMSC-Gompertz,inc case,2,AT,0.3,NA,1,1,NA,8,1,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1,1,0.2,1,0.39,15,1,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,0.58,0.54,0.6,0.93,0.45,15,1,Austria
IEM_Health-CovidProject,inc case,2,AT,0.81,0.78,0.33,0.73,0.64,15,1,Austria
ILM-EKF,inc case,2,AT,0.68,0.6,0.67,1,0.35,15,1,Austria
MUNI-ARIMA,inc case,2,AT,0.24,0.47,0.86,1,0.26,7,1,Austria
RobertWalraven-ESG,inc case,2,AT,0.52,0.72,0.53,0.87,0.22,15,1,Austria
UMass-SemiMech,inc case,2,AT,0.74,0.7,0.25,1,0.6,12,1,Austria
USC-SIkJalpha,inc case,2,AT,0.61,0.72,0.27,0.47,0.65,15,1,Austria
UVA-Ensemble,inc case,2,AT,1.22,NA,0.29,0.93,NA,14,1,Austria
epiforecasts-EpiNow2,inc case,2,AT,0.63,0.54,0.27,0.73,0.21,15,1,Austria
EuroCOVIDhub-baseline,inc case,3,AT,1,1,0.29,1,0.48,14,1,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,0.69,0.56,0.5,0.86,0.56,14,1,Austria
IEM_Health-CovidProject,inc case,3,AT,0.99,0.89,0.21,0.71,0.78,14,1,Austria
ILM-EKF,inc case,3,AT,0.85,0.6,0.57,1,0.44,14,1,Austria
MUNI-ARIMA,inc case,3,AT,0.09,0.71,1,1,0.14,5,1,Austria
RobertWalraven-ESG,inc case,3,AT,0.49,0.68,0.5,0.86,0.17,14,1,Austria
UMass-SemiMech,inc case,3,AT,0.67,0.7,0.27,0.82,0.65,11,1,Austria
