model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1408,290,592,527,1,1,0.17,1,-0.07,1,6,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,991,601,26,364,0.7,0.66,0.83,1,0.28,1,6,Austria
IEM_Health-CovidProject,inc case,1,AT,1264,680,1,582,0.9,0.92,0.5,1,0.43,1,6,Austria
ILM-EKF,inc case,1,AT,1430,823,3,605,1.02,0.93,0.67,1,0.37,1,6,Austria
LANL-GrowthRate,inc case,1,AT,981,512,309,160,0.7,0.71,0.5,1,-0.23,1,6,Austria
USC-SIkJalpha,inc case,1,AT,1185,774,101,310,0.84,0.62,0.67,0.83,0.2,1,6,Austria
epiforecasts-EpiNow2,inc case,1,AT,861,448,38,375,0.61,0.65,0.67,1,0.33,1,6,Austria
EuroCOVIDhub-baseline,inc case,2,AT,2522,600,1007,914,1,1,0,1,-0.12,1,5,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,2384,995,33,1357,0.95,0.92,0.4,1,0.48,1,5,Austria
IEM_Health-CovidProject,inc case,2,AT,2842,1108,3,1731,1.13,1.12,0.4,1,0.54,1,5,Austria
ILM-EKF,inc case,2,AT,3466,1627,0,1839,1.37,1.27,0.6,1,0.54,1,5,Austria
LANL-GrowthRate,inc case,2,AT,1928,695,501,732,0.76,0.82,0.2,1,0.1,1,5,Austria
USC-SIkJalpha,inc case,2,AT,2079,872,133,1074,0.82,0.77,0.2,0.8,0.33,1,5,Austria
epiforecasts-EpiNow2,inc case,2,AT,2238,945,0,1292,0.89,0.87,0.4,0.8,0.6,1,5,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2808,882,1198,729,1,1,0.25,1,-0.07,1,4,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,4250,1534,33,2683,1.51,1.42,0.5,1,0.52,1,4,Austria
IEM_Health-CovidProject,inc case,3,AT,5015,1649,0,3366,1.79,1.73,0.25,1,0.64,1,4,Austria
ILM-EKF,inc case,3,AT,5858,2788,0,3070,2.09,1.88,0.5,1,0.58,1,4,Austria
LANL-GrowthRate,inc case,3,AT,2904,875,760,1270,1.03,1.07,0.25,1,0.13,1,4,Austria
USC-SIkJalpha,inc case,3,AT,4335,1012,67,3256,1.54,1.07,0.5,0.5,0.35,1,4,Austria
epiforecasts-EpiNow2,inc case,3,AT,4401,1626,0,2775,1.57,1.47,0.25,0.75,0.68,1,4,Austria
EuroCOVIDhub-baseline,inc death,1,AT,14,6,6,2,1,1,0.17,1,-0.23,1,6,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,13,10,2,2,0.91,0.78,1,1,0.02,1,6,Austria
IEM_Health-CovidProject,inc death,1,AT,18,11,6,1,1.27,1.28,0.83,1,-0.17,1,6,Austria
ILM-EKF,inc death,1,AT,26,23,0,2,1.83,0.82,1,1,0.07,1,6,Austria
LANL-GrowthRate,inc death,1,AT,15,4,11,1,1.08,0.97,0.5,0.83,-0.29,1,6,Austria
RobertWalraven-ESG,inc death,1,AT,12,5,5,2,0.85,1.01,0.33,1,-0.27,1,6,Austria
USC-SIkJalpha,inc death,1,AT,18,11,1,6,1.28,0.9,0.67,0.83,0.27,1,6,Austria
epiforecasts-EpiNow2,inc death,1,AT,17,7,0,10,1.22,1.28,0.5,1,0.51,1,6,Austria
EuroCOVIDhub-baseline,inc death,2,AT,18,11,7,0,1,1,0.6,1,-0.42,1,5,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,14,12,1,1,0.77,0.55,1,1,0.02,1,5,Austria
IEM_Health-CovidProject,inc death,2,AT,25,15,10,0,1.37,1.39,0.8,1,-0.3,1,5,Austria
ILM-EKF,inc death,2,AT,31,27,0,4,1.7,1.22,1,1,0.18,1,5,Austria
LANL-GrowthRate,inc death,2,AT,18,6,12,0,0.95,1.19,0.2,1,-0.66,1,5,Austria
