model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1490,310,341,839,1,1,0.1,1,0.28,1,10,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,951,534,31,386,0.64,0.66,0.7,0.9,0.35,1,10,Austria
IEM_Health-CovidProject,inc case,1,AT,1222,566,1,655,0.83,0.86,0.4,0.9,0.5,1,10,Austria
ILM-EKF,inc case,1,AT,1224,734,3,486,0.81,0.77,0.6,1,0.37,1,10,Austria
LANL-GrowthRate,inc case,1,AT,813,468,217,127,0.51,0.52,0.5,1,-0.17,1,10,Austria
USC-SIkJalpha,inc case,1,AT,1439,582,53,804,0.99,0.76,0.5,0.7,0.42,1,10,Austria
epiforecasts-EpiNow2,inc case,1,AT,830,369,140,321,0.56,0.61,0.6,0.8,0.23,1,10,Austria
EuroCOVIDhub-baseline,inc case,2,AT,2697,634,532,1532,1,1,0,1,0.29,1,9,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,2080,855,22,1204,0.78,0.71,0.44,0.89,0.44,1,9,Austria
IEM_Health-CovidProject,inc case,2,AT,2586,920,1,1665,0.97,0.93,0.44,0.78,0.6,1,9,Austria
ILM-EKF,inc case,2,AT,2597,1366,0,1230,0.96,0.86,0.56,1,0.47,1,9,Austria
LANL-GrowthRate,inc case,2,AT,1569,667,267,634,0.57,0.57,0.33,1,0.21,1,9,Austria
USC-SIkJalpha,inc case,2,AT,2318,691,63,1565,0.87,0.71,0.33,0.67,0.48,1,9,Austria
epiforecasts-EpiNow2,inc case,2,AT,2108,743,274,1092,0.79,0.79,0.22,0.67,0.36,1,9,Austria
DSMPG-bayes,inc case,1,AT,1428,350,4,1073,0.83,0.86,0.14,0.71,0.72,1,7,Austria
EuroCOVIDhub-baseline,inc case,3,AT,3472,920,566,1986,1,1,0.12,1,0.36,1,8,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,3263,1288,11,1965,0.92,0.84,0.5,0.88,0.56,1,8,Austria
IEM_Health-CovidProject,inc case,3,AT,4330,1403,0,2927,1.23,1.18,0.25,0.88,0.73,1,8,Austria
ILM-EKF,inc case,3,AT,4408,2266,0,2141,1.24,1.13,0.5,1,0.56,1,8,Austria
LANL-GrowthRate,inc case,3,AT,2554,870,355,1329,0.72,0.72,0.25,0.88,0.42,1,8,Austria
USC-SIkJalpha,inc case,3,AT,3617,841,38,2738,1.02,0.74,0.38,0.5,0.45,1,8,Austria
epiforecasts-EpiNow2,inc case,3,AT,3194,1211,201,1782,0.89,0.84,0.38,0.75,0.36,1,8,Austria
EuroCOVIDhub-baseline,inc case,4,AT,3961,1170,376,2415,1,1,0.14,1,0.44,1,7,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,4722,1873,0,2850,1.12,1.09,0.14,0.86,0.7,1,7,Austria
IEM_Health-CovidProject,inc case,4,AT,6674,2045,0,4629,1.61,1.6,0.14,0.71,0.86,1,7,Austria
ILM-EKF,inc case,4,AT,7143,3600,0,3543,1.71,1.63,0.29,1,0.64,1,7,Austria
LANL-GrowthRate,inc case,4,AT,3339,1133,291,1915,0.82,0.83,0.14,1,0.54,1,7,Austria
UMass-SemiMech,inc case,1,AT,1363,854,76,433,0.87,0.86,0.57,1,0.36,1,7,Austria
USC-SIkJalpha,inc case,4,AT,4843,1110,0,3733,1.15,0.91,0.29,0.43,0.77,1,7,Austria
epiforecasts-EpiNow2,inc case,4,AT,4024,1701,53,2271,0.92,0.9,0.57,1,0.43,1,7,Austria
LANL-GrowthRate,inc case,5,AT,4029,1429,73,2527,NA,NA,0.33,0.67,0.6,1,6,Austria
