model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1491,299,323,870,1,1,0.09,1,0.32,1,11,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,909,484,35,390,0.54,0.59,0.73,0.91,0.35,1,11,Austria
IEM_Health-CovidProject,inc case,1,AT,1209,509,2,697,0.79,0.81,0.36,0.91,0.54,1,11,Austria
ILM-EKF,inc case,1,AT,1162,664,5,493,0.68,0.7,0.64,1,0.37,1,11,Austria
LANL-GrowthRate,inc case,1,AT,787,423,238,126,0.49,0.54,0.45,1,-0.21,1,11,Austria
USC-SIkJalpha,inc case,1,AT,1390,523,55,813,0.9,0.7,0.45,0.64,0.47,1,11,Austria
epiforecasts-EpiNow2,inc case,1,AT,814,328,169,317,0.52,0.57,0.55,0.73,0.12,1,11,Austria
EuroCOVIDhub-baseline,inc case,2,AT,2807,610,504,1694,1,1,0,1,0.34,1,10,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,2009,782,27,1200,0.72,0.66,0.4,0.9,0.47,1,10,Austria
IEM_Health-CovidProject,inc case,2,AT,2643,831,1,1811,0.94,0.89,0.4,0.7,0.64,1,10,Austria
ILM-EKF,inc case,2,AT,2504,1229,1,1274,0.89,0.79,0.5,1,0.5,1,10,Austria
LANL-GrowthRate,inc case,2,AT,1485,607,261,617,0.53,0.52,0.4,1,0.22,1,10,Austria
USC-SIkJalpha,inc case,2,AT,2396,622,66,1707,0.85,0.68,0.3,0.6,0.53,1,10,Austria
epiforecasts-EpiNow2,inc case,2,AT,1981,660,278,1044,0.71,0.7,0.2,0.7,0.27,1,10,Austria
DSMPG-bayes,inc case,1,AT,1297,307,8,982,0.67,0.65,0.25,0.75,0.59,1,8,Austria
EuroCOVIDhub-baseline,inc case,3,AT,3817,881,532,2404,1,1,0.11,1,0.42,1,9,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,3449,1168,15,2266,0.9,0.83,0.44,0.78,0.61,1,9,Austria
IEM_Health-CovidProject,inc case,3,AT,4567,1265,0,3302,1.2,1.13,0.22,0.78,0.76,1,9,Austria
ILM-EKF,inc case,3,AT,4361,2041,0,2320,1.14,1.05,0.44,1,0.6,1,9,Austria
LANL-GrowthRate,inc case,3,AT,2752,801,338,1613,0.72,0.71,0.22,0.78,0.49,1,9,Austria
USC-SIkJalpha,inc case,3,AT,3963,735,39,3189,1.04,0.74,0.33,0.44,0.51,1,9,Austria
