model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,1,Overall,0.45,NA,0.6,0.96,NA,322,31,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.29,0.93,0.16,598,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.7,0.6,0.58,0.94,0.06,598,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.97,0.81,0.41,0.82,0.13,592,32,NA
ILM-EKF,inc case,1,Overall,0.82,0.66,0.48,0.9,0.03,597,32,NA
Karlen-pypm,inc case,1,Overall,1.36,1.08,0.53,0.86,0.25,36,18,NA
LANL-GrowthRate,inc case,1,Overall,0.81,0.71,0.6,0.91,-0.29,567,32,NA
MUNI-ARIMA,inc case,1,Overall,0.48,0.68,0.56,0.89,0.02,343,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.94,1.21,0.37,0.74,-0.12,598,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.69,NA,NA,NA,NA,503,32,NA
USC-SIkJalpha,inc case,1,Overall,1.05,1.2,0.4,0.48,0.11,598,32,NA
UVA-Ensemble,inc case,1,Overall,1.61,NA,0.45,0.75,NA,570,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.83,0.63,0.34,0.82,0.18,212,32,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.62,0.64,0.57,0.94,0.08,82,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.58,0.63,0.32,0.69,0.28,68,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.01,1.01,0.48,0.84,0.02,596,32,NA
BIOCOMSC-Gompertz,inc case,2,Overall,0.41,NA,0.6,0.95,NA,294,31,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.38,0.87,0.18,565,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.72,0.63,0.48,0.89,0.12,565,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.99,0.9,0.31,0.71,0.2,560,32,NA
ILM-EKF,inc case,2,Overall,0.89,0.77,0.42,0.87,0.06,564,32,NA
LANL-GrowthRate,inc case,2,Overall,0.71,0.66,0.52,0.88,-0.19,535,32,NA
MUNI-ARIMA,inc case,2,Overall,0.54,0.74,0.56,0.9,-0,310,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.88,1.24,0.36,0.69,-0.14,565,32,NA
UMass-SemiMech,inc case,2,Overall,0.8,0.83,0.38,0.86,0.17,466,32,NA
USC-SIkJalpha,inc case,2,Overall,0.88,0.99,0.33,0.43,0.09,565,32,NA
UVA-Ensemble,inc case,2,Overall,1.38,NA,0.43,0.65,NA,537,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.87,0.73,0.28,0.69,0.21,203,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.54,0.56,0.35,0.78,0.18,77,19,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.57,0.73,0.26,0.54,0.31,61,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.8,0.73,0.41,0.81,-0.02,563,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.38,0.84,0.24,532,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.8,0.72,0.39,0.84,0.21,532,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.15,1.04,0.29,0.67,0.27,528,32,NA
ILM-EKF,inc case,3,Overall,0.97,0.81,0.41,0.86,0.11,532,32,NA
LANL-GrowthRate,inc case,3,Overall,0.74,0.69,0.48,0.83,-0.03,501,32,NA
MUNI-ARIMA,inc case,3,Overall,0.62,0.88,0.56,0.89,-0.04,247,32,NA
