model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1013,282,212,519,1,1,0.38,1,0.21,1,21,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,581,302,48,231,0.54,0.58,0.62,0.95,0.21,1,21,Austria
IEM_Health-CovidProject,inc case,1,AT,760,297,72,392,0.72,0.74,0.43,0.81,0.35,1,21,Austria
ILM-EKF,inc case,1,AT,795,393,138,263,0.77,0.71,0.62,0.9,0.05,1,21,Austria
LANL-GrowthRate,inc case,1,AT,544,267,196,82,0.72,0.67,0.4,0.95,-0.29,1,20,Austria
USC-SIkJalpha,inc case,1,AT,913,310,94,509,0.88,0.7,0.33,0.48,0.43,1,21,Austria
epiforecasts-EpiNow2,inc case,1,AT,642,212,150,279,0.66,0.65,0.38,0.67,0.05,1,21,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1854,557,310,987,1,1,0.35,1,0.23,1,20,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,1206,486,86,634,0.61,0.6,0.6,0.9,0.27,1,20,Austria
IEM_Health-CovidProject,inc case,2,AT,1641,461,173,1008,0.85,0.82,0.3,0.7,0.4,1,20,Austria
ILM-EKF,inc case,2,AT,1569,673,253,643,0.82,0.73,0.55,0.85,0.09,1,20,Austria
LANL-GrowthRate,inc case,2,AT,1003,390,276,336,0.8,0.7,0.53,0.89,-0.04,1,19,Austria
USC-SIkJalpha,inc case,2,AT,1564,362,214,988,0.84,0.67,0.25,0.4,0.41,1,20,Austria
epiforecasts-EpiNow2,inc case,2,AT,1663,494,262,908,0.98,0.86,0.25,0.7,0.13,1,20,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2570,787,322,1461,1,1,0.47,1,0.31,1,19,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,2019,702,156,1161,0.75,0.71,0.37,0.84,0.35,1,19,Austria
IEM_Health-CovidProject,inc case,3,AT,2820,672,305,1844,1.05,0.99,0.16,0.58,0.43,1,19,Austria
ILM-EKF,inc case,3,AT,2527,1052,339,1136,0.93,0.87,0.42,0.84,0.16,1,19,Austria
LANL-GrowthRate,inc case,3,AT,1747,482,430,834,0.9,0.76,0.33,0.78,0.14,1,18,Austria
USC-SIkJalpha,inc case,3,AT,2451,387,362,1702,0.92,0.67,0.16,0.21,0.35,1,19,Austria
epiforecasts-EpiNow2,inc case,3,AT,2384,778,322,1285,1.01,0.85,0.26,0.58,0.07,1,19,Austria
EuroCOVIDhub-baseline,inc case,4,AT,3189,996,215,1978,1,1,0.44,1,0.38,1,18,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,2871,925,247,1699,0.84,0.83,0.22,0.78,0.38,1,18,Austria
IEM_Health-CovidProject,inc case,4,AT,4209,978,332,2899,1.24,1.21,0.17,0.44,0.53,1,18,Austria
ILM-EKF,inc case,4,AT,3679,1570,340,1769,1.04,1.05,0.39,0.83,0.21,1,18,Austria
LANL-GrowthRate,inc case,4,AT,2524,635,448,1440,0.94,0.81,0.24,0.71,0.34,1,17,Austria
USC-SIkJalpha,inc case,4,AT,3208,477,379,2351,0.95,0.74,0.28,0.33,0.43,1,18,Austria
epiforecasts-EpiNow2,inc case,4,AT,2483,771,403,1309,0.77,0.72,0.33,0.72,0.05,1,18,Austria
LANL-GrowthRate,inc case,5,AT,3256,815,264,2177,NA,NA,0.19,0.56,0.47,1,16,Austria
USC-SIkJalpha,inc case,5,AT,4154,584,404,3166,NA,NA,0.12,0.18,0.43,1,17,Austria
UMass-SemiMech,inc case,4,AT,2418,917,289,1211,0.94,0.81,0.27,0.73,0.37,1,15,Austria
MUNI-ARIMA,inc case,1,AT,315,143,46,126,0.72,0.67,0.54,1,0.06,1,13,Austria
MUNI-ARIMA,inc case,2,AT,643,335,110,199,0.8,0.7,0.67,1,0.02,1,12,Austria
RobertWalraven-ESG,inc case,1,AT,412,196,144,71,0.83,0.68,0.57,0.9,0,1,21,Austria
MUNI-ARIMA,inc case,3,AT,707,434,237,36,0.9,0.76,0.8,1,-0.17,1,10,Austria
RobertWalraven-ESG,inc case,2,AT,652,243,372,36,0.76,0.58,0.5,0.75,-0.08,1,20,Austria
MUNI-ARIMA,inc case,4,AT,972,573,348,51,0.94,0.81,0.67,1,-0.17,1,9,Austria
RobertWalraven-ESG,inc case,3,AT,824,281,522,21,0.76,0.54,0.47,0.74,-0.06,1,19,Austria
RobertWalraven-ESG,inc case,4,AT,880,312,558,11,0.85,0.51,0.44,0.72,-0.08,1,18,Austria
EuroCOVIDhub-baseline,inc death,1,AT,12,5,2,5,1,1,0.48,1,0.21,1,21,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,7,5,1,2,0.63,0.59,0.76,1,0.15,1,21,Austria
IEM_Health-CovidProject,inc death,1,AT,11,6,2,3,0.89,0.93,0.52,1,0.18,1,21,Austria
ILM-EKF,inc death,1,AT,14,13,0,2,1.22,0.69,0.95,1,0.11,1,21,Austria
LANL-GrowthRate,inc death,1,AT,9,2,4,3,0.85,0.75,0.3,0.9,0.21,1,20,Austria
RobertWalraven-ESG,inc death,1,AT,8,4,2,3,0.7,0.82,0.43,1,0.05,1,21,Austria
USC-SIkJalpha,inc death,1,AT,13,4,1,8,1.07,0.79,0.29,0.38,0.32,1,21,Austria
epiforecasts-EpiNow2,inc death,1,AT,9,4,1,4,0.72,0.73,0.52,1,0.21,1,21,Austria
EuroCOVIDhub-baseline,inc death,2,AT,19,10,2,8,1,1,0.6,1,0.22,1,20,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,9,6,0,3,0.48,0.43,0.7,1,0.28,1,20,Austria
IEM_Health-CovidProject,inc death,2,AT,16,8,3,6,0.87,0.9,0.4,1,0.32,1,20,Austria
ILM-EKF,inc death,2,AT,17,14,0,3,0.87,0.66,0.95,1,0.18,1,20,Austria
LANL-GrowthRate,inc death,2,AT,12,3,4,5,0.7,0.64,0.05,0.74,0.12,1,19,Austria
RobertWalraven-ESG,inc death,2,AT,12,4,4,4,0.62,0.67,0.55,0.95,0.05,1,20,Austria
USC-SIkJalpha,inc death,2,AT,15,4,1,10,0.79,0.57,0.25,0.3,0.47,1,20,Austria
epiforecasts-EpiNow2,inc death,2,AT,13,5,0,8,0.68,0.69,0.4,0.95,0.28,1,20,Austria
EuroCOVIDhub-baseline,inc death,3,AT,26,14,1,11,1,1,0.63,1,0.27,1,19,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,13,7,0,5,0.48,0.4,0.53,1,0.4,1,19,Austria
IEM_Health-CovidProject,inc death,3,AT,26,10,3,12,0.98,0.99,0.42,0.84,0.38,1,19,Austria
ILM-EKF,inc death,3,AT,21,15,0,6,0.8,0.73,0.79,1,0.22,1,19,Austria
LANL-GrowthRate,inc death,3,AT,15,4,4,7,0.72,0.67,0.22,0.78,0.2,1,18,Austria
RobertWalraven-ESG,inc death,3,AT,15,5,5,5,0.56,0.62,0.53,0.95,-0,1,19,Austria
USC-SIkJalpha,inc death,3,AT,24,5,0,19,0.89,0.71,0.16,0.26,0.76,1,19,Austria
epiforecasts-EpiNow2,inc death,3,AT,20,6,1,13,0.76,0.75,0.42,0.89,0.32,1,19,Austria
EuroCOVIDhub-baseline,inc death,4,AT,34,17,2,16,1,1,0.61,1,0.3,1,18,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,17,9,0,8,0.5,0.46,0.61,0.94,0.38,1,18,Austria
IEM_Health-CovidProject,inc death,4,AT,37,13,5,19,1.1,1.06,0.39,0.78,0.46,1,18,Austria
ILM-EKF,inc death,4,AT,29,17,0,11,0.84,0.79,0.56,1,0.29,1,18,Austria
LANL-GrowthRate,inc death,4,AT,21,5,6,10,0.73,0.68,0.41,0.65,0.27,1,17,Austria
RobertWalraven-ESG,inc death,4,AT,21,6,8,7,0.61,0.62,0.5,0.89,-0.04,1,18,Austria
UMass-MechBayes,inc death,1,AT,6,4,2,1,0.85,0.65,0.56,1,-0.01,1,18,Austria
USC-SIkJalpha,inc death,4,AT,28,6,0,22,0.83,0.64,0.33,0.39,0.6,1,18,Austria
epiforecasts-EpiNow2,inc death,4,AT,23,7,1,16,0.68,0.67,0.56,0.94,0.22,1,18,Austria
LANL-GrowthRate,inc death,5,AT,28,7,7,14,NA,NA,0.19,0.62,0.25,1,16,Austria
UMass-MechBayes,inc death,2,AT,7,4,1,1,0.7,0.41,0.59,1,-0,1,17,Austria
