model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,978,296,281,401,1,1492,1,0.35,1,0.04,1,26,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,534,297,59,178,0.51,803,0.53,0.65,0.92,0.17,1,26,Austria
IEM_Health-CovidProject,inc case,1,AT,687,280,86,321,0.66,1024,0.67,0.42,0.81,0.28,1,26,Austria
ILM-EKF,inc case,1,AT,763,408,109,246,0.78,1064,0.74,0.62,0.92,0.12,1,26,Austria
LANL-GrowthRate,inc case,1,AT,521,260,194,68,0.51,792,0.49,0.44,0.92,-0.25,1,25,Austria
USC-SIkJalpha,inc case,1,AT,829,278,149,402,0.81,967,0.64,0.31,0.54,0.27,1,26,Austria
epiforecasts-EpiNow2,inc case,1,AT,637,260,145,231,0.7,990,0.69,0.38,0.73,0.03,1,26,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1776,581,446,749,1,2908,1,0.32,1,0.05,1,25,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,1129,474,154,501,0.6,1624,0.53,0.56,0.88,0.18,1,25,Austria
IEM_Health-CovidProject,inc case,2,AT,1471,432,239,800,0.77,2192,0.72,0.32,0.72,0.3,1,25,Austria
ILM-EKF,inc case,2,AT,1445,700,199,547,0.78,2022,0.68,0.6,0.88,0.14,1,25,Austria
LANL-GrowthRate,inc case,2,AT,1028,388,376,263,0.58,1552,0.52,0.54,0.83,-0.1,1,24,Austria
USC-SIkJalpha,inc case,2,AT,1489,319,372,798,0.85,1876,0.65,0.2,0.44,0.27,1,25,Austria
epiforecasts-EpiNow2,inc case,2,AT,1705,645,278,782,1.1,2584,0.96,0.32,0.76,0.07,1,25,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2441,809,539,1093,1,4127,1,0.42,1,0.11,1,24,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,1873,694,294,885,0.72,2815,0.66,0.38,0.83,0.2,1,24,Austria
IEM_Health-CovidProject,inc case,3,AT,2463,624,436,1403,0.91,3688,0.83,0.17,0.67,0.26,1,24,Austria
ILM-EKF,inc case,3,AT,2269,1071,313,885,0.85,3316,0.75,0.5,0.88,0.15,1,24,Austria
LANL-GrowthRate,inc case,3,AT,1798,505,671,622,0.75,2646,0.61,0.35,0.74,-0.02,1,23,Austria
USC-SIkJalpha,inc case,3,AT,2471,367,632,1472,1.03,2830,0.7,0.12,0.21,0.17,1,24,Austria
epiforecasts-EpiNow2,inc case,3,AT,3645,1415,412,1818,1.9,5408,1.52,0.29,0.58,0.07,1,24,Austria
EuroCOVIDhub-baseline,inc case,4,AT,2984,1000,520,1463,1,5104,1,0.39,1,0.15,1,23,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,2869,984,461,1424,0.97,4384,0.86,0.22,0.74,0.23,1,23,Austria
IEM_Health-CovidProject,inc case,4,AT,3704,875,663,2166,1.11,5634,1.01,0.17,0.52,0.24,1,23,Austria
ILM-EKF,inc case,4,AT,3425,1554,487,1384,1.07,5113,0.93,0.39,0.83,0.14,1,23,Austria
LANL-GrowthRate,inc case,4,AT,2614,586,970,1059,0.9,3884,0.74,0.18,0.64,0.06,1,22,Austria
USC-SIkJalpha,inc case,4,AT,3483,462,947,2074,1.25,4101,0.83,0.22,0.26,0.21,1,23,Austria
epiforecasts-EpiNow2,inc case,4,AT,6125,2397,579,3149,2.78,8912,2.12,0.35,0.65,0.07,1,23,Austria
LANL-GrowthRate,inc case,5,AT,3315,717,1008,1590,NA,4789,NA,0.14,0.48,0.12,1,21,Austria
USC-SIkJalpha,inc case,5,AT,4504,584,1057,2863,NA,5529,NA,0.09,0.14,0.2,1,22,Austria
LANL-GrowthRate,inc case,6,AT,4201,869,1186,2146,NA,5677,NA,0.2,0.3,0.16,1,20,Austria
MUNI-ARIMA,inc case,1,AT,321,177,51,93,0.43,467,0.4,0.61,1,0.04,1,18,Austria
MUNI-ARIMA,inc case,2,AT,670,410,132,128,0.5,897,0.41,0.71,1,-0.06,1,17,Austria
RobertWalraven-ESG,inc case,1,AT,530,181,308,41,0.88,1033,0.71,0.54,0.85,-0.18,1,26,Austria
MUNI-ARIMA,inc case,3,AT,923,594,276,53,0.6,1301,0.52,0.8,1,-0.19,1,15,Austria
RobertWalraven-ESG,inc case,2,AT,1120,221,880,18,1.04,1866,0.67,0.4,0.64,-0.31,1,25,Austria
MUNI-ARIMA,inc case,4,AT,1256,778,441,37,0.65,1901,0.6,0.64,1,-0.24,1,14,Austria
RobertWalraven-ESG,inc case,3,AT,1790,253,1528,9,1.22,2651,0.69,0.38,0.58,-0.33,1,24,Austria
RobertWalraven-ESG,inc case,4,AT,2265,274,1987,4,1.23,3181,0.66,0.35,0.57,-0.36,1,23,Austria
