model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,1041,282,213,545,1,1,0.35,1,0.24,1,20,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,601,310,48,243,0.55,0.58,0.6,0.95,0.23,1,20,Austria
IEM_Health-CovidProject,inc case,1,AT,794,307,75,411,0.73,0.75,0.4,0.8,0.36,1,20,Austria
ILM-EKF,inc case,1,AT,823,404,143,276,0.78,0.71,0.6,0.9,0.07,1,20,Austria
LANL-GrowthRate,inc case,1,AT,562,276,200,86,0.73,0.68,0.42,0.95,-0.27,1,19,Austria
USC-SIkJalpha,inc case,1,AT,955,322,99,535,0.9,0.72,0.3,0.45,0.47,1,20,Austria
epiforecasts-EpiNow2,inc case,1,AT,639,218,128,293,0.64,0.62,0.4,0.65,0.1,1,20,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1911,560,312,1039,1,1,0.32,1,0.26,1,19,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,1228,486,90,652,0.59,0.58,0.58,0.89,0.26,1,19,Austria
IEM_Health-CovidProject,inc case,2,AT,1716,477,182,1057,0.87,0.83,0.26,0.68,0.4,1,19,Austria
ILM-EKF,inc case,2,AT,1580,702,202,677,0.78,0.71,0.58,0.89,0.15,1,19,Austria
LANL-GrowthRate,inc case,2,AT,1020,383,291,345,0.75,0.66,0.5,0.89,-0.06,1,18,Austria
USC-SIkJalpha,inc case,2,AT,1576,352,226,998,0.81,0.64,0.21,0.37,0.41,1,19,Austria
epiforecasts-EpiNow2,inc case,2,AT,1346,425,275,645,0.7,0.68,0.26,0.74,0.09,1,19,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2648,800,305,1543,1,1,0.44,1,0.36,1,18,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,2050,693,164,1193,0.72,0.7,0.39,0.83,0.34,1,18,Austria
IEM_Health-CovidProject,inc case,3,AT,2856,706,204,1946,1.01,0.99,0.17,0.61,0.51,1,18,Austria
ILM-EKF,inc case,3,AT,2520,1108,212,1199,0.86,0.86,0.44,0.89,0.23,1,18,Austria
LANL-GrowthRate,inc case,3,AT,1785,501,400,883,0.82,0.72,0.35,0.76,0.19,1,17,Austria
USC-SIkJalpha,inc case,3,AT,2449,405,248,1796,0.86,0.65,0.17,0.22,0.42,1,18,Austria
epiforecasts-EpiNow2,inc case,3,AT,1936,597,340,999,0.71,0.68,0.28,0.61,0.02,1,18,Austria
EuroCOVIDhub-baseline,inc case,4,AT,3303,1018,191,2094,1,1,0.41,1,0.43,1,17,Austria
