model,target_variable,horizon,location,interval_score,sharpness,underprediction,overprediction,rel_wis,ae,rel_ae,cov_50,cov_95,bias,n_loc,n,location_name
EuroCOVIDhub-baseline,inc case,1,AT,999,298,306,395,1,1539,1,0.31,1,0.01,1,29,Austria
EuroCOVIDhub-ensemble,inc case,1,AT,589,301,57,230,0.58,887,0.58,0.66,0.93,0.18,1,29,Austria
IEM_Health-CovidProject,inc case,1,AT,748,288,77,383,0.74,1114,0.73,0.45,0.79,0.3,1,29,Austria
ILM-EKF,inc case,1,AT,846,433,98,315,0.87,1187,0.8,0.62,0.93,0.16,1,29,Austria
LANL-GrowthRate,inc case,1,AT,546,280,203,63,0.53,810,0.49,0.46,0.93,-0.24,1,28,Austria
USC-SIkJalpha,inc case,1,AT,862,262,162,439,0.85,1032,0.67,0.31,0.55,0.26,1,29,Austria
epiforecasts-EpiNow2,inc case,1,AT,739,327,140,273,0.8,1153,0.79,0.41,0.76,0.04,1,29,Austria
EuroCOVIDhub-baseline,inc case,2,AT,1772,582,514,676,1,2903,1,0.32,1,0,1,28,Austria
EuroCOVIDhub-ensemble,inc case,2,AT,1163,499,138,526,0.64,1660,0.55,0.57,0.89,0.2,1,28,Austria
IEM_Health-CovidProject,inc case,2,AT,1530,432,214,884,0.84,2285,0.77,0.32,0.71,0.35,1,28,Austria
ILM-EKF,inc case,2,AT,1557,756,178,624,0.88,2263,0.78,0.57,0.89,0.2,1,28,Austria
LANL-GrowthRate,inc case,2,AT,1087,410,373,304,0.62,1679,0.57,0.52,0.85,-0.07,1,27,Austria
USC-SIkJalpha,inc case,2,AT,1502,298,376,828,0.86,1906,0.66,0.18,0.43,0.22,1,28,Austria
epiforecasts-EpiNow2,inc case,2,AT,2146,884,311,952,1.4,3281,1.2,0.32,0.79,0.07,1,28,Austria
EuroCOVIDhub-baseline,inc case,3,AT,2433,811,650,972,1,4108,1,0.41,1,0.02,1,27,Austria
EuroCOVIDhub-ensemble,inc case,3,AT,1845,727,261,857,0.72,2724,0.64,0.37,0.85,0.23,1,27,Austria
IEM_Health-CovidProject,inc case,3,AT,2505,644,387,1473,0.97,3793,0.89,0.15,0.67,0.33,1,27,Austria
ILM-EKF,inc case,3,AT,2562,1195,278,1089,1.06,3894,0.97,0.44,0.89,0.22,1,27,Austria
LANL-GrowthRate,inc case,3,AT,1702,552,598,552,0.69,2429,0.55,0.42,0.77,-0.02,1,26,Austria
USC-SIkJalpha,inc case,3,AT,2289,341,561,1386,0.91,2652,0.64,0.15,0.26,0.22,1,27,Austria
epiforecasts-EpiNow2,inc case,3,AT,3619,1555,447,1618,1.79,5155,1.4,0.33,0.63,0.04,1,27,Austria
EuroCOVIDhub-baseline,inc case,4,AT,3018,1004,720,1294,1,5175,1,0.38,1,0.05,1,26,Austria
EuroCOVIDhub-ensemble,inc case,4,AT,2764,1010,408,1345,0.89,4191,0.79,0.23,0.77,0.25,1,26,Austria
IEM_Health-CovidProject,inc case,4,AT,3797,969,587,2241,1.19,5746,1.06,0.19,0.54,0.27,1,26,Austria
ILM-EKF,inc case,4,AT,3994,1791,430,1773,1.36,6098,1.2,0.38,0.85,0.21,1,26,Austria
LANL-GrowthRate,inc case,4,AT,2498,663,887,947,0.82,3730,0.69,0.28,0.68,0.04,1,25,Austria
USC-SIkJalpha,inc case,4,AT,3375,427,839,2109,1.14,3978,0.78,0.23,0.27,0.25,1,26,Austria
epiforecasts-EpiNow2,inc case,4,AT,6713,2968,565,3180,2.81,9652,2.17,0.38,0.69,0.07,1,26,Austria
MUNI-ARIMA,inc case,1,AT,361,202,44,116,0.43,533,0.41,0.62,1,0.1,1,21,Austria
MUNI-ARIMA,inc case,2,AT,817,480,114,224,0.57,1117,0.47,0.7,1,0,1,20,Austria
RobertWalraven-ESG,inc case,1,AT,643,180,307,155,0.88,1111,0.74,0.48,0.83,-0.19,1,29,Austria
MUNI-ARIMA,inc case,3,AT,1088,731,232,125,0.65,1432,0.5,0.78,1,-0.14,1,18,Austria
RobertWalraven-ESG,inc case,2,AT,1153,216,881,55,0.92,1877,0.66,0.36,0.61,-0.32,1,28,Austria
MUNI-ARIMA,inc case,4,AT,1383,963,366,53,0.63,1834,0.49,0.71,1,-0.18,1,17,Austria
RobertWalraven-ESG,inc case,3,AT,1888,247,1633,8,1.14,2672,0.68,0.37,0.56,-0.4,1,27,Austria
RobertWalraven-ESG,inc case,4,AT,2744,268,2473,3,1.27,3464,0.71,0.31,0.54,-0.46,1,26,Austria
Karlen-pypm,inc case,1,AT,1024,497,57,470,1.03,1544,1.01,0.55,1,0.33,1,11,Austria
Karlen-pypm,inc case,2,AT,2163,814,203,1146,1.19,3320,1.09,0.4,0.8,0.37,1,10,Austria
Karlen-pypm,inc case,3,AT,4458,1384,364,2711,1.82,6778,1.63,0.11,0.78,0.39,1,9,Austria
Karlen-pypm,inc case,4,AT,8822,2420,484,5918,2.59,12812,2.18,0.12,0.5,0.38,1,8,Austria
EuroCOVIDhub-baseline,inc death,1,AT,11,5,2,3,1,16,1,0.55,1,0.08,1,29,Austria
EuroCOVIDhub-ensemble,inc death,1,AT,7,4,1,1,0.61,10,0.6,0.69,0.97,0.05,1,29,Austria
IEM_Health-CovidProject,inc death,1,AT,9,5,2,2,0.79,14,0.79,0.45,0.93,0.11,1,29,Austria
ILM-EKF,inc death,1,AT,12,11,0,1,1.1,11,0.67,0.93,1,0.1,1,29,Austria
LANL-GrowthRate,inc death,1,AT,9,2,5,2,0.92,14,0.87,0.32,0.82,-0.01,1,28,Austria
RobertWalraven-ESG,inc death,1,AT,7,3,2,2,0.64,12,0.73,0.52,0.97,-0.01,1,29,Austria
USC-SIkJalpha,inc death,1,AT,11,3,2,6,1.04,12,0.77,0.24,0.41,0.2,1,29,Austria
epiforecasts-EpiNow2,inc death,1,AT,7,4,1,3,0.67,12,0.69,0.52,1,0.13,1,29,Austria
EuroCOVIDhub-baseline,inc death,2,AT,16,9,2,5,1,24,1,0.64,1,0.07,1,28,Austria
EuroCOVIDhub-ensemble,inc death,2,AT,9,5,2,2,0.52,12,0.51,0.61,0.96,0.14,1,28,Austria
IEM_Health-CovidProject,inc death,2,AT,13,6,3,4,0.74,20,0.76,0.36,0.89,0.16,1,28,Austria
ILM-EKF,inc death,2,AT,14,12,0,2,0.8,16,0.62,0.89,1,0.15,1,28,Austria
LANL-GrowthRate,inc death,2,AT,13,3,7,3,0.83,19,0.8,0.11,0.67,-0.1,1,27,Austria
RobertWalraven-ESG,inc death,2,AT,11,4,4,3,0.64,17,0.69,0.54,0.93,-0.05,1,28,Austria
USC-SIkJalpha,inc death,2,AT,14,3,2,8,0.86,15,0.64,0.25,0.32,0.3,1,28,Austria
epiforecasts-EpiNow2,inc death,2,AT,11,4,1,6,0.66,17,0.67,0.36,0.93,0.22,1,28,Austria
EuroCOVIDhub-baseline,inc death,3,AT,22,13,2,7,1,34,1,0.7,1,0.1,1,27,Austria
EuroCOVIDhub-ensemble,inc death,3,AT,11,6,2,3,0.51,15,0.48,0.52,1,0.23,1,27,Austria
IEM_Health-CovidProject,inc death,3,AT,20,8,4,8,0.85,31,0.83,0.44,0.81,0.13,1,27,Austria
ILM-EKF,inc death,3,AT,18,13,1,4,0.73,25,0.68,0.78,1,0.18,1,27,Austria
LANL-GrowthRate,inc death,3,AT,16,3,8,5,0.74,22,0.67,0.23,0.69,-0.03,1,26,Austria
RobertWalraven-ESG,inc death,3,AT,13,5,5,3,0.58,21,0.6,0.56,0.89,-0.12,1,27,Austria
USC-SIkJalpha,inc death,3,AT,21,4,3,14,0.94,25,0.75,0.11,0.22,0.6,1,27,Austria
epiforecasts-EpiNow2,inc death,3,AT,19,6,2,10,0.85,28,0.83,0.33,0.89,0.27,1,27,Austria
EuroCOVIDhub-baseline,inc death,4,AT,28,15,2,10,1,43,1,0.69,1,0.14,1,26,Austria
EuroCOVIDhub-ensemble,inc death,4,AT,15,8,2,6,0.54,23,0.55,0.5,0.96,0.26,1,26,Austria
IEM_Health-CovidProject,inc death,4,AT,30,10,7,12,1.01,44,0.95,0.38,0.77,0.13,1,26,Austria
ILM-EKF,inc death,4,AT,23,15,0,7,0.76,33,0.7,0.58,1,0.23,1,26,Austria
LANL-GrowthRate,inc death,4,AT,20,4,10,7,0.73,27,0.62,0.36,0.64,0.04,1,25,Austria
RobertWalraven-ESG,inc death,4,AT,18,5,8,4,0.62,28,0.61,0.54,0.85,-0.14,1,26,Austria
UMass-MechBayes,inc death,1,AT,6,3,2,1,0.66,9,0.65,0.42,0.92,-0.03,1,26,Austria
USC-SIkJalpha,inc death,4,AT,25,5,3,18,0.88,30,0.7,0.23,0.31,0.42,1,26,Austria
epiforecasts-EpiNow2,inc death,4,AT,29,12,2,15,1.15,42,1.04,0.54,0.92,0.25,1,26,Austria
UMass-MechBayes,inc death,2,AT,7,4,2,1,0.45,9,0.41,0.52,0.96,-0,1,25,Austria
UMass-MechBayes,inc death,3,AT,9,5,2,2,0.44,14,0.46,0.46,0.83,0.06,1,24,Austria
UMass-MechBayes,inc death,4,AT,10,6,1,4,0.43,16,0.44,0.48,0.91,-0,1,23,Austria
MUNI-ARIMA,inc death,1,AT,7,3,1,2,0.84,11,0.89,0.67,1,0.04,1,21,Austria
MUNI-ARIMA,inc death,2,AT,9,5,1,3,0.76,15,0.78,0.6,1,-0,1,20,Austria
