model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.11497616472393471
ILM-EKF,inc case,AT,1,0.12318874791850148
LANL-GrowthRate,inc case,AT,1,0.179650257381148
USC-SIkJalpha,inc case,AT,1,0.09373056906842503
epiforecasts-EpiNow2,inc case,AT,1,0.17598392559785925
IEM_Health-CovidProject,inc case,AT,2,0.10782285201337237
ILM-EKF,inc case,AT,2,0.13126260245106203
LANL-GrowthRate,inc case,AT,2,0.18868999102340167
USC-SIkJalpha,inc case,AT,2,0.11611691755286255
epiforecasts-EpiNow2,inc case,AT,2,0.15095199281872132
IEM_Health-CovidProject,inc case,AT,3,0.1043276057437892
ILM-EKF,inc case,AT,3,0.1362054852766137
LANL-GrowthRate,inc case,AT,3,0.18160731370215155
USC-SIkJalpha,inc case,AT,3,0.12572814025533569
epiforecasts-EpiNow2,inc case,AT,3,0.16344658233193643
IEM_Health-CovidProject,inc case,AT,4,0.11876054411450943
ILM-EKF,inc case,AT,4,0.17081996071265054
USC-SIkJalpha,inc case,AT,4,0.17081996071265054
epiforecasts-EpiNow2,inc case,AT,4,0.20442388741022116
MUNI-ARIMA,inc case,AT,1,0.21558030885737758
MUNI-ARIMA,inc case,AT,2,0.17759057978673096
RobertWalraven-ESG,inc case,AT,1,0.09689002645275398
MUNI-ARIMA,inc case,AT,3,0.1400970705702312
RobertWalraven-ESG,inc case,AT,2,0.127565064353849
MUNI-ARIMA,inc case,AT,4,0.1433316911726838
RobertWalraven-ESG,inc case,AT,3,0.14858780211994221
RobertWalraven-ESG,inc case,AT,4,0.19184395587728445
IEM_Health-CovidProject,inc death,AT,1,0.11415774743332886
ILM-EKF,inc death,AT,1,0.08319971423107018
LANL-GrowthRate,inc death,AT,1,0.14025094684666117
RobertWalraven-ESG,inc death,AT,1,0.14653083998904895
USC-SIkJalpha,inc death,AT,1,0.09006941540611267
epiforecasts-EpiNow2,inc death,AT,1,0.15103948121948124
IEM_Health-CovidProject,inc death,AT,2,0.09414989985131882
ILM-EKF,inc death,AT,2,0.09529806936170074
LANL-GrowthRate,inc death,AT,2,0.13244816419761798
RobertWalraven-ESG,inc death,AT,2,0.13244816419761798
USC-SIkJalpha,inc death,AT,2,0.10018514984178795
epiforecasts-EpiNow2,inc death,AT,2,0.14744229599357472
IEM_Health-CovidProject,inc death,AT,3,0.07944281075867154
ILM-EKF,inc death,AT,3,0.10592374767822871
LANL-GrowthRate,inc death,AT,3,0.14389641194023522
RobertWalraven-ESG,inc death,AT,3,0.14953940848691114
USC-SIkJalpha,inc death,AT,3,0.08569112171721874
epiforecasts-EpiNow2,inc death,AT,3,0.13379841811986787
IEM_Health-CovidProject,inc death,AT,4,0.08196705237350192
ILM-EKF,inc death,AT,4,0.12237334579705923
RobertWalraven-ESG,inc death,AT,4,0.1608982879924297
UMass-MechBayes,inc death,AT,1,0.17850120507756875
USC-SIkJalpha,inc death,AT,4,0.11283776041027539
epiforecasts-EpiNow2,inc death,AT,4,0.1737701510318241
UMass-MechBayes,inc death,AT,2,0.21120112669349894
UMass-MechBayes,inc death,AT,3,0.2179002809380705
UMass-MechBayes,inc death,AT,4,0.2802744371481034
MUNI-ARIMA,inc death,AT,1,0.09625064979672825
MUNI-ARIMA,inc death,AT,2,0.08682712986288289
MUNI-ARIMA,inc death,AT,3,0.08380780036079634
MUNI-ARIMA,inc death,AT,4,0.0678789652468063
IEM_Health-CovidProject,inc case,BE,1,0.16759755301334656
ILM-EKF,inc case,BE,1,0.17358317990668035
LANL-GrowthRate,inc case,BE,1,0.15678480765764677
USC-SIkJalpha,inc case,BE,1,0.13018738493001025
epiforecasts-EpiNow2,inc case,BE,1,0.15348407486485421
IEM_Health-CovidProject,inc case,BE,2,0.140292499830267
ILM-EKF,inc case,BE,2,0.14558655642763557
LANL-GrowthRate,inc case,BE,2,0.18155499978034556
USC-SIkJalpha,inc case,BE,2,0.14422593440494738
epiforecasts-EpiNow2,inc case,BE,2,0.13902860343539972
IEM_Health-CovidProject,inc case,BE,3,0.12333453177128532
ILM-EKF,inc case,BE,3,0.1311652956932717
LANL-GrowthRate,inc case,BE,3,0.19217240996921203
USC-SIkJalpha,inc case,BE,3,0.15739835483192605
epiforecasts-EpiNow2,inc case,BE,3,0.136585349234316
IEM_Health-CovidProject,inc case,BE,4,0.13418795359884111
ILM-EKF,inc case,BE,4,0.14866866801598225
USC-SIkJalpha,inc case,BE,4,0.21086678422675031
epiforecasts-EpiNow2,inc case,BE,4,0.17365499877497087
MUNI-ARIMA,inc case,BE,1,0.09785897390712182
MUNI-ARIMA,inc case,BE,2,0.1296821427002468
RobertWalraven-ESG,inc case,BE,1,0.1205040257203401
MUNI-ARIMA,inc case,BE,3,0.12712944044117103
RobertWalraven-ESG,inc case,BE,2,0.1196292634211579
MUNI-ARIMA,inc case,BE,4,0.1497459772045039
RobertWalraven-ESG,inc case,BE,3,0.13221461805881787
RobertWalraven-ESG,inc case,BE,4,0.18287561817895162
IEM_Health-CovidProject,inc death,BE,1,0.13578173182388723
ILM-EKF,inc death,BE,1,0.09719113435815085
LANL-GrowthRate,inc death,BE,1,0.12823830227811572
RobertWalraven-ESG,inc death,BE,1,0.15136324203318577
USC-SIkJalpha,inc death,BE,1,0.1168754147344852
epiforecasts-EpiNow2,inc death,BE,1,0.10492224731845833
IEM_Health-CovidProject,inc death,BE,2,0.10984560816443992
ILM-EKF,inc death,BE,2,0.1115619457920093
LANL-GrowthRate,inc death,BE,2,0.12526253562611572
RobertWalraven-ESG,inc death,BE,2,0.1487492610560124
USC-SIkJalpha,inc death,BE,2,0.10818128076800902
epiforecasts-EpiNow2,inc death,BE,2,0.10984560816443992
IEM_Health-CovidProject,inc death,BE,3,0.10086361890681662
ILM-EKF,inc death,BE,3,0.1157451364504453
LANL-GrowthRate,inc death,BE,3,0.13844026124465025
RobertWalraven-ESG,inc death,BE,3,0.16046484826084464
USC-SIkJalpha,inc death,BE,3,0.10383019593348769
epiforecasts-EpiNow2,inc death,BE,3,0.0994430045560164
IEM_Health-CovidProject,inc death,BE,4,0.10635517984450113
ILM-EKF,inc death,BE,4,0.12540386877187448
RobertWalraven-ESG,inc death,BE,4,0.22708268128961054
UMass-MechBayes,inc death,BE,1,0.17421052384951569
USC-SIkJalpha,inc death,BE,4,0.13336601917008872
UMass-MechBayes,inc death,BE,2,0.18307601360739986
UMass-MechBayes,inc death,BE,3,0.18580140324939906
UMass-MechBayes,inc death,BE,4,0.3000735431326996
MUNI-ARIMA,inc death,BE,1,0.09141740360420131
MUNI-ARIMA,inc death,BE,2,0.10347774682157386
MUNI-ARIMA,inc death,BE,3,0.09541153139834005
MUNI-ARIMA,inc death,BE,4,0.10771870779122551
IEM_Health-CovidProject,inc case,BG,1,0.1145594433310141
ILM-EKF,inc case,BG,1,0.1828931463705664
LANL-GrowthRate,inc case,BG,1,0.15330749034003358
USC-SIkJalpha,inc case,BG,1,0.10637662595022739
epiforecasts-EpiNow2,inc case,BG,1,0.2266284639809192
IEM_Health-CovidProject,inc case,BG,2,0.09282687721269745
ILM-EKF,inc case,BG,2,0.14152294394722728
LANL-GrowthRate,inc case,BG,2,0.1962022631995651
USC-SIkJalpha,inc case,BG,2,0.1392403158190462
epiforecasts-EpiNow2,inc case,BG,2,0.1962022631995651
IEM_Health-CovidProject,inc case,BG,3,0.08513756294405549
ILM-EKF,inc case,BG,3,0.12245813848117569
LANL-GrowthRate,inc case,BG,3,0.21284390736013872
USC-SIkJalpha,inc case,BG,3,0.1824376348801189
epiforecasts-EpiNow2,inc case,BG,3,0.17191238671395817
IEM_Health-CovidProject,inc case,BG,4,0.09740898159212258
ILM-EKF,inc case,BG,4,0.14611347238818387
USC-SIkJalpha,inc case,BG,4,0.29222694477636774
epiforecasts-EpiNow2,inc case,BG,4,0.2139518702826978
MUNI-ARIMA,inc case,BG,1,0.12713304076978396
MUNI-ARIMA,inc case,BG,2,0.12332713686829805
RobertWalraven-ESG,inc case,BG,1,0.08910178925745543
MUNI-ARIMA,inc case,BG,3,0.1027522311393773
RobertWalraven-ESG,inc case,BG,2,0.1106781997536008
MUNI-ARIMA,inc case,BG,4,0.10418525857244416
RobertWalraven-ESG,inc case,BG,3,0.12245813848117569
RobertWalraven-ESG,inc case,BG,4,0.14611347238818387
