model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.17574727373461196
ILM-EKF,inc case,AT,1,0.15507112388348113
LANL-GrowthRate,inc case,AT,1,0.22596078051592966
USC-SIkJalpha,inc case,AT,1,0.18392156553622183
epiforecasts-EpiNow2,inc case,AT,1,0.25929925632975537
IEM_Health-CovidProject,inc case,AT,2,0.16844115523013922
ILM-EKF,inc case,AT,2,0.13792645319569372
LANL-GrowthRate,inc case,AT,2,0.2504454018553386
USC-SIkJalpha,inc case,AT,2,0.22932350049404499
epiforecasts-EpiNow2,inc case,AT,2,0.21386348922478352
IEM_Health-CovidProject,inc case,AT,3,0.17055289019533074
ILM-EKF,inc case,AT,3,0.14537603497602003
LANL-GrowthRate,inc case,AT,3,0.29639774121324475
USC-SIkJalpha,inc case,AT,3,0.19322131230990003
epiforecasts-EpiNow2,inc case,AT,3,0.19445202130550449
IEM_Health-CovidProject,inc death,AT,1,0.156883455585883
ILM-EKF,inc death,AT,1,0.1048642045231955
LANL-GrowthRate,inc death,AT,1,0.18448332277228838
RobertWalraven-ESG,inc death,AT,1,0.2371928435643708
USC-SIkJalpha,inc death,AT,1,0.15326306814928572
epiforecasts-EpiNow2,inc death,AT,1,0.16331310540497662
IEM_Health-CovidProject,inc death,AT,2,0.14687632745256332
ILM-EKF,inc death,AT,2,0.11631246740463107
LANL-GrowthRate,inc death,AT,2,0.21406443469150185
RobertWalraven-ESG,inc death,AT,2,0.1863153413055664
USC-SIkJalpha,inc death,AT,2,0.20744388516496057
epiforecasts-EpiNow2,inc death,AT,2,0.12898754398077675
IEM_Health-CovidProject,inc death,AT,3,0.15253564107797385
ILM-EKF,inc death,AT,3,0.1197923882811313
LANL-GrowthRate,inc death,AT,3,0.25422606846328977
RobertWalraven-ESG,inc death,AT,3,0.1787527043882506
USC-SIkJalpha,inc death,AT,3,0.19895953184083548
epiforecasts-EpiNow2,inc death,AT,3,0.09573366594851915
IEM_Health-CovidProject,inc case,BE,1,0.14508595185070428
ILM-EKF,inc case,BE,1,0.1483833598473112
LANL-GrowthRate,inc case,BE,1,0.25111030128006506
USC-SIkJalpha,inc case,BE,1,0.1280170163388567
epiforecasts-EpiNow2,inc case,BE,1,0.14349160073146575
DSMPG-bayes,inc case,BE,1,0.183911769951597
IEM_Health-CovidProject,inc case,BE,2,0.1473040477997917
ILM-EKF,inc case,BE,2,0.13850977628935637
LANL-GrowthRate,inc case,BE,2,0.2133368968134914
USC-SIkJalpha,inc case,BE,2,0.20854280924464894
epiforecasts-EpiNow2,inc case,BE,2,0.14500242205291997
DSMPG-bayes,inc case,BE,2,0.1473040477997917
IEM_Health-CovidProject,inc case,BE,3,0.17552499454232276
ILM-EKF,inc case,BE,3,0.14236128589607744
LANL-GrowthRate,inc case,BE,3,0.23581983999579237
USC-SIkJalpha,inc case,BE,3,0.25321638556925247
epiforecasts-EpiNow2,inc case,BE,3,0.19307749399655502
IEM_Health-CovidProject,inc death,BE,1,0.17096555460871693
ILM-EKF,inc death,BE,1,0.14087561699758278
LANL-GrowthRate,inc death,BE,1,0.16155460664860408
RobertWalraven-ESG,inc death,BE,1,0.2024074956861821
USC-SIkJalpha,inc death,BE,1,0.1956605791633094
epiforecasts-EpiNow2,inc death,BE,1,0.1285361468956047
IEM_Health-CovidProject,inc death,BE,2,0.16085161422465039
ILM-EKF,inc death,BE,2,0.15560645289123787
LANL-GrowthRate,inc death,BE,2,0.14758550171127718
RobertWalraven-ESG,inc death,BE,2,0.17458284958529127
USC-SIkJalpha,inc death,BE,2,0.23468514206547353
epiforecasts-EpiNow2,inc death,BE,2,0.1266884395220698
IEM_Health-CovidProject,inc death,BE,3,0.15086103565056713
ILM-EKF,inc death,BE,3,0.13490457995675714
LANL-GrowthRate,inc death,BE,3,0.19760670866905278
RobertWalraven-ESG,inc death,BE,3,0.13891164668814598
USC-SIkJalpha,inc death,BE,3,0.2598162280648656
epiforecasts-EpiNow2,inc death,BE,3,0.11789980097061131
IEM_Health-CovidProject,inc case,BG,1,0.14554672410607272
ILM-EKF,inc case,BG,1,0.17113735691593165
LANL-GrowthRate,inc case,BG,1,0.19966024973525362
USC-SIkJalpha,inc case,BG,1,0.08899142559628447
epiforecasts-EpiNow2,inc case,BG,1,0.2324402907365639
DSMPG-bayes,inc case,BG,1,0.16222395290989358
IEM_Health-CovidProject,inc case,BG,2,0.141404655937976
ILM-EKF,inc case,BG,2,0.12360546847725175
LANL-GrowthRate,inc case,BG,2,0.2805647935277301
USC-SIkJalpha,inc case,BG,2,0.14028239676386506
epiforecasts-EpiNow2,inc case,BG,2,0.18605875781312628
DSMPG-bayes,inc case,BG,2,0.12808392748005074
IEM_Health-CovidProject,inc case,BG,3,0.16713644778264872
ILM-EKF,inc case,BG,3,0.11233761244407538
LANL-GrowthRate,inc case,BG,3,0.3224750286629929
USC-SIkJalpha,inc case,BG,3,0.2514713526271045
epiforecasts-EpiNow2,inc case,BG,3,0.14657955848317855
IEM_Health-CovidProject,inc death,BG,1,0.15502134705220005
ILM-EKF,inc death,BG,1,0.20165378478334967
LANL-GrowthRate,inc death,BG,1,0.14420590423460472
RobertWalraven-ESG,inc death,BG,1,0.19842732422681608
USC-SIkJalpha,inc death,BG,1,0.15216819342547247
epiforecasts-EpiNow2,inc death,BG,1,0.14852344627755695
IEM_Health-CovidProject,inc death,BG,2,0.15887028549952847
ILM-EKF,inc death,BG,2,0.14833744889182493
LANL-GrowthRate,inc death,BG,2,0.11094660433644757
RobertWalraven-ESG,inc death,BG,2,0.288699766122799
USC-SIkJalpha,inc death,BG,2,0.17434466395727474
epiforecasts-EpiNow2,inc death,BG,2,0.11880123119212528
IEM_Health-CovidProject,inc death,BG,3,0.1508994902011845
ILM-EKF,inc death,BG,3,0.09586016246822966
LANL-GrowthRate,inc death,BG,3,0.10618853014157427
RobertWalraven-ESG,inc death,BG,3,0.321816259714771
USC-SIkJalpha,inc death,BG,3,0.24639057384412155
epiforecasts-EpiNow2,inc death,BG,3,0.0788449836301189
IEM_Health-CovidProject,inc case,CH,1,0.1541211893112533
ILM-EKF,inc case,CH,1,0.2568686488520889
LANL-GrowthRate,inc case,CH,1,0.17124576590139254
USC-SIkJalpha,inc case,CH,1,0.14678208505833648
epiforecasts-EpiNow2,inc case,CH,1,0.27098231087692887
IEM_Health-CovidProject,inc case,CH,2,0.1501513441845921
ILM-EKF,inc case,CH,2,0.24075991395115637
LANL-GrowthRate,inc case,CH,2,0.2199066930577491
USC-SIkJalpha,inc case,CH,2,0.13757709368637508
epiforecasts-EpiNow2,inc case,CH,2,0.2516049551201273
IEM_Health-CovidProject,inc case,CH,3,0.1527406229673057
ILM-EKF,inc case,CH,3,0.23103623642113466
LANL-GrowthRate,inc case,CH,3,0.2272174556538432
USC-SIkJalpha,inc case,CH,3,0.1636506674649704
epiforecasts-EpiNow2,inc case,CH,3,0.2253550174927461
IEM_Health-CovidProject,inc death,CH,1,0.20281070072514354
ILM-EKF,inc death,CH,1,0.11687396312974375
LANL-GrowthRate,inc death,CH,1,0.15851870861275585
RobertWalraven-ESG,inc death,CH,1,0.2419496078826274
USC-SIkJalpha,inc death,CH,1,0.17457123606721214
epiforecasts-EpiNow2,inc death,CH,1,0.10527578358251725
IEM_Health-CovidProject,inc death,CH,2,0.18051511531140002
ILM-EKF,inc death,CH,2,0.10805482254555634
LANL-GrowthRate,inc death,CH,2,0.13699807858454463
RobertWalraven-ESG,inc death,CH,2,0.28414416299016665
USC-SIkJalpha,inc death,CH,2,0.2073484432630946
epiforecasts-EpiNow2,inc death,CH,2,0.08293937730523783
IEM_Health-CovidProject,inc death,CH,3,0.17532803503649014
ILM-EKF,inc death,CH,3,0.10882429760885595
LANL-GrowthRate,inc death,CH,3,0.13372477248545858
RobertWalraven-ESG,inc death,CH,3,0.29221339172748356
USC-SIkJalpha,inc death,CH,3,0.19974079940865963
epiforecasts-EpiNow2,inc death,CH,3,0.09016870373305207
IEM_Health-CovidProject,inc case,CY,1,0.14158362592590257
ILM-EKF,inc case,CY,1,0.16481218955437094
LANL-GrowthRate,inc case,CY,1,0.2397268211699941
USC-SIkJalpha,inc case,CY,1,0.08145158402687058
epiforecasts-EpiNow2,inc case,CY,1,0.17151187205658114
DSMPG-bayes,inc case,CY,1,0.20091390726628075
IEM_Health-CovidProject,inc case,CY,2,0.15549786847386207
ILM-EKF,inc case,CY,2,0.23463517653645258
LANL-GrowthRate,inc case,CY,2,0.22460803224002301
USC-SIkJalpha,inc case,CY,2,0.10428230068286781
epiforecasts-EpiNow2,inc case,CY,2,0.12819092571747656
DSMPG-bayes,inc case,CY,2,0.152785696349318
IEM_Health-CovidProject,inc case,CY,3,0.21078720962445116
ILM-EKF,inc case,CY,3,0.27386951323468833
LANL-GrowthRate,inc case,CY,3,0.26800088080823076
USC-SIkJalpha,inc case,CY,3,0.1410530951622267
epiforecasts-EpiNow2,inc case,CY,3,0.10628930117040312
IEM_Health-CovidProject,inc death,CY,1,0.15257498987319404
ILM-EKF,inc death,CY,1,0.10951701727094296
LANL-GrowthRate,inc death,CY,1,0.1198072068131792
RobertWalraven-ESG,inc death,CY,1,0.25501819735948145
USC-SIkJalpha,inc death,CY,1,0.13422010387341127
epiforecasts-EpiNow2,inc death,CY,1,0.22886248480979102
IEM_Health-CovidProject,inc death,CY,2,0.1363271398550929
ILM-EKF,inc death,CY,2,0.1297964984249088
LANL-GrowthRate,inc death,CY,2,0.1338025631911097
RobertWalraven-ESG,inc death,CY,2,0.17914062179305595
USC-SIkJalpha,inc death,CY,2,0.20842322343230546
epiforecasts-EpiNow2,inc death,CY,2,0.21250995330352715
IEM_Health-CovidProject,inc death,CY,3,0.15651663653426018
ILM-EKF,inc death,CY,3,0.14840095908433557
LANL-GrowthRate,inc death,CY,3,0.14840095908433557
RobertWalraven-ESG,inc death,CY,3,0.16978075827445174
USC-SIkJalpha,inc death,CY,3,0.1804876529404081
epiforecasts-EpiNow2,inc death,CY,3,0.19641303408220884
IEM_Health-CovidProject,inc case,CZ,1,0.13960719270391525
ILM-EKF,inc case,CZ,1,0.2860803129178591
LANL-GrowthRate,inc case,CZ,1,0.21813623859986758
USC-SIkJalpha,inc case,CZ,1,0.1407330571612049
epiforecasts-EpiNow2,inc case,CZ,1,0.21544319861715314
IEM_Health-CovidProject,inc case,CZ,2,0.1150902216347484
ILM-EKF,inc case,CZ,2,0.19781131843472383
LANL-GrowthRate,inc case,CZ,2,0.35166456610617564
USC-SIkJalpha,inc case,CZ,2,0.14066582644247028
epiforecasts-EpiNow2,inc case,CZ,2,0.1947680673818819
IEM_Health-CovidProject,inc case,CZ,3,0.10656398316468164
ILM-EKF,inc case,CZ,3,0.17238291394286737
LANL-GrowthRate,inc case,CZ,3,0.33491537566042806
USC-SIkJalpha,inc case,CZ,3,0.1562938419748664
epiforecasts-EpiNow2,inc case,CZ,3,0.2298438852571565
IEM_Health-CovidProject,inc death,CZ,1,0.12681835709786599
ILM-EKF,inc death,CZ,1,0.14684230821858169
LANL-GrowthRate,inc death,CZ,1,0.17437524100956572
RobertWalraven-ESG,inc death,CZ,1,0.12000016585604523
USC-SIkJalpha,inc death,CZ,1,0.09378164222363199
epiforecasts-EpiNow2,inc death,CZ,1,0.3381822855943093
IEM_Health-CovidProject,inc death,CZ,2,0.12148023348151372
ILM-EKF,inc death,CZ,2,0.2044917263605481
LANL-GrowthRate,inc death,CZ,2,0.2405785016006448
RobertWalraven-ESG,inc death,CZ,2,0.10857967771356537
USC-SIkJalpha,inc death,CZ,2,0.1057715826002835
epiforecasts-EpiNow2,inc death,CZ,2,0.21909827824344438
IEM_Health-CovidProject,inc death,CZ,3,0.08183304312102567
ILM-EKF,inc death,CZ,3,0.15431373845679128
LANL-GrowthRate,inc death,CZ,3,0.4500817371656412
RobertWalraven-ESG,inc death,CZ,3,0.07660965738989638
USC-SIkJalpha,inc death,CZ,3,0.08061165441772677
epiforecasts-EpiNow2,inc death,CZ,3,0.1565501694489187
DSMPG-bayes,inc case,DE,1,0.09203532316575606
FIAS_FZJ-Epi1Ger,inc case,DE,1,0.1010143790843664
IEM_Health-CovidProject,inc case,DE,1,0.06960654693208441
ILM-EKF,inc case,DE,1,0.0900345552708483
ITWW-county_repro,inc case,DE,1,0.08366847560523279
Karlen-pypm,inc case,DE,1,0.08719135878861099
