model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.11877666786494158
ILM-EKF,inc case,AT,1,0.09944093123576506
LANL-GrowthRate,inc case,AT,1,0.17452898135256723
USC-SIkJalpha,inc case,AT,1,0.0939771438052285
epiforecasts-EpiNow2,inc case,AT,1,0.11877666786494158
IEM_Health-CovidProject,inc case,AT,2,0.12035497431656934
ILM-EKF,inc case,AT,2,0.12637272303239783
LANL-GrowthRate,inc case,AT,2,0.2021963568518365
USC-SIkJalpha,inc case,AT,2,0.11893903344225677
epiforecasts-EpiNow2,inc case,AT,2,0.10109817842591826
IEM_Health-CovidProject,inc case,AT,3,0.11992379810211556
ILM-EKF,inc case,AT,3,0.1342625130925859
LANL-GrowthRate,inc case,AT,3,0.19300236257059225
USC-SIkJalpha,inc case,AT,3,0.11763953528112288
epiforecasts-EpiNow2,inc case,AT,3,0.07441054942480665
IEM_Health-CovidProject,inc case,AT,4,0.10621702630561285
ILM-EKF,inc case,AT,4,0.12525592724718493
LANL-GrowthRate,inc case,AT,4,0.17469905642370534
USC-SIkJalpha,inc case,AT,4,0.13277128288201603
epiforecasts-EpiNow2,inc case,AT,4,0.08046744417091882
MUNI-ARIMA,inc case,AT,1,0.18195574651650626
MUNI-ARIMA,inc case,AT,2,0.19441957389599662
RobertWalraven-ESG,inc case,AT,1,0.10825215299083282
MUNI-ARIMA,inc case,AT,3,0.1960658921352048
RobertWalraven-ESG,inc case,AT,2,0.13661916003502467
MUNI-ARIMA,inc case,AT,4,0.20116861042729703
RobertWalraven-ESG,inc case,AT,3,0.16469534939357203
RobertWalraven-ESG,inc case,AT,4,0.17942065254326492
Karlen-pypm,inc case,AT,1,0.104291708369217
IEM_Health-CovidProject,inc death,AT,1,0.10110747169954527
ILM-EKF,inc death,AT,1,0.0779176846124936
LANL-GrowthRate,inc death,AT,1,0.11634284414742196
RobertWalraven-ESG,inc death,AT,1,0.12868223670851217
USC-SIkJalpha,inc death,AT,1,0.08846903773710213
epiforecasts-EpiNow2,inc death,AT,1,0.12868223670851217
IEM_Health-CovidProject,inc death,AT,2,0.09653577290998717
ILM-EKF,inc death,AT,2,0.10015586439411168
LANL-GrowthRate,inc death,AT,2,0.13354115252548227
RobertWalraven-ESG,inc death,AT,2,0.13814601985394717
USC-SIkJalpha,inc death,AT,2,0.10272396348114018
epiforecasts-EpiNow2,inc death,AT,2,0.13135195330375304
IEM_Health-CovidProject,inc death,AT,3,0.08395157151955968
ILM-EKF,inc death,AT,3,0.11153565930455787
LANL-GrowthRate,inc death,AT,3,0.14458326206146388
RobertWalraven-ESG,inc death,AT,3,0.1530881598297853
USC-SIkJalpha,inc death,AT,3,0.08974133507263277
epiforecasts-EpiNow2,inc death,AT,3,0.10139605391323442
IEM_Health-CovidProject,inc death,AT,4,0.07418327782161102
ILM-EKF,inc death,AT,4,0.10915539450894193
LANL-GrowthRate,inc death,AT,4,0.13892504755683519
RobertWalraven-ESG,inc death,AT,4,0.14416750218162142
UMass-MechBayes,inc death,AT,1,0.1490004846098562
USC-SIkJalpha,inc death,AT,4,0.10325510291386399
epiforecasts-EpiNow2,inc death,AT,4,0.09433182241513499
UMass-MechBayes,inc death,AT,2,0.20544792696228037
UMass-MechBayes,inc death,AT,3,0.21687489309219585
UMass-MechBayes,inc death,AT,4,0.25469592052086454
MUNI-ARIMA,inc death,AT,1,0.08846903773710213
