model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.1190164159052021
ILM-EKF,inc case,AT,1,0.10847065753385507
LANL-GrowthRate,inc case,AT,1,0.15033652535393952
USC-SIkJalpha,inc case,AT,1,0.09116151005504841
epiforecasts-EpiNow2,inc case,AT,1,0.12419104268368916
IEM_Health-CovidProject,inc case,AT,2,0.11985562346302195
ILM-EKF,inc case,AT,2,0.11844555730463346
LANL-GrowthRate,inc case,AT,2,0.18644208094247858
USC-SIkJalpha,inc case,AT,2,0.11063596011971255
epiforecasts-EpiNow2,inc case,AT,2,0.08909621567162694
IEM_Health-CovidProject,inc case,AT,3,0.12530838131731484
ILM-EKF,inc case,AT,3,0.13770151793111518
LANL-GrowthRate,inc case,AT,3,0.19278212510356127
USC-SIkJalpha,inc case,AT,3,0.1228513542326616
epiforecasts-EpiNow2,inc case,AT,3,0.07458832221268741
IEM_Health-CovidProject,inc case,AT,4,0.11912239164290046
ILM-EKF,inc case,AT,4,0.131143917405028
LANL-GrowthRate,inc case,AT,4,0.19059582662864072
USC-SIkJalpha,inc case,AT,4,0.12114141523006827
epiforecasts-EpiNow2,inc case,AT,4,0.05123543726576364
MUNI-ARIMA,inc case,AT,1,0.18232302011009682
MUNI-ARIMA,inc case,AT,2,0.1899598560546008
RobertWalraven-ESG,inc case,AT,1,0.10711477431468189
MUNI-ARIMA,inc case,AT,3,0.19579434580830443
RobertWalraven-ESG,inc case,AT,2,0.11844555730463346
MUNI-ARIMA,inc case,AT,4,0.2165861666234554
RobertWalraven-ESG,inc case,AT,3,0.15097395339435524
RobertWalraven-ESG,inc case,AT,4,0.17017484520414353
Karlen-pypm,inc case,AT,1,0.117386054043487
Karlen-pypm,inc case,AT,2,0.06711914913929229
IEM_Health-CovidProject,inc death,AT,1,0.11812018360213922
ILM-EKF,inc death,AT,1,0.09020086747799722
LANL-GrowthRate,inc death,AT,1,0.14174422032256706
RobertWalraven-ESG,inc death,AT,1,0.15033477912999538
USC-SIkJalpha,inc death,AT,1,0.09449614688171137
epiforecasts-EpiNow2,inc death,AT,1,0.15033477912999538
IEM_Health-CovidProject,inc death,AT,2,0.11201919790074914
ILM-EKF,inc death,AT,2,0.11201919790074914
LANL-GrowthRate,inc death,AT,2,0.1480931768857362
RobertWalraven-ESG,inc death,AT,2,0.15064650752169714
USC-SIkJalpha,inc death,AT,2,0.10787033871923993
epiforecasts-EpiNow2,inc death,AT,2,0.13238632479179446
IEM_Health-CovidProject,inc death,AT,3,0.10753647462565843
ILM-EKF,inc death,AT,3,0.13934303754310673
LANL-GrowthRate,inc death,AT,3,0.18666708802944484
RobertWalraven-ESG,inc death,AT,3,0.19398736599138386
USC-SIkJalpha,inc death,AT,3,0.1137167317880526
epiforecasts-EpiNow2,inc death,AT,3,0.1268378931482125
IEM_Health-CovidProject,inc death,AT,4,0.10358185019635506
ILM-EKF,inc death,AT,4,0.14945381242616945
LANL-GrowthRate,inc death,AT,4,0.19021394308785203
RobertWalraven-ESG,inc death,AT,4,0.1973918277326766
USC-SIkJalpha,inc death,AT,4,0.12915761567693657
epiforecasts-EpiNow2,inc death,AT,4,0.09777352214796133
MUNI-ARIMA,inc death,AT,1,0.09727544531940877
MUNI-ARIMA,inc death,AT,2,0.10655484678363944
MUNI-ARIMA,inc death,AT,3,0.13191140887414102
MUNI-ARIMA,inc death,AT,4,0.13242742873204888
Karlen-pypm,inc death,AT,1,0.1574935781361856
Karlen-pypm,inc death,AT,2,0.13041040949639454
IEM_Health-CovidProject,inc case,BE,1,0.15977177260696968
ILM-EKF,inc case,BE,1,0.15472634820885484
LANL-GrowthRate,inc case,BE,1,0.12781741808557576
USC-SIkJalpha,inc case,BE,1,0.13007967327293107
epiforecasts-EpiNow2,inc case,BE,1,0.12456782271051874
IEM_Health-CovidProject,inc case,BE,2,0.15009458235576342
ILM-EKF,inc case,BE,2,0.13243639619626185
LANL-GrowthRate,inc case,BE,2,0.16416594945161628
USC-SIkJalpha,inc case,BE,2,0.14327210133959237
epiforecasts-EpiNow2,inc case,BE,2,0.12507881862980286
IEM_Health-CovidProject,inc case,BE,3,0.1338900551675099
ILM-EKF,inc case,BE,3,0.1244611780430374
LANL-GrowthRate,inc case,BE,3,0.18220089981558052
USC-SIkJalpha,inc case,BE,3,0.15503059019395884
epiforecasts-EpiNow2,inc case,BE,3,0.131891696135159
IEM_Health-CovidProject,inc case,BE,4,0.11851410862530327
ILM-EKF,inc case,BE,4,0.10378354145153677
LANL-GrowthRate,inc case,BE,4,0.19542220039278732
USC-SIkJalpha,inc case,BE,4,0.15436711627665553
epiforecasts-EpiNow2,inc case,BE,4,0.12845934850994414
MUNI-ARIMA,inc case,BE,1,0.07461422883168126
MUNI-ARIMA,inc case,BE,2,0.09005674941345806
RobertWalraven-ESG,inc case,BE,1,0.12563250495590778
MUNI-ARIMA,inc case,BE,3,0.11185751444374245
RobertWalraven-ESG,inc case,BE,2,0.14867859572976566
MUNI-ARIMA,inc case,BE,4,0.12936399180930994
RobertWalraven-ESG,inc case,BE,3,0.1606680662010119
RobertWalraven-ESG,inc case,BE,4,0.17008969293446302
Karlen-pypm,inc case,BE,1,0.10279023132756092
Karlen-pypm,inc case,BE,2,0.04621680688373947
IEM_Health-CovidProject,inc death,BE,1,0.13306490922539882
ILM-EKF,inc death,BE,1,0.09979868191904911
LANL-GrowthRate,inc death,BE,1,0.12915123542465176
RobertWalraven-ESG,inc death,BE,1,0.1488522713368868
USC-SIkJalpha,inc death,BE,1,0.12369414097008904
epiforecasts-EpiNow2,inc death,BE,1,0.1125933847291836
IEM_Health-CovidProject,inc death,BE,2,0.11590369381954349
ILM-EKF,inc death,BE,2,0.11783542204986922
LANL-GrowthRate,inc death,BE,2,0.13862990829396377
RobertWalraven-ESG,inc death,BE,2,0.16068466643163984
USC-SIkJalpha,inc death,BE,2,0.12854773314531187
epiforecasts-EpiNow2,inc death,BE,2,0.12189871246538195
IEM_Health-CovidProject,inc death,BE,3,0.12378607330833272
ILM-EKF,inc death,BE,3,0.14086001445430965
LANL-GrowthRate,inc death,BE,3,0.1702058507989575
RobertWalraven-ESG,inc death,BE,3,0.19452097234166568
USC-SIkJalpha,inc death,BE,3,0.13177227158628968
epiforecasts-EpiNow2,inc death,BE,3,0.12378607330833272
IEM_Health-CovidProject,inc death,BE,4,0.11205253246182618
ILM-EKF,inc death,BE,4,0.12733242325207522
LANL-GrowthRate,inc death,BE,4,0.16807879869273928
RobertWalraven-ESG,inc death,BE,4,0.22115631406939382
USC-SIkJalpha,inc death,BE,4,0.15007035597566007
epiforecasts-EpiNow2,inc death,BE,4,0.1135667558734725
MUNI-ARIMA,inc death,BE,1,0.12369414097008904
MUNI-ARIMA,inc death,BE,2,0.11403427940309925
MUNI-ARIMA,inc death,BE,3,0.1150687442021121
MUNI-ARIMA,inc death,BE,4,0.10774281967483287
Karlen-pypm,inc death,BE,1,0.12915123542465176
Karlen-pypm,inc death,BE,2,0.10246558439119063
IEM_Health-CovidProject,inc case,BG,1,0.08522612144135565
ILM-EKF,inc case,BG,1,0.11862554741161666
LANL-GrowthRate,inc case,BG,1,0.14630484180766054
USC-SIkJalpha,inc case,BG,1,0.09049784029339829
epiforecasts-EpiNow2,inc case,BG,1,0.17914878588693128
IEM_Health-CovidProject,inc case,BG,2,0.07909262695850386
ILM-EKF,inc case,BG,2,0.09491115235020464
LANL-GrowthRate,inc case,BG,2,0.15818525391700772
USC-SIkJalpha,inc case,BG,2,0.10169052037521925
epiforecasts-EpiNow2,inc case,BG,2,0.14236672852530696
IEM_Health-CovidProject,inc case,BG,3,0.09594983995285652
ILM-EKF,inc case,BG,3,0.1056328513242457
LANL-GrowthRate,inc case,BG,3,0.18570936765069004
USC-SIkJalpha,inc case,BG,3,0.1535197439245704
epiforecasts-EpiNow2,inc case,BG,3,0.1577257643060655
IEM_Health-CovidProject,inc case,BG,4,0.09204859616165735
ILM-EKF,inc case,BG,4,0.09605070903825116
LANL-GrowthRate,inc case,BG,4,0.19210141807650233
USC-SIkJalpha,inc case,BG,4,0.17673330463038212
epiforecasts-EpiNow2,inc case,BG,4,0.13525508007427203
MUNI-ARIMA,inc case,BG,1,0.13505062320707126
MUNI-ARIMA,inc case,BG,2,0.14477972392404098
RobertWalraven-ESG,inc case,BG,1,0.07633296094312725
MUNI-ARIMA,inc case,BG,3,0.18276159991020288
RobertWalraven-ESG,inc case,BG,2,0.07559295319927803
MUNI-ARIMA,inc case,BG,4,0.17912159253079268
RobertWalraven-ESG,inc case,BG,3,0.1187008329313689
RobertWalraven-ESG,inc case,BG,4,0.1286892994881423
Karlen-pypm,inc case,BG,1,0.16881327900883908
Karlen-pypm,inc case,BG,2,0.2033810407504385
IEM_Health-CovidProject,inc death,BG,1,0.09333394944938712
ILM-EKF,inc death,BG,1,0.13114010618837937
LANL-GrowthRate,inc death,BG,1,0.10464715544325225
RobertWalraven-ESG,inc death,BG,1,0.1400009241740807
USC-SIkJalpha,inc death,BG,1,0.11908124584921806
epiforecasts-EpiNow2,inc death,BG,1,0.10791737905085388
IEM_Health-CovidProject,inc death,BG,2,0.0768991895142772
ILM-EKF,inc death,BG,2,0.1273642826330216
LANL-GrowthRate,inc death,BG,2,0.10063350726559732
RobertWalraven-ESG,inc death,BG,2,0.15982968801006633
USC-SIkJalpha,inc death,BG,2,0.13362809981169482
epiforecasts-EpiNow2,inc death,BG,2,0.11166183682895045
IEM_Health-CovidProject,inc death,BG,3,0.0887877422127722
ILM-EKF,inc death,BG,3,0.13318161331915832
LANL-GrowthRate,inc death,BG,3,0.1410158258673441
RobertWalraven-ESG,inc death,BG,3,0.2338799063165707
USC-SIkJalpha,inc death,BG,3,0.2040228969995617
epiforecasts-EpiNow2,inc death,BG,3,0.11986345198724249
IEM_Health-CovidProject,inc death,BG,4,0.08393636081066451
ILM-EKF,inc death,BG,4,0.11384471926044151
LANL-GrowthRate,inc death,BG,4,0.17686590313675735
RobertWalraven-ESG,inc death,BG,4,0.23582120418234315
USC-SIkJalpha,inc death,BG,4,0.1904709726088156
epiforecasts-EpiNow2,inc death,BG,4,0.1165234185371578
MUNI-ARIMA,inc death,BG,1,0.10464715544325225
MUNI-ARIMA,inc death,BG,2,0.07547513044919799
MUNI-ARIMA,inc death,BG,3,0.07924856329735042
MUNI-ARIMA,inc death,BG,4,0.08253742146382011
Karlen-pypm,inc death,BG,1,0.19923208440157636
Karlen-pypm,inc death,BG,2,0.21450826548719432
IEM_Health-CovidProject,inc case,CH,1,0.16835972535260696
ILM-EKF,inc case,CH,1,0.16304310244673517
LANL-GrowthRate,inc case,CH,1,0.11914688255722955
USC-SIkJalpha,inc case,CH,1,0.1461235352116966
epiforecasts-EpiNow2,inc case,CH,1,0.0819528821822214
IEM_Health-CovidProject,inc case,CH,2,0.1401658421568182
ILM-EKF,inc case,CH,2,0.15785667660379527
LANL-GrowthRate,inc case,CH,2,0.15785667660379527
USC-SIkJalpha,inc case,CH,2,0.14916731825863222
epiforecasts-EpiNow2,inc case,CH,2,0.054929857061455784
IEM_Health-CovidProject,inc case,CH,3,0.1607655433841412
ILM-EKF,inc case,CH,3,0.14977302759719138
LANL-GrowthRate,inc case,CH,3,0.17700448716031708
USC-SIkJalpha,inc case,CH,3,0.19047221987903684
epiforecasts-EpiNow2,inc case,CH,3,0.05049983927628643
IEM_Health-CovidProject,inc case,CH,4,0.13791951990367973
ILM-EKF,inc case,CH,4,0.15830762284596284
LANL-GrowthRate,inc case,CH,4,0.1784840845812326
USC-SIkJalpha,inc case,CH,4,0.18205376627285724
epiforecasts-EpiNow2,inc case,CH,4,0.07139363383249304
MUNI-ARIMA,inc case,CH,1,0.07783464689668261
MUNI-ARIMA,inc case,CH,2,0.08836542222929843
RobertWalraven-ESG,inc case,CH,1,0.1461235352116966
MUNI-ARIMA,inc case,CH,3,0.0850652632469485
