model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.12651892654752545
ILM-EKF,inc case,AT,1,0.14549676552965424
USC-SIkJalpha,inc case,AT,1,0.09920234013385516
epiforecasts-EpiNow2,inc case,AT,1,0.17459611863558508
IEM_Health-CovidProject,inc case,AT,2,0.11514142836033316
ILM-EKF,inc case,AT,2,0.14968385686843313
USC-SIkJalpha,inc case,AT,2,0.12473654739036093
epiforecasts-EpiNow2,inc case,AT,2,0.16631539652048122
IEM_Health-CovidProject,inc case,AT,3,0.1079488504330133
ILM-EKF,inc case,AT,3,0.16012412814230306
USC-SIkJalpha,inc case,AT,3,0.14339474161997287
epiforecasts-EpiNow2,inc case,AT,3,0.17468086706433061
IEM_Health-CovidProject,inc case,AT,4,0.09486451472362176
ILM-EKF,inc case,AT,4,0.15908049392115034
UMass-SemiMech,inc case,AT,1,0.1212473046080452
USC-SIkJalpha,inc case,AT,4,0.15433182246081747
epiforecasts-EpiNow2,inc case,AT,4,0.18140758078727673
UMass-SemiMech,inc case,AT,2,0.12830044874437124
UMass-SemiMech,inc case,AT,3,0.13724925269340263
UMass-SemiMech,inc case,AT,4,0.13256707826762526
MUNI-ARIMA,inc case,AT,1,0.23594070085889876
MUNI-ARIMA,inc case,AT,2,0.1910857747256593
RobertWalraven-ESG,inc case,AT,1,0.09699784368643616
MUNI-ARIMA,inc case,AT,3,0.13531616462729837
RobertWalraven-ESG,inc case,AT,2,0.12473654739036093
MUNI-ARIMA,inc case,AT,4,0.11618238320084015
RobertWalraven-ESG,inc case,AT,3,0.14128599541967915
RobertWalraven-ESG,inc case,AT,4,0.16156612663866832
IEM_Health-CovidProject,inc death,AT,1,0.1110110740519799
ILM-EKF,inc death,AT,1,0.07852002798798578
RobertWalraven-ESG,inc death,AT,1,0.14414870809734703
USC-SIkJalpha,inc death,AT,1,0.08700867966236261
epiforecasts-EpiNow2,inc death,AT,1,0.1509056787894102
