model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.1240329620035941
ILM-EKF,inc case,AT,1,0.11920050893851901
LANL-GrowthRate,inc case,AT,1,0.1873150854748156
USC-SIkJalpha,inc case,AT,1,0.09869289449748347
epiforecasts-EpiNow2,inc case,AT,1,0.14803934174622524
IEM_Health-CovidProject,inc case,AT,2,0.10871447701057788
ILM-EKF,inc case,AT,2,0.12424511658351756
LANL-GrowthRate,inc case,AT,2,0.19524232605981331
USC-SIkJalpha,inc case,AT,2,0.11389135686822444
epiforecasts-EpiNow2,inc case,AT,2,0.1406893231901596
IEM_Health-CovidProject,inc case,AT,3,0.10604197264463268
ILM-EKF,inc case,AT,3,0.13091601561065763
LANL-GrowthRate,inc case,AT,3,0.17383929941743062
USC-SIkJalpha,inc case,AT,3,0.12330461935422406
epiforecasts-EpiNow2,inc case,AT,3,0.15827160096213833
IEM_Health-CovidProject,inc case,AT,4,0.09859172734800448
ILM-EKF,inc case,AT,4,0.12918915997324723
LANL-GrowthRate,inc case,AT,4,0.16775308832347027
USC-SIkJalpha,inc case,AT,4,0.13222890491379424
epiforecasts-EpiNow2,inc case,AT,4,0.17291472181034628
MUNI-ARIMA,inc case,AT,1,0.2134520741457201
MUNI-ARIMA,inc case,AT,2,0.19133747953861704
RobertWalraven-ESG,inc case,AT,1,0.10926713319364242
MUNI-ARIMA,inc case,AT,3,0.15827160096213833
RobertWalraven-ESG,inc case,AT,2,0.12587992074909016
MUNI-ARIMA,inc case,AT,4,0.13875872737867295
RobertWalraven-ESG,inc case,AT,3,0.14935489104877844
RobertWalraven-ESG,inc case,AT,4,0.16056367025246443
IEM_Health-CovidProject,inc death,AT,1,0.11687155117210654
ILM-EKF,inc death,AT,1,0.08418713431889031
LANL-GrowthRate,inc death,AT,1,0.13797335902262575
RobertWalraven-ESG,inc death,AT,1,0.14608943896513316
USC-SIkJalpha,inc death,AT,1,0.09198223934841716
epiforecasts-EpiNow2,inc death,AT,1,0.14826987835267247
IEM_Health-CovidProject,inc death,AT,2,0.09566879369570289
ILM-EKF,inc death,AT,2,0.09803098613263382
LANL-GrowthRate,inc death,AT,2,0.1301722930613662
RobertWalraven-ESG,inc death,AT,2,0.13458491316514135
USC-SIkJalpha,inc death,AT,2,0.10180140867619665
epiforecasts-EpiNow2,inc death,AT,2,0.13690534270247137
IEM_Health-CovidProject,inc death,AT,3,0.07930246504564625
ILM-EKF,inc death,AT,3,0.10610893210332951
LANL-GrowthRate,inc death,AT,3,0.1395135959136369
RobertWalraven-ESG,inc death,AT,3,0.1477202780262038
USC-SIkJalpha,inc death,AT,3,0.08659464573949878
epiforecasts-EpiNow2,inc death,AT,3,0.13453096748814988
IEM_Health-CovidProject,inc death,AT,4,0.07029778224599047
ILM-EKF,inc death,AT,4,0.10495161856443648
LANL-GrowthRate,inc death,AT,4,0.13799194292731462
RobertWalraven-ESG,inc death,AT,4,0.13799194292731462
UMass-MechBayes,inc death,AT,1,0.17428213771279047
USC-SIkJalpha,inc death,AT,4,0.09804690681677619
epiforecasts-EpiNow2,inc death,AT,4,0.14610911604068608
UMass-MechBayes,inc death,AT,2,0.21460837504711727
UMass-MechBayes,inc death,AT,3,0.2215804170393057
UMass-MechBayes,inc death,AT,4,0.24037306187338678
MUNI-ARIMA,inc death,AT,1,0.1003442611073642
MUNI-ARIMA,inc death,AT,2,0.08822788751937044
MUNI-ARIMA,inc death,AT,3,0.08464869864422915
MUNI-ARIMA,inc death,AT,4,0.06423762860409475
IEM_Health-CovidProject,inc case,BE,1,0.16856119594422483
ILM-EKF,inc case,BE,1,0.16856119594422483
LANL-GrowthRate,inc case,BE,1,0.1596895540524235
USC-SIkJalpha,inc case,BE,1,0.13425227995557729
epiforecasts-EpiNow2,inc case,BE,1,0.15480109831612485
IEM_Health-CovidProject,inc case,BE,2,0.14855525979152703
ILM-EKF,inc case,BE,2,0.15292453213833665
LANL-GrowthRate,inc case,BE,2,0.17140991514406964
USC-SIkJalpha,inc case,BE,2,0.14180274798282125
epiforecasts-EpiNow2,inc case,BE,2,0.1431036906248655
IEM_Health-CovidProject,inc case,BE,3,0.12483537626760588
ILM-EKF,inc case,BE,3,0.13361286366142192
LANL-GrowthRate,inc case,BE,3,0.1858961581376305
