model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,AT,1,0.10659050149325378
ILM-EKF,inc case,AT,1,0.12056958365630344
LANL-GrowthRate,inc case,AT,1,0.16715328643260252
USC-SIkJalpha,inc case,AT,1,0.08453729428775297
epiforecasts-EpiNow2,inc case,AT,1,0.15009682863335735
IEM_Health-CovidProject,inc case,AT,2,0.11558747497882142
ILM-EKF,inc case,AT,2,0.150851450396089
USC-SIkJalpha,inc case,AT,2,0.1253554306108345
epiforecasts-EpiNow2,inc case,AT,2,0.16792897308243868
IEM_Health-CovidProject,inc case,AT,3,0.10910472824282437
ILM-EKF,inc case,AT,3,0.16002026808947575
USC-SIkJalpha,inc case,AT,3,0.14119435419659623
epiforecasts-EpiNow2,inc case,AT,3,0.17780029787719526
IEM_Health-CovidProject,inc case,AT,4,0.09761198837054988
ILM-EKF,inc case,AT,4,0.1601446684204334
UMass-SemiMech,inc case,AT,1,0.10074992606896588
USC-SIkJalpha,inc case,AT,4,0.15768090429088827
epiforecasts-EpiNow2,inc case,AT,4,0.18635015961650434
UMass-SemiMech,inc case,AT,2,0.12898892135317755
UMass-SemiMech,inc case,AT,3,0.13335022340789646
UMass-SemiMech,inc case,AT,4,0.13485866814352288
MUNI-ARIMA,inc case,AT,1,0.1885831949496028
MUNI-ARIMA,inc case,AT,2,0.18936671432700533
RobertWalraven-ESG,inc case,AT,1,0.08171938447816122
MUNI-ARIMA,inc case,AT,3,0.13522839556857105
RobertWalraven-ESG,inc case,AT,2,0.12192103525163356
MUNI-ARIMA,inc case,AT,4,0.11262921735063447
RobertWalraven-ESG,inc case,AT,3,0.14330173261744095
RobertWalraven-ESG,inc case,AT,4,0.15072439380746672
IEM_Health-CovidProject,inc death,AT,1,0.09368465193211158
ILM-EKF,inc death,AT,1,0.06813429231426296
LANL-GrowthRate,inc death,AT,1,0.12123896132390909
RobertWalraven-ESG,inc death,AT,1,0.12491286924281543
USC-SIkJalpha,inc death,AT,1,0.07427251684707943
epiforecasts-EpiNow2,inc death,AT,1,0.1308611011115209
IEM_Health-CovidProject,inc death,AT,2,0.09197751606053585
ILM-EKF,inc death,AT,2,0.09308567890463869
RobertWalraven-ESG,inc death,AT,2,0.1309510398150002
USC-SIkJalpha,inc death,AT,2,0.09657639186356264
epiforecasts-EpiNow2,inc death,AT,2,0.14577568583179265
IEM_Health-CovidProject,inc death,AT,3,0.07885123732956231
ILM-EKF,inc death,AT,3,0.10442461159860954
RobertWalraven-ESG,inc death,AT,3,0.14860425496725202
USC-SIkJalpha,inc death,AT,3,0.08399370932931637
epiforecasts-EpiNow2,inc death,AT,3,0.13798966532673404
IEM_Health-CovidProject,inc death,AT,4,0.06964932819352543
ILM-EKF,inc death,AT,4,0.10447399229028816
RobertWalraven-ESG,inc death,AT,4,0.14056500780875134
UMass-MechBayes,inc death,AT,1,0.1555518749061475
UMass-SemiMech,inc death,AT,1,0.14721873875046101
USC-SIkJalpha,inc death,AT,4,0.09428140767660151
epiforecasts-EpiNow2,inc death,AT,4,0.15158971430355536
UMass-MechBayes,inc death,AT,2,0.20881382024554082
UMass-SemiMech,inc death,AT,2,0.15149237939382373
UMass-MechBayes,inc death,AT,3,0.22727709583226782
UMass-SemiMech,inc death,AT,3,0.14310039367216862
UMass-MechBayes,inc death,AT,4,0.24938952998326852
UMass-SemiMech,inc death,AT,4,0.1310351767708699
MUNI-ARIMA,inc death,AT,1,0.08412499357169202
MUNI-ARIMA,inc death,AT,2,0.08132748788510537
MUNI-ARIMA,inc death,AT,3,0.07575903194408927
MUNI-ARIMA,inc death,AT,4,0.059015842973139866
IEM_Health-CovidProject,inc case,BE,1,0.13908211774680784
ILM-EKF,inc case,BE,1,0.14595037047504525
LANL-GrowthRate,inc case,BE,1,0.1713330436011401
USC-SIkJalpha,inc case,BE,1,0.11590176478900652
epiforecasts-EpiNow2,inc case,BE,1,0.13135533342754074
IEM_Health-CovidProject,inc case,BE,2,0.1490471107485522
ILM-EKF,inc case,BE,2,0.16051227311382543
USC-SIkJalpha,inc case,BE,2,0.16411929048716986
epiforecasts-EpiNow2,inc case,BE,2,0.15215225888914705
IEM_Health-CovidProject,inc case,BE,3,0.13330960279212467
ILM-EKF,inc case,BE,3,0.1525369493486811
USC-SIkJalpha,inc case,BE,3,0.18663344390897452
epiforecasts-EpiNow2,inc case,BE,3,0.16354477043569934
IEM_Health-CovidProject,inc case,BE,4,0.1116243837999684
ILM-EKF,inc case,BE,4,0.13767007335329437
UMass-SemiMech,inc case,BE,1,0.10747254553162423
USC-SIkJalpha,inc case,BE,4,0.20146840002921126
epiforecasts-EpiNow2,inc case,BE,4,0.17763880432683143
UMass-SemiMech,inc case,BE,2,0.14044823897459727
UMass-SemiMech,inc case,BE,3,0.13330960279212467
UMass-SemiMech,inc case,BE,4,0.1412000752341481
