model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.10131782154572672
ILM-EKF,inc case,Overall,1,0.1190484403162289
LANL-GrowthRate,inc case,Overall,1,0.11337946696783703
MUNI-ARIMA,inc case,Overall,1,0.21645170966587074
RobertWalraven-ESG,inc case,Overall,1,0.12870101655808527
USC-SIkJalpha,inc case,Overall,1,0.08580067770539018
epiforecasts-EpiExpert,inc case,Overall,1,0.11474548464214834
epiforecasts-EpiNow2,inc case,Overall,1,0.12055538259871279
IEM_Health-CovidProject,inc case,Overall,2,0.09382099764608941
ILM-EKF,inc case,Overall,2,0.11529809349278458
LANL-GrowthRate,inc case,Overall,2,0.13291307999862667
MUNI-ARIMA,inc case,Overall,2,0.1913948351980224
RobertWalraven-ESG,inc case,Overall,2,0.13869190956378435
USC-SIkJalpha,inc case,Overall,2,0.10073412378843284
epiforecasts-EpiExpert,inc case,Overall,2,0.10752518831349574
epiforecasts-EpiNow2,inc case,Overall,2,0.119621771998764
IEM_Health-CovidProject,inc case,Overall,3,0.09625927308065614
ILM-EKF,inc case,Overall,3,0.11786849764978302
MUNI-ARIMA,inc case,Overall,3,0.2139094957347914
RobertWalraven-ESG,inc case,Overall,3,0.17501686014664752
USC-SIkJalpha,inc case,Overall,3,0.13126264510998564
epiforecasts-EpiExpert,inc case,Overall,3,0.12978778392897458
epiforecasts-EpiNow2,inc case,Overall,3,0.13589544434916162
IEM_Health-CovidProject,inc case,Overall,4,0.0845489873968089
ILM-EKF,inc case,Overall,4,0.0977164526471316
MUNI-ARIMA,inc case,Overall,4,0.2249322117537746
RobertWalraven-ESG,inc case,Overall,4,0.19228076166048477
USC-SIkJalpha,inc case,Overall,4,0.13547053662443245
epiforecasts-EpiExpert,inc case,Overall,4,0.13547053662443245
epiforecasts-EpiNow2,inc case,Overall,4,0.12958051329293535
IEM_Health-CovidProject,inc death,Overall,1,0.09699635082587033
ILM-EKF,inc death,Overall,1,0.1043631622809997
LANL-GrowthRate,inc death,Overall,1,0.11612239183378842
MUNI-ARIMA,inc death,Overall,1,0.17541893234465908
RobertWalraven-ESG,inc death,Overall,1,0.1043631622809997
UMass-MechBayes,inc death,Overall,1,0.13086809238411073
USC-SIkJalpha,inc death,Overall,1,0.09160766466887753
epiforecasts-EpiExpert,inc death,Overall,1,0.08865257871181695
epiforecasts-EpiNow2,inc death,Overall,1,0.09160766466887753
IEM_Health-CovidProject,inc death,Overall,2,0.08234682170409266
ILM-EKF,inc death,Overall,2,0.10414450980223482
LANL-GrowthRate,inc death,Overall,2,0.12424257309740297
MUNI-ARIMA,inc death,Overall,2,0.1609506060579993
RobertWalraven-ESG,inc death,Overall,2,0.09197177489028531
UMass-MechBayes,inc death,Overall,2,0.15395275362069497
USC-SIkJalpha,inc death,Overall,2,0.11065354166487451
epiforecasts-EpiExpert,inc death,Overall,2,0.08430746031609486
epiforecasts-EpiNow2,inc death,Overall,2,0.0874299588463206
IEM_Health-CovidProject,inc death,Overall,3,0.08290756693597334
ILM-EKF,inc death,Overall,3,0.11384322624044099
MUNI-ARIMA,inc death,Overall,3,0.200723583108146
RobertWalraven-ESG,inc death,Overall,3,0.09655058427986768
UMass-MechBayes,inc death,Overall,3,0.18160705138356065
USC-SIkJalpha,inc death,Overall,3,0.12504092062474667
epiforecasts-EpiExpert,inc death,Overall,3,0.1074295233536556
