model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.09137597230574059
ILM-EKF,inc case,Overall,1,0.11307776572835397
MUNI-ARIMA,inc case,Overall,1,0.23805845416495575
RobertWalraven-ESG,inc case,Overall,1,0.16447675015033303
UMass-SemiMech,inc case,Overall,1,0.08782739085697396
USC-SIkJalpha,inc case,Overall,1,0.0845441239090497
epiforecasts-EpiExpert,inc case,Overall,1,0.11031977144229654
epiforecasts-EpiNow2,inc case,Overall,1,0.11031977144229654
IEM_Health-CovidProject,inc case,Overall,2,0.08328796125036989
ILM-EKF,inc case,Overall,2,0.10127058924760884
MUNI-ARIMA,inc case,Overall,2,0.2025411784952177
RobertWalraven-ESG,inc case,Overall,2,0.21736126472657505
UMass-SemiMech,inc case,Overall,2,0.09902013170877308
USC-SIkJalpha,inc case,Overall,2,0.09480650908286783
epiforecasts-EpiExpert,inc case,Overall,2,0.0968675201498867
epiforecasts-EpiNow2,inc case,Overall,2,0.1048448453387009
IEM_Health-CovidProject,inc case,Overall,3,0.07180647796268781
ILM-EKF,inc case,Overall,3,0.08576884867765489
MUNI-ARIMA,inc case,Overall,3,0.20137034037362453
RobertWalraven-ESG,inc case,Overall,3,0.23157589142966822
UMass-SemiMech,inc case,Overall,3,0.10292261841318588
USC-SIkJalpha,inc case,Overall,3,0.10407905232794079
epiforecasts-EpiExpert,inc case,Overall,3,0.10179160062842559
epiforecasts-EpiNow2,inc case,Overall,3,0.10068517018681226
IEM_Health-CovidProject,inc case,Overall,4,0.0671070668102082
ILM-EKF,inc case,Overall,4,0.07697575310582705
LANL-GrowthRate,inc case,Overall,4,0.149552891748464
RobertWalraven-ESG,inc case,Overall,4,0.261717560559812
UMass-SemiMech,inc case,Overall,4,0.10574446891305536
USC-SIkJalpha,inc case,Overall,4,0.11762586991452224
epiforecasts-EpiExpert,inc case,Overall,4,0.11762586991452224
epiforecasts-EpiNow2,inc case,Overall,4,0.1036505190335889
IEM_Health-CovidProject,inc death,Overall,1,0.09710200467905636
ILM-EKF,inc death,Overall,1,0.10669232612883969
MUNI-ARIMA,inc death,Overall,1,0.16619381570069258
RobertWalraven-ESG,inc death,Overall,1,0.10539120020043921
UMass-MechBayes,inc death,Overall,1,0.13295505256055407
UMass-SemiMech,inc death,Overall,1,0.10669232612883969
USC-SIkJalpha,inc death,Overall,1,0.09393563496126103
epiforecasts-EpiExpert,inc death,Overall,1,0.09710200467905636
epiforecasts-EpiNow2,inc death,Overall,1,0.09393563496126103
IEM_Health-CovidProject,inc death,Overall,2,0.08360680156303386
ILM-EKF,inc death,Overall,2,0.1036253315147462
MUNI-ARIMA,inc death,Overall,2,0.1532791361988954
RobertWalraven-ESG,inc death,Overall,2,0.09432562227624332
UMass-MechBayes,inc death,Overall,2,0.1532791361988954
UMass-SemiMech,inc death,Overall,2,0.12262330895911633
USC-SIkJalpha,inc death,Overall,2,0.10981191847085044
epiforecasts-EpiExpert,inc death,Overall,2,0.0897243724091095
epiforecasts-EpiNow2,inc death,Overall,2,0.0897243724091095
IEM_Health-CovidProject,inc death,Overall,3,0.0734073652170012
ILM-EKF,inc death,Overall,3,0.09822112247345233
MUNI-ARIMA,inc death,Overall,3,0.17009023647841742
RobertWalraven-ESG,inc death,Overall,3,0.08717124619518893
UMass-MechBayes,inc death,Overall,3,0.15497110434700254
UMass-SemiMech,inc death,Overall,3,0.12453035170741275
USC-SIkJalpha,inc death,Overall,3,0.10896405774398617
epiforecasts-EpiExpert,inc death,Overall,3,0.09962428136593021
epiforecasts-EpiNow2,inc death,Overall,3,0.0830202344716085
IEM_Health-CovidProject,inc death,Overall,4,0.06834313176273002
ILM-EKF,inc death,Overall,4,0.0864108562517276
LANL-GrowthRate,inc death,Overall,4,0.15995201050851707
RobertWalraven-ESG,inc death,Overall,4,0.0905752348662687
UMass-MechBayes,inc death,Overall,4,0.1534233570183735
UMass-SemiMech,inc death,Overall,4,0.12324171301475904
USC-SIkJalpha,inc death,Overall,4,0.12324171301475904
epiforecasts-EpiExpert,inc death,Overall,4,0.10739634991286146
epiforecasts-EpiNow2,inc death,Overall,4,0.08741563365000352
IEM_Health-CovidProject,inc case,AT,1,0.10127978454182951
ILM-EKF,inc case,AT,1,0.10549977556440575
MUNI-ARIMA,inc case,AT,1,0.2619304772633522
RobertWalraven-ESG,inc case,AT,1,0.2109995511288115
UMass-SemiMech,inc case,AT,1,0.09615169418528118
USC-SIkJalpha,inc case,AT,1,0.08347234989711223
epiforecasts-EpiNow2,inc case,AT,1,0.14066636741920766
IEM_Health-CovidProject,inc case,AT,2,0.07899937595726667
ILM-EKF,inc case,AT,2,0.0859118213535275
MUNI-ARIMA,inc case,AT,2,0.20827108206915756
RobertWalraven-ESG,inc case,AT,2,0.34364728541411
UMass-SemiMech,inc case,AT,2,0.0904334961616079
USC-SIkJalpha,inc case,AT,2,0.08699931276306581
epiforecasts-EpiNow2,inc case,AT,2,0.1057376262812646
IEM_Health-CovidProject,inc case,AT,3,0.056725202229666406
ILM-EKF,inc case,AT,3,0.0644067400316004
MUNI-ARIMA,inc case,AT,3,0.2576269601264016
RobertWalraven-ESG,inc case,AT,3,0.38644044018960244
UMass-SemiMech,inc case,AT,3,0.08244062724044851
USC-SIkJalpha,inc case,AT,3,0.06648437680681332
epiforecasts-EpiNow2,inc case,AT,3,0.08587565337546721
IEM_Health-CovidProject,inc case,AT,4,0.05121582392371511
ILM-EKF,inc case,AT,4,0.059462439640245515
LANL-GrowthRate,inc case,AT,4,0.09611736818560232
RobertWalraven-ESG,inc case,AT,4,0.53973599058069
UMass-SemiMech,inc case,AT,4,0.09112425814998662
USC-SIkJalpha,inc case,AT,4,0.06878988115244088
epiforecasts-EpiNow2,inc case,AT,4,0.09355423836731959
IEM_Health-CovidProject,inc death,AT,1,0.0997854079949486
ILM-EKF,inc death,AT,1,0.07546795562643172
MUNI-ARIMA,inc death,AT,1,0.11816693052033388
RobertWalraven-ESG,inc death,AT,1,0.13404010029172198
UMass-MechBayes,inc death,AT,1,0.18327932080704845
UMass-SemiMech,inc death,AT,1,0.18709763999052864
USC-SIkJalpha,inc death,AT,1,0.08553034970995593
epiforecasts-EpiNow2,inc death,AT,1,0.11663229505903083
IEM_Health-CovidProject,inc death,AT,2,0.08705059148220316
ILM-EKF,inc death,AT,2,0.08898504907069657
MUNI-ARIMA,inc death,AT,2,0.1082250596805769
RobertWalraven-ESG,inc death,AT,2,0.1177743296523925
UMass-MechBayes,inc death,AT,2,0.235548659304785
UMass-SemiMech,inc death,AT,2,0.15703243953652335
USC-SIkJalpha,inc death,AT,2,0.10137537235902139
epiforecasts-EpiNow2,inc death,AT,2,0.10400849891380118
IEM_Health-CovidProject,inc death,AT,3,0.07550434495444984
ILM-EKF,inc death,AT,3,0.09416834033644869
MUNI-ARIMA,inc death,AT,3,0.15238149618079877
RobertWalraven-ESG,inc death,AT,3,0.13095284828037396
UMass-MechBayes,inc death,AT,3,0.20952455724859834
UMass-SemiMech,inc death,AT,3,0.14449969465420576
USC-SIkJalpha,inc death,AT,3,0.08552022744840748
epiforecasts-EpiNow2,inc death,AT,3,0.10744849089671708
IEM_Health-CovidProject,inc death,AT,4,0.07172374941521116
ILM-EKF,inc death,AT,4,0.0916075611342796
LANL-GrowthRate,inc death,AT,4,0.15952351163038345
RobertWalraven-ESG,inc death,AT,4,0.11711852752610429
