model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.12200731204601427
ILM-EKF,inc case,Overall,1,0.12325228461791238
Karlen-pypm,inc case,Overall,1,0.0922039991798123
LANL-GrowthRate,inc case,Overall,1,0.14210263403006368
MUNI-ARIMA,inc case,Overall,1,0.19172577607230812
RobertWalraven-ESG,inc case,Overall,1,0.12325228461791238
USC-SIkJalpha,inc case,Overall,1,0.0915054840345107
epiforecasts-EpiNow2,inc case,Overall,1,0.11395022540146614
IEM_Health-CovidProject,inc case,Overall,2,0.12870977227229524
ILM-EKF,inc case,Overall,2,0.10565727574591399
Karlen-pypm,inc case,Overall,2,0.05445413442289413
LANL-GrowthRate,inc case,Overall,2,0.16656558764649973
MUNI-ARIMA,inc case,Overall,2,0.19663992986045106
RobertWalraven-ESG,inc case,Overall,2,0.14017895990051957
USC-SIkJalpha,inc case,Overall,2,0.09631343503369032
epiforecasts-EpiNow2,inc case,Overall,2,0.11148090511773602
IEM_Health-CovidProject,inc case,Overall,3,0.1251936144066223
ILM-EKF,inc case,Overall,3,0.09247255609580057
Karlen-pypm,inc case,Overall,3,0.04351649698625908
LANL-GrowthRate,inc case,Overall,3,0.17884802058088897
MUNI-ARIMA,inc case,Overall,3,0.1960863840103723
RobertWalraven-ESG,inc case,Overall,3,0.15353933842321602
USC-SIkJalpha,inc case,Overall,3,0.0879738912046535
epiforecasts-EpiNow2,inc case,Overall,3,0.1223696982921872
IEM_Health-CovidProject,inc case,Overall,4,0.11331061682657435
ILM-EKF,inc case,Overall,4,0.058842004527484226
Karlen-pypm,inc case,Overall,4,0.0384632369044335
LANL-GrowthRate,inc case,Overall,4,0.18032227193906455
MUNI-ARIMA,inc case,Overall,4,0.19056785557196598
RobertWalraven-ESG,inc case,Overall,4,0.16124972394550965
USC-SIkJalpha,inc case,Overall,4,0.13745878106830334
epiforecasts-EpiNow2,inc case,Overall,4,0.11978550921666432
