model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.12772637073507498
ILM-EKF,inc case,Overall,1,0.1408940378211652
LANL-GrowthRate,inc case,Overall,1,0.14855132248535893
UMass-SemiMech,inc case,Overall,1,0.13531407592725767
USC-SIkJalpha,inc case,Overall,1,0.12772637073507498
epiforecasts-EpiExpert,inc case,Overall,1,0.16269906748396457
epiforecasts-EpiNow2,inc case,Overall,1,0.15708875481210371
IEM_Health-CovidProject,inc case,Overall,2,0.12094429891543299
ILM-EKF,inc case,Overall,2,0.12843642362700847
LANL-GrowthRate,inc case,Overall,2,0.17485922734761394
UMass-SemiMech,inc case,Overall,2,0.14090597931895105
USC-SIkJalpha,inc case,Overall,2,0.14090597931895105
epiforecasts-EpiExpert,inc case,Overall,2,0.13955111413319188
epiforecasts-EpiNow2,inc case,Overall,2,0.1543969773388506
IEM_Health-CovidProject,inc case,Overall,3,0.1143622568797704
ILM-EKF,inc case,Overall,3,0.12894536346175456
LANL-GrowthRate,inc case,Overall,3,0.20883542560653726
USC-SIkJalpha,inc case,Overall,3,0.18473903034424446
epiforecasts-EpiExpert,inc case,Overall,3,0.19604958322246355
epiforecasts-EpiNow2,inc case,Overall,3,0.1670683404852298
IEM_Health-CovidProject,inc case,Overall,4,0.09955562737277067
ILM-EKF,inc case,Overall,4,0.09865057621483639
LANL-GrowthRate,inc case,Overall,4,0.24385535693555066
USC-SIkJalpha,inc case,Overall,4,0.2028329604417197
epiforecasts-EpiExpert,inc case,Overall,4,0.195523664569946
epiforecasts-EpiNow2,inc case,Overall,4,0.1595818144651765
IEM_Health-CovidProject,inc death,Overall,1,0.10051809438877107
ILM-EKF,inc death,Overall,1,0.10254876296228162
LANL-GrowthRate,inc death,Overall,1,0.1269040941658235
RobertWalraven-ESG,inc death,Overall,1,0.1140710958793919
UMass-MechBayes,inc death,Overall,1,0.1318484095229335
UMass-SemiMech,inc death,Overall,1,0.11943914745018681
USC-SIkJalpha,inc death,Overall,1,0.10466317044604
epiforecasts-EpiExpert,inc death,Overall,1,0.10686660561332503
epiforecasts-EpiNow2,inc death,Overall,1,0.09314061957124659
IEM_Health-CovidProject,inc death,Overall,2,0.09301763897369354
ILM-EKF,inc death,Overall,2,0.1006109156246073
LANL-GrowthRate,inc death,Overall,2,0.12480847761027235
RobertWalraven-ESG,inc death,Overall,2,0.09859869731211517
UMass-MechBayes,inc death,Overall,2,0.15169030355710023
UMass-SemiMech,inc death,Overall,2,0.12973512804225681
USC-SIkJalpha,inc death,Overall,2,0.12024231379526239
epiforecasts-EpiExpert,inc death,Overall,2,0.09480643972318764
epiforecasts-EpiNow2,inc death,Overall,2,0.08649008536150453
IEM_Health-CovidProject,inc death,Overall,3,0.12081199359371061
ILM-EKF,inc death,Overall,3,0.12951916430316723
LANL-GrowthRate,inc death,Overall,3,0.1753247224103849
RobertWalraven-ESG,inc death,Overall,3,0.12951916430316723
USC-SIkJalpha,inc death,Overall,3,0.16337076406422232
epiforecasts-EpiExpert,inc death,Overall,3,0.16913679103119486
epiforecasts-EpiNow2,inc death,Overall,3,0.11231740029415284
IEM_Health-CovidProject,inc death,Overall,4,0.11715560176215657
ILM-EKF,inc death,Overall,4,0.09174836282578527
LANL-GrowthRate,inc death,Overall,4,0.22072794534899068
RobertWalraven-ESG,inc death,Overall,4,0.12906973075491826
USC-SIkJalpha,inc death,Overall,4,0.1730707753304586
epiforecasts-EpiExpert,inc death,Overall,4,0.16736514537450936
epiforecasts-EpiNow2,inc death,Overall,4,0.10086243860318117
IEM_Health-CovidProject,inc case,AT,1,0.16230394572704904
ILM-EKF,inc case,AT,1,0.1418023946878428
LANL-GrowthRate,inc case,AT,1,0.19244610707635812
UMass-SemiMech,inc case,AT,1,0.13607300500348554
USC-SIkJalpha,inc case,AT,1,0.16631145055981567
epiforecasts-EpiNow2,inc case,AT,1,0.20106309694544877
IEM_Health-CovidProject,inc case,AT,2,0.1494374671740673
ILM-EKF,inc case,AT,2,0.12453122264505609
LANL-GrowthRate,inc case,AT,2,0.21976098113833425
UMass-SemiMech,inc case,AT,2,0.1409787426170446
USC-SIkJalpha,inc case,AT,2,0.19924995623208971
epiforecasts-EpiNow2,inc case,AT,2,0.16604163019340812
IEM_Health-CovidProject,inc case,AT,3,0.1643578856025779
ILM-EKF,inc case,AT,3,0.13870665490159756
LANL-GrowthRate,inc case,AT,3,0.27581898043651004
USC-SIkJalpha,inc case,AT,3,0.2142522437319319
epiforecasts-EpiNow2,inc case,AT,3,0.20686423532738257
IEM_Health-CovidProject,inc case,AT,4,0.14238300696979755
ILM-EKF,inc case,AT,4,0.12102555592432793
LANL-GrowthRate,inc case,AT,4,0.32583803518088283
USC-SIkJalpha,inc case,AT,4,0.20537670096249586
epiforecasts-EpiNow2,inc case,AT,4,0.20537670096249586
IEM_Health-CovidProject,inc death,AT,1,0.10717580001765313
ILM-EKF,inc death,AT,1,0.06820278182941562
LANL-GrowthRate,inc death,AT,1,0.12263384809712233
RobertWalraven-ESG,inc death,AT,1,0.15366168918193643
UMass-MechBayes,inc death,AT,1,0.15183238335834193
UMass-SemiMech,inc death,AT,1,0.17471123564521537
USC-SIkJalpha,inc death,AT,1,0.10369040814716035
epiforecasts-EpiNow2,inc death,AT,1,0.11809185372315482
IEM_Health-CovidProject,inc death,AT,2,0.08428142229302969
ILM-EKF,inc death,AT,2,0.07676588145161302
LANL-GrowthRate,inc death,AT,2,0.1585821498408322
RobertWalraven-ESG,inc death,AT,2,0.12052243387903244
UMass-MechBayes,inc death,AT,2,0.17988422967019768
UMass-SemiMech,inc death,AT,2,0.14179109868121464
USC-SIkJalpha,inc death,AT,2,0.1295940149236908
epiforecasts-EpiNow2,inc death,AT,2,0.10857876926038958
IEM_Health-CovidProject,inc death,AT,3,0.12782389296366115
ILM-EKF,inc death,AT,3,0.11843569743525666
LANL-GrowthRate,inc death,AT,3,0.275830505868953
RobertWalraven-ESG,inc death,AT,3,0.20156844659654255
USC-SIkJalpha,inc death,AT,3,0.15081380177007503
epiforecasts-EpiNow2,inc death,AT,3,0.12552765536551155
IEM_Health-CovidProject,inc death,AT,4,0.15305918121763096
ILM-EKF,inc death,AT,4,0.11325006682022021
LANL-GrowthRate,inc death,AT,4,0.25254764900909105
RobertWalraven-ESG,inc death,AT,4,0.1870723325993267
USC-SIkJalpha,inc death,AT,4,0.17660674755880496
epiforecasts-EpiNow2,inc death,AT,4,0.11746402279492607
IEM_Health-CovidProject,inc case,BE,1,0.1634885232385756
ILM-EKF,inc case,BE,1,0.1653463473662867
LANL-GrowthRate,inc case,BE,1,0.22735122762864418
UMass-SemiMech,inc case,BE,1,0.1412667822158566
USC-SIkJalpha,inc case,BE,1,0.1426517506689532
epiforecasts-EpiNow2,inc case,BE,1,0.1598953688816838
IEM_Health-CovidProject,inc case,BE,2,0.14685187046820647
ILM-EKF,inc case,BE,2,0.14032512066961952
LANL-GrowthRate,inc case,BE,2,0.20153075840849613
UMass-SemiMech,inc case,BE,2,0.17871595556979844
USC-SIkJalpha,inc case,BE,2,0.18572442441567288
epiforecasts-EpiNow2,inc case,BE,2,0.14685187046820647
IEM_Health-CovidProject,inc case,BE,3,0.15837556065148004
ILM-EKF,inc case,BE,3,0.1529143344221187
LANL-GrowthRate,inc case,BE,3,0.2608538646024377
USC-SIkJalpha,inc case,BE,3,0.25443942530893515
epiforecasts-EpiNow2,inc case,BE,3,0.17341681501502842
IEM_Health-CovidProject,inc case,BE,4,0.1176577585620981
ILM-EKF,inc case,BE,4,0.1021764745407694
LANL-GrowthRate,inc case,BE,4,0.3092420733888774
USC-SIkJalpha,inc case,BE,4,0.3360034066629148
epiforecasts-EpiNow2,inc case,BE,4,0.13492028684534033
IEM_Health-CovidProject,inc death,BE,1,0.12455949216122573
ILM-EKF,inc death,BE,1,0.08660777189335227
