model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.09202033715608937
ILM-EKF,inc case,Overall,1,0.1122199233610846
MUNI-ARIMA,inc case,Overall,1,0.2244398467221692
RobertWalraven-ESG,inc case,Overall,1,0.1769621868386334
UMass-SemiMech,inc case,Overall,1,0.08520401588526794
USC-SIkJalpha,inc case,Overall,1,0.08600031509914895
epiforecasts-EpiExpert,inc case,Overall,1,0.11360535451369058
epiforecasts-EpiNow2,inc case,Overall,1,0.10954802042391593
IEM_Health-CovidProject,inc case,Overall,2,0.08043517720730448
ILM-EKF,inc case,Overall,2,0.09830966103114992
MUNI-ARIMA,inc case,Overall,2,0.20108794301826122
RobertWalraven-ESG,inc case,Overall,2,0.23283867086324983
UMass-SemiMech,inc case,Overall,2,0.0951383816430483
USC-SIkJalpha,inc case,Overall,2,0.09313546834529993
epiforecasts-EpiExpert,inc case,Overall,2,0.09617249448699448
epiforecasts-EpiNow2,inc case,Overall,2,0.10288220340469179
IEM_Health-CovidProject,inc case,Overall,3,0.07369051981636952
ILM-EKF,inc case,Overall,3,0.08829584806826257
LANL-GrowthRate,inc case,Overall,3,0.14204114689242245
RobertWalraven-ESG,inc case,Overall,3,0.2648875442047878
UMass-SemiMech,inc case,Overall,3,0.10889821261752386
USC-SIkJalpha,inc case,Overall,3,0.10889821261752386
epiforecasts-EpiExpert,inc case,Overall,3,0.11012178804019267
epiforecasts-EpiNow2,inc case,Overall,3,0.10316672774291734
IEM_Health-CovidProject,inc case,Overall,4,0.06213356908409086
ILM-EKF,inc case,Overall,4,0.07158867742297426
LANL-GrowthRate,inc case,Overall,4,0.14113196406243494
RobertWalraven-ESG,inc case,Overall,4,0.3087261713865765
UMass-SemiMech,inc case,Overall,4,0.09879237484370447
USC-SIkJalpha,inc case,Overall,4,0.10976930538189386
epiforecasts-EpiExpert,inc case,Overall,4,0.11100266836371289
epiforecasts-EpiNow2,inc case,Overall,4,0.09685526945461222
IEM_Health-CovidProject,inc death,Overall,1,0.09856530493942066
ILM-EKF,inc death,Overall,1,0.10436326405350423
MUNI-ARIMA,inc death,Overall,1,0.16128868080996106
RobertWalraven-ESG,inc death,Overall,1,0.10818143225058365
UMass-MechBayes,inc death,Overall,1,0.13240115588877402
UMass-SemiMech,inc death,Overall,1,0.10687804150057663
USC-SIkJalpha,inc death,Overall,1,0.09437103664412616
epiforecasts-EpiExpert,inc death,Overall,1,0.09856530493942066
epiforecasts-EpiNow2,inc death,Overall,1,0.09538577897363289
IEM_Health-CovidProject,inc death,Overall,2,0.08370070792090112
ILM-EKF,inc death,Overall,2,0.10492060570366478
MUNI-ARIMA,inc death,Overall,2,0.15202781642775917
RobertWalraven-ESG,inc death,Overall,2,0.09429573424000251
UMass-MechBayes,inc death,Overall,2,0.15202781642775917
UMass-SemiMech,inc death,Overall,2,0.12015101620903547
USC-SIkJalpha,inc death,Overall,2,0.11118452246209251
epiforecasts-EpiExpert,inc death,Overall,2,0.09084589030439266
epiforecasts-EpiNow2,inc death,Overall,2,0.09084589030439266
IEM_Health-CovidProject,inc death,Overall,3,0.07533833823261049
ILM-EKF,inc death,Overall,3,0.10149748345226689
LANL-GrowthRate,inc death,Overall,3,0.14053497708775417
RobertWalraven-ESG,inc death,Overall,3,0.0902199852909039
UMass-MechBayes,inc death,Overall,3,0.1588656262731134
UMass-SemiMech,inc death,Overall,3,0.12820734751865293
USC-SIkJalpha,inc death,Overall,3,0.11242798167020332
epiforecasts-EpiExpert,inc death,Overall,3,0.10591041751540896
epiforecasts-EpiNow2,inc death,Overall,3,0.08699784295908591
IEM_Health-CovidProject,inc death,Overall,4,0.0689033764165347
ILM-EKF,inc death,Overall,4,0.0867098669511448
LANL-GrowthRate,inc death,Overall,4,0.16077454497191432
RobertWalraven-ESG,inc death,Overall,4,0.09079033127825749
UMass-MechBayes,inc death,Overall,4,0.15434356317303774
UMass-SemiMech,inc death,Overall,4,0.12058090872893573
USC-SIkJalpha,inc death,Overall,4,0.1224948914071728
epiforecasts-EpiExpert,inc death,Overall,4,0.10869265012185757
epiforecasts-EpiNow2,inc death,Overall,4,0.0867098669511448
IEM_Health-CovidProject,inc case,AT,1,0.10196812078739638
ILM-EKF,inc case,AT,1,0.10472401594381249
MUNI-ARIMA,inc case,AT,1,0.2583192393280708
RobertWalraven-ESG,inc case,AT,1,0.20944803188762498
UMass-SemiMech,inc case,AT,1,0.09686971474802655
USC-SIkJalpha,inc case,AT,1,0.08516018878947389
epiforecasts-EpiNow2,inc case,AT,1,0.14351068851559487
IEM_Health-CovidProject,inc case,AT,2,0.07899478777152352
ILM-EKF,inc case,AT,2,0.0867967421193283
MUNI-ARIMA,inc case,AT,2,0.20087246033330264
RobertWalraven-ESG,inc case,AT,2,0.35152680558327964
UMass-SemiMech,inc case,AT,2,0.08899412799576699
USC-SIkJalpha,inc case,AT,2,0.08788170139581991
epiforecasts-EpiNow2,inc case,AT,2,0.10493337480097899
IEM_Health-CovidProject,inc case,AT,3,0.06554173251805881
ILM-EKF,inc case,AT,3,0.0741482226466928
LANL-GrowthRate,inc case,AT,3,0.12441820410207775
RobertWalraven-ESG,inc case,AT,3,0.45879212762641164
UMass-SemiMech,inc case,AT,3,0.09787565389363448
USC-SIkJalpha,inc case,AT,3,0.07727025307392196
epiforecasts-EpiNow2,inc case,AT,3,0.10195380613920259
IEM_Health-CovidProject,inc case,AT,4,0.05285631925108645
ILM-EKF,inc case,AT,4,0.06016166418822848
LANL-GrowthRate,inc case,AT,4,0.0986651292686947
RobertWalraven-ESG,inc case,AT,4,0.5285631925108645
UMass-SemiMech,inc case,AT,4,0.09249855868940128
USC-SIkJalpha,inc case,AT,4,0.0711527374533856
