model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.08991695822771152
ILM-EKF,inc case,Overall,1,0.11001604300802352
MUNI-ARIMA,inc case,Overall,1,0.2125309921745909
RobertWalraven-ESG,inc case,Overall,1,0.19084415623840814
UMass-SemiMech,inc case,Overall,1,0.08424651942055854
USC-SIkJalpha,inc case,Overall,1,0.08658670051557404
epiforecasts-EpiExpert,inc case,Overall,1,0.11837169184407592
epiforecasts-EpiNow2,inc case,Overall,1,0.10748693857105744
IEM_Health-CovidProject,inc case,Overall,2,0.09361385143552549
ILM-EKF,inc case,Overall,2,0.11353169216648835
RobertWalraven-ESG,inc case,Overall,2,0.33349934573905954
UMass-SemiMech,inc case,Overall,2,0.11233662172263058
USC-SIkJalpha,inc case,Overall,2,0.11116644857968652
epiforecasts-EpiExpert,inc case,Overall,2,0.117274495204944
epiforecasts-EpiNow2,inc case,Overall,2,0.11857754515166562
IEM_Health-CovidProject,inc case,Overall,3,0.12372395304931119
ILM-EKF,inc case,Overall,3,0.14364560650640368
UMass-SemiMech,inc case,Overall,3,0.18032108050803863
USC-SIkJalpha,inc case,Overall,3,0.18626573151379813
epiforecasts-EpiExpert,inc case,Overall,3,0.19482967319259348
epiforecasts-EpiNow2,inc case,Overall,3,0.17121395522985489
IEM_Health-CovidProject,inc case,Overall,4,0.11488818188171497
ILM-EKF,inc case,Overall,4,0.1229892716297846
UMass-SemiMech,inc case,Overall,4,0.17442114885678542
USC-SIkJalpha,inc case,Overall,4,0.2063045846693161
epiforecasts-EpiExpert,inc case,Overall,4,0.20854702580702605
epiforecasts-EpiNow2,inc case,Overall,4,0.17284978715537294
IEM_Health-CovidProject,inc death,Overall,1,0.09480845159195343
ILM-EKF,inc death,Overall,1,0.10134696549484677
MUNI-ARIMA,inc death,Overall,1,0.17288599996179746
RobertWalraven-ESG,inc death,Overall,1,0.10885414812409469
UMass-MechBayes,inc death,Overall,1,0.12966449997134807
UMass-SemiMech,inc death,Overall,1,0.10373159997707848
USC-SIkJalpha,inc death,Overall,1,0.09379985104310287
epiforecasts-EpiExpert,inc death,Overall,1,0.0990695055960862
epiforecasts-EpiNow2,inc death,Overall,1,0.09583897823969206
IEM_Health-CovidProject,inc death,Overall,2,0.09809619411714962
ILM-EKF,inc death,Overall,2,0.12228429677617282
RobertWalraven-ESG,inc death,Overall,2,0.11020683536618045
UMass-MechBayes,inc death,Overall,2,0.1821786462175636
UMass-SemiMech,inc death,Overall,2,0.13948052601032213
