model,target_variable,location,horizon,weight
IEM_Health-CovidProject,inc case,Overall,1,0.0872972229074204
ILM-EKF,inc case,Overall,1,0.10883809609236829
LANL-GrowthRate,inc case,Overall,1,0.09976825475133759
MUNI-ARIMA,inc case,Overall,1,0.19953650950267518
RobertWalraven-ESG,inc case,Overall,1,0.13302433966845012
UMass-SemiMech,inc case,Overall,1,0.08551564692971794
USC-SIkJalpha,inc case,Overall,1,0.07906163584068261
epiforecasts-EpiExpert,inc case,Overall,1,0.10220162681844339
epiforecasts-EpiNow2,inc case,Overall,1,0.10475666748890447
IEM_Health-CovidProject,inc case,Overall,2,0.0882310968575528
ILM-EKF,inc case,Overall,2,0.10923850087125585
MUNI-ARIMA,inc case,Overall,2,0.20391186829301092
RobertWalraven-ESG,inc case,Overall,2,0.1764621937151056
UMass-SemiMech,inc case,Overall,2,0.10795334203747638
USC-SIkJalpha,inc case,Overall,2,0.09866703304500528
epiforecasts-EpiExpert,inc case,Overall,2,0.10083553926577463
epiforecasts-EpiNow2,inc case,Overall,2,0.11470042591481865
IEM_Health-CovidProject,inc case,Overall,3,0.0775716059086448
ILM-EKF,inc case,Overall,3,0.09463735920854666
MUNI-ARIMA,inc case,Overall,3,0.20573338958379708
RobertWalraven-ESG,inc case,Overall,3,0.18556344942852285
UMass-SemiMech,inc case,Overall,3,0.11133806965711372
USC-SIkJalpha,inc case,Overall,3,0.10877857380292719
epiforecasts-EpiExpert,inc case,Overall,3,0.10633411147027715
epiforecasts-EpiNow2,inc case,Overall,3,0.11004344094017054
IEM_Health-CovidProject,inc case,Overall,4,0.07122980422931616
ILM-EKF,inc case,Overall,4,0.0813253670334712
MUNI-ARIMA,inc case,Overall,4,0.20656643226501684
RobertWalraven-ESG,inc case,Overall,4,0.19487399270284606
UMass-SemiMech,inc case,Overall,4,0.10647754240464787
USC-SIkJalpha,inc case,Overall,4,0.11604855745225666
epiforecasts-EpiExpert,inc case,Overall,4,0.11475912903612048
epiforecasts-EpiNow2,inc case,Overall,4,0.10871917487632465
IEM_Health-CovidProject,inc death,Overall,1,0.08700195905013006
ILM-EKF,inc death,Overall,1,0.09344654860939895
LANL-GrowthRate,inc death,Overall,1,0.10512736718557382
MUNI-ARIMA,inc death,Overall,1,0.15769105077836074
RobertWalraven-ESG,inc death,Overall,1,0.09581228401723182
UMass-MechBayes,inc death,Overall,1,0.11826828808377055
UMass-SemiMech,inc death,Overall,1,0.09581228401723182
USC-SIkJalpha,inc death,Overall,1,0.0831776971138606
epiforecasts-EpiExpert,inc death,Overall,1,0.08138892943399263
epiforecasts-EpiNow2,inc death,Overall,1,0.08227359171044907
IEM_Health-CovidProject,inc death,Overall,2,0.08271417975196942
ILM-EKF,inc death,Overall,2,0.10309303563288942
MUNI-ARIMA,inc death,Overall,2,0.1616686240606675
RobertWalraven-ESG,inc death,Overall,2,0.09119768536755601
UMass-MechBayes,inc death,Overall,2,0.1546395534493341
UMass-SemiMech,inc death,Overall,2,0.12479683260823456
USC-SIkJalpha,inc death,Overall,2,0.10943722244106721
epiforecasts-EpiExpert,inc death,Overall,2,0.08570384889963097
epiforecasts-EpiNow2,inc death,Overall,2,0.08674901778865084
IEM_Health-CovidProject,inc death,Overall,3,0.07285361818331547
ILM-EKF,inc death,Overall,3,0.09856665989507386
MUNI-ARIMA,inc death,Overall,3,0.1763824440227638
RobertWalraven-ESG,inc death,Overall,3,0.0837816609108128
UMass-MechBayes,inc death,Overall,3,0.15587285750848892
UMass-SemiMech,inc death,Overall,3,0.12889486293971197
USC-SIkJalpha,inc death,Overall,3,0.10810536891717781
epiforecasts-EpiExpert,inc death,Overall,3,0.09575046961235749
epiforecasts-EpiNow2,inc death,Overall,3,0.0797920580102979
IEM_Health-CovidProject,inc death,Overall,4,0.06743893314892158
ILM-EKF,inc death,Overall,4,0.08510151087840104
MUNI-ARIMA,inc death,Overall,4,0.18329556189194068
RobertWalraven-ESG,inc death,Overall,4,0.0893565864223211
UMass-MechBayes,inc death,Overall,4,0.15209631731458909
UMass-SemiMech,inc death,Overall,4,0.12116147311501166
USC-SIkJalpha,inc death,Overall,4,0.11914211522976145
epiforecasts-EpiExpert,inc death,Overall,4,0.0992850960248012
epiforecasts-EpiNow2,inc death,Overall,4,0.08312240597425218
IEM_Health-CovidProject,inc case,AT,1,0.0867524491905557
ILM-EKF,inc case,AT,1,0.08919618015366997
LANL-GrowthRate,inc case,AT,1,0.1217870921328955
MUNI-ARIMA,inc case,AT,1,0.2345529181818728
RobertWalraven-ESG,inc case,AT,1,0.1979040247159552
UMass-SemiMech,inc case,AT,1,0.07916160988638209
USC-SIkJalpha,inc case,AT,1,0.07115650326865805
epiforecasts-EpiNow2,inc case,AT,1,0.11948922247001068
IEM_Health-CovidProject,inc case,AT,2,0.07626631659077748
ILM-EKF,inc case,AT,2,0.08419008974306605
MUNI-ARIMA,inc case,AT,2,0.22353920380055473
RobertWalraven-ESG,inc case,AT,2,0.3411914163271625
UMass-SemiMech,inc case,AT,2,0.08880324534542583
USC-SIkJalpha,inc case,AT,2,0.08311072961815495
epiforecasts-EpiNow2,inc case,AT,2,0.10289899857485851
IEM_Health-CovidProject,inc case,AT,3,0.05494110609176187
ILM-EKF,inc case,AT,3,0.06330170919268216
MUNI-ARIMA,inc case,AT,3,0.26471623844212544
RobertWalraven-ESG,inc case,AT,3,0.3882504830484506
UMass-SemiMech,inc case,AT,3,0.08088551730176054
USC-SIkJalpha,inc case,AT,3,0.06470841384140844
epiforecasts-EpiNow2,inc case,AT,3,0.08319653208181085
IEM_Health-CovidProject,inc case,AT,4,0.04465976127230324
ILM-EKF,inc case,AT,4,0.05177370554576748
MUNI-ARIMA,inc case,AT,4,0.23401714906686902
RobertWalraven-ESG,inc case,AT,4,0.45003297897474803
UMass-SemiMech,inc case,AT,4,0.07905984765772602
USC-SIkJalpha,inc case,AT,4,0.06031369821311058
epiforecasts-EpiNow2,inc case,AT,4,0.08014285926947569
IEM_Health-CovidProject,inc death,AT,1,0.09240619562996102
ILM-EKF,inc death,AT,1,0.07056473120833387
LANL-GrowthRate,inc death,AT,1,0.08624578258796363
MUNI-ARIMA,inc death,AT,1,0.1158525437748765
RobertWalraven-ESG,inc death,AT,1,0.12128313176432384
UMass-MechBayes,inc death,AT,1,0.1651514985726963
UMass-SemiMech,inc death,AT,1,0.16874174854166796
USC-SIkJalpha,inc death,AT,1,0.07762120432916726
epiforecasts-EpiNow2,inc death,AT,1,0.10213316359100956
IEM_Health-CovidProject,inc death,AT,2,0.08942124459076499
ILM-EKF,inc death,AT,2,0.09383710852117312
MUNI-ARIMA,inc death,AT,2,0.11344486254052273
RobertWalraven-ESG,inc death,AT,2,0.11344486254052273
UMass-MechBayes,inc death,AT,2,0.23032744818833406
UMass-SemiMech,inc death,AT,2,0.1652349084829353
USC-SIkJalpha,inc death,AT,2,0.09157597337608463
epiforecasts-EpiNow2,inc death,AT,2,0.10271359175966248
IEM_Health-CovidProject,inc death,AT,3,0.0763008335947062
ILM-EKF,inc death,AT,3,0.09584129097871633
MUNI-ARIMA,inc death,AT,3,0.16038746653581099
RobertWalraven-ESG,inc death,AT,3,0.12474580730563077
UMass-MechBayes,inc death,AT,3,0.2245424531501354
UMass-SemiMech,inc death,AT,3,0.12883583377466784
USC-SIkJalpha,inc death,AT,3,0.08019373326790549
epiforecasts-EpiNow2,inc death,AT,3,0.10915258139242692
IEM_Health-CovidProject,inc death,AT,4,0.06975865663749808
ILM-EKF,inc death,AT,4,0.09045628003543706
MUNI-ARIMA,inc death,AT,4,0.16463042966449545
RobertWalraven-ESG,inc death,AT,4,0.11593692229894048
UMass-MechBayes,inc death,AT,4,0.23518632809213638
UMass-SemiMech,inc death,AT,4,0.12861752317538708
USC-SIkJalpha,inc death,AT,4,0.08851098369058895
epiforecasts-EpiNow2,inc death,AT,4,0.10690287640551653
IEM_Health-CovidProject,inc case,BE,1,0.12327533159601903
ILM-EKF,inc case,BE,1,0.12778540470319044
LANL-GrowthRate,inc case,BE,1,0.15409416449502378
MUNI-ARIMA,inc case,BE,1,0.13787372612712656
RobertWalraven-ESG,inc case,BE,1,0.13608315825534567
UMass-SemiMech,inc case,BE,1,0.10272944299668252
USC-SIkJalpha,inc case,BE,1,0.10173206976370502
epiforecasts-EpiNow2,inc case,BE,1,0.11642670206290687
IEM_Health-CovidProject,inc case,BE,2,0.12037636720950506
ILM-EKF,inc case,BE,2,0.12152280880197654
MUNI-ARIMA,inc case,BE,2,0.17971682991841603
RobertWalraven-ESG,inc case,BE,2,0.1876455135912873
UMass-SemiMech,inc case,BE,2,0.13574356302348445
USC-SIkJalpha,inc case,BE,2,0.13574356302348445
epiforecasts-EpiNow2,inc case,BE,2,0.11925135443184615
IEM_Health-CovidProject,inc case,BE,3,0.10297780174662717
ILM-EKF,inc case,BE,3,0.10843874577864526
MUNI-ARIMA,inc case,BE,3,0.1626581186679679
RobertWalraven-ESG,inc case,BE,3,0.22021406835047957
UMass-SemiMech,inc case,BE,3,0.13632299469315404
USC-SIkJalpha,inc case,BE,3,0.14910327544563726
epiforecasts-EpiNow2,inc case,BE,3,0.12028499531748886
IEM_Health-CovidProject,inc case,BE,4,0.09023087713474547
ILM-EKF,inc case,BE,4,0.09563392366976017
MUNI-ARIMA,inc case,BE,4,0.14652169956743072
RobertWalraven-ESG,inc case,BE,4,0.23486566548308746
UMass-SemiMech,inc case,BE,4,0.13534631570211822
USC-SIkJalpha,inc case,BE,4,0.17359636144402116
epiforecasts-EpiNow2,inc case,BE,4,0.1238051569988368
IEM_Health-CovidProject,inc death,BE,1,0.10499574320894484
ILM-EKF,inc death,BE,1,0.08787687203357339
LANL-GrowthRate,inc death,BE,1,0.09400781659405527
MUNI-ARIMA,inc death,BE,1,0.113868622916743
RobertWalraven-ESG,inc death,BE,1,0.12632300354826176
UMass-MechBayes,inc death,BE,1,0.16499331075691331
UMass-SemiMech,inc death,BE,1,0.12437957272444233
USC-SIkJalpha,inc death,BE,1,0.10105840283860941
epiforecasts-EpiNow2,inc death,BE,1,0.08249665537845666
IEM_Health-CovidProject,inc death,BE,2,0.11598543365122407
ILM-EKF,inc death,BE,2,0.1245137743608729
MUNI-ARIMA,inc death,BE,2,0.13656349446031224
RobertWalraven-ESG,inc death,BE,2,0.15679512326924736
UMass-MechBayes,inc death,BE,2,0.18406384035955126
UMass-SemiMech,inc death,BE,2,0.16282570493344917
USC-SIkJalpha,inc death,BE,2,0.11925262896534308
IEM_Health-CovidProject,inc death,BE,3,0.10305632898692937
ILM-EKF,inc death,BE,3,0.11799202884010757
MUNI-ARIMA,inc death,BE,3,0.18092111088816493
RobertWalraven-ESG,inc death,BE,3,0.15656634596091193
UMass-MechBayes,inc death,BE,3,0.1938440473801767
UMass-SemiMech,inc death,BE,3,0.13131370951560356
USC-SIkJalpha,inc death,BE,3,0.11630642842810601
IEM_Health-CovidProject,inc death,BE,4,0.0839709698723453
ILM-EKF,inc death,BE,4,0.09446734110638846
MUNI-ARIMA,inc death,BE,4,0.17175880201161542
RobertWalraven-ESG,inc death,BE,4,0.16079547422363993
UMass-MechBayes,inc death,BE,4,0.25191290961703594
UMass-SemiMech,inc death,BE,4,0.12595645480851797
USC-SIkJalpha,inc death,BE,4,0.11113804836045701
IEM_Health-CovidProject,inc case,BG,1,0.05536261941178448
ILM-EKF,inc case,BG,1,0.08060146061421564
LANL-GrowthRate,inc case,BG,1,0.07211709633903504
MUNI-ARIMA,inc case,BG,1,0.23829997051159404
RobertWalraven-ESG,inc case,BG,1,0.32240584245686255
UMass-SemiMech,inc case,BG,1,0.08563905190260411
USC-SIkJalpha,inc case,BG,1,0.042160764013589716
epiforecasts-EpiNow2,inc case,BG,1,0.1034131947503144
IEM_Health-CovidProject,inc case,BG,2,0.038592496287599136
ILM-EKF,inc case,BG,2,0.046765024913208365
MUNI-ARIMA,inc case,BG,2,0.2839305084016222
RobertWalraven-ESG,inc case,BG,2,0.44166967973585675
UMass-SemiMech,inc case,BG,2,0.0811230024004635
USC-SIkJalpha,inc case,BG,2,0.046765024913208365
epiforecasts-EpiNow2,inc case,BG,2,0.0611542633480417
IEM_Health-CovidProject,inc case,BG,3,0.027450536898630504
ILM-EKF,inc case,BG,3,0.02885825673958592
MUNI-ARIMA,inc case,BG,3,0.3069469125937775
RobertWalraven-ESG,inc case,BG,3,0.4823451483616503
UMass-SemiMech,inc case,BG,3,0.06752832077063105
USC-SIkJalpha,inc case,BG,3,0.04893356577581961
epiforecasts-EpiNow2,inc case,BG,3,0.037937258859905086
IEM_Health-CovidProject,inc case,BG,4,0.019187959254431796
ILM-EKF,inc case,BG,4,0.018368960993571902
MUNI-ARIMA,inc case,BG,4,0.33472328921619915
RobertWalraven-ESG,inc case,BG,4,0.5020849338242988
UMass-SemiMech,inc case,BG,4,0.052851045665715655
USC-SIkJalpha,inc case,BG,4,0.04564408489311807
epiforecasts-EpiNow2,inc case,BG,4,0.027139726152664793
IEM_Health-CovidProject,inc death,BG,1,0.07104288037213677
ILM-EKF,inc death,BG,1,0.09387809192032359
LANL-GrowthRate,inc death,BG,1,0.07234641946153376
MUNI-ARIMA,inc death,BG,1,0.18338976096063214
RobertWalraven-ESG,inc death,BG,1,0.10109948360650232
UMass-MechBayes,inc death,BG,1,0.16778212172994003
UMass-SemiMech,inc death,BG,1,0.14603258743161446
USC-SIkJalpha,inc death,BG,1,0.08860404181244025
epiforecasts-EpiNow2,inc death,BG,1,0.07582461270487674
IEM_Health-CovidProject,inc death,BG,2,0.06420387604367711
ILM-EKF,inc death,BG,2,0.08560516805823615
MUNI-ARIMA,inc death,BG,2,0.1575913321072075
RobertWalraven-ESG,inc death,BG,2,0.12382176094137728
UMass-MechBayes,inc death,BG,2,0.2391040900936941
UMass-SemiMech,inc death,BG,2,0.1612562468073751
USC-SIkJalpha,inc death,BG,2,0.0976622339819314
epiforecasts-EpiNow2,inc death,BG,2,0.07075529196650131
IEM_Health-CovidProject,inc death,BG,3,0.057443353258958094
ILM-EKF,inc death,BG,3,0.06720872331298096
MUNI-ARIMA,inc death,BG,3,0.17686506134994992
RobertWalraven-ESG,inc death,BG,3,0.14610592024561078
UMass-MechBayes,inc death,BG,3,0.2400311546892177
UMass-SemiMech,inc death,BG,3,0.13178181041760972
USC-SIkJalpha,inc death,BG,3,0.12001557734460885
epiforecasts-EpiNow2,inc death,BG,3,0.060548399381063926
IEM_Health-CovidProject,inc death,BG,4,0.049356878856669825
ILM-EKF,inc death,BG,4,0.05433082788873732
MUNI-ARIMA,inc death,BG,4,0.22608634831119725
RobertWalraven-ESG,inc death,BG,4,0.12979031106753913
UMass-MechBayes,inc death,BG,4,0.2695644922171967
UMass-SemiMech,inc death,BG,4,0.12515494281512704
USC-SIkJalpha,inc death,BG,4,0.0960092712006454
epiforecasts-EpiNow2,inc death,BG,4,0.04970692764288734
IEM_Health-CovidProject,inc case,CH,1,0.11416774071717109
ILM-EKF,inc case,CH,1,0.15593642634540442
LANL-GrowthRate,inc case,CH,1,0.10229429568258532
MUNI-ARIMA,inc case,CH,1,0.041381187573861375
RobertWalraven-ESG,inc case,CH,1,0.29736713861216657
UMass-SemiMech,inc case,CH,1,0.07391206335446915
USC-SIkJalpha,inc case,CH,1,0.12294987461849194
epiforecasts-EpiNow2,inc case,CH,1,0.0919912730958501
IEM_Health-CovidProject,inc case,CH,2,0.10024440930780651
ILM-EKF,inc case,CH,2,0.13404775663253193
MUNI-ARIMA,inc case,CH,2,0.03855554204146404
RobertWalraven-ESG,inc case,CH,2,0.41171810965706235
UMass-SemiMech,inc case,CH,2,0.10385682045403374
USC-SIkJalpha,inc case,CH,2,0.12008444864997654
epiforecasts-EpiNow2,inc case,CH,2,0.09149291325712497
IEM_Health-CovidProject,inc case,CH,3,0.09220757457523791
ILM-EKF,inc case,CH,3,0.11341531672754263
MUNI-ARIMA,inc case,CH,3,0.0376795072184527
RobertWalraven-ESG,inc case,CH,3,0.5155241669433757
UMass-SemiMech,inc case,CH,3,0.11229239279954716
USC-SIkJalpha,inc case,CH,3,0.12888104173584392
IEM_Health-CovidProject,inc case,CH,4,0.07428732567330817
ILM-EKF,inc case,CH,4,0.08595227763853838
MUNI-ARIMA,inc case,CH,4,0.03513589727791602
RobertWalraven-ESG,inc case,CH,4,0.5777903107923968
UMass-SemiMech,inc case,CH,4,0.10000216917560714
USC-SIkJalpha,inc case,CH,4,0.12683201944223346
IEM_Health-CovidProject,inc death,CH,1,0.12196944514346882
ILM-EKF,inc death,CH,1,0.09609713859788453
LANL-GrowthRate,inc death,CH,1,0.10014333390726914
MUNI-ARIMA,inc death,CH,1,0.13032351672863793
RobertWalraven-ESG,inc death,CH,1,0.16690555651211525
UMass-MechBayes,inc death,CH,1,0.08062387051856415
UMass-SemiMech,inc death,CH,1,0.09147708385760162
USC-SIkJalpha,inc death,CH,1,0.12517916738408644
epiforecasts-EpiNow2,inc death,CH,1,0.08728088735037218
IEM_Health-CovidProject,inc death,CH,2,0.1309943567351372
ILM-EKF,inc death,CH,2,0.10751423618827298
MUNI-ARIMA,inc death,CH,2,0.17009714979040202
RobertWalraven-ESG,inc death,CH,2,0.21916363530686417
UMass-MechBayes,inc death,CH,2,0.1309943567351372
UMass-SemiMech,inc death,CH,2,0.11173048074467586
USC-SIkJalpha,inc death,CH,2,0.12950578449951067
IEM_Health-CovidProject,inc death,CH,3,0.10011382900116071
ILM-EKF,inc death,CH,3,0.09350253840674441
MUNI-ARIMA,inc death,CH,3,0.15248106263253705
RobertWalraven-ESG,inc death,CH,3,0.2252561152526116
UMass-MechBayes,inc death,CH,3,0.14575395692816043
UMass-SemiMech,inc death,CH,3,0.1304114351462488
USC-SIkJalpha,inc death,CH,3,0.15248106263253705
IEM_Health-CovidProject,inc death,CH,4,0.10871127206202694
ILM-EKF,inc death,CH,4,0.09318109033888024
MUNI-ARIMA,inc death,CH,4,0.14216089423495828
RobertWalraven-ESG,inc death,CH,4,0.22629693368013773
