model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.41,NA,0.77,1,NA,129,29,NA
DSMPG-bayes,inc case,2,Overall,0.99,0.77,0.52,0.95,0.23,204,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.29,0.86,0.38,315,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.78,0.67,0.5,0.91,0.32,315,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.18,1.11,0.31,0.75,0.47,315,32,NA
ILM-EKF,inc case,2,Overall,1.02,0.81,0.44,0.92,0.27,314,32,NA
LANL-GrowthRate,inc case,2,Overall,0.68,0.64,0.64,0.95,-0.04,315,32,NA
MUNI-ARIMA,inc case,2,Overall,0.46,0.78,0.59,0.92,0.3,123,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.79,0.81,0.35,0.68,0.21,315,32,NA
UMass-SemiMech,inc case,2,Overall,0.92,0.99,0.44,0.89,0.28,279,32,NA
USC-SIkJalpha,inc case,2,Overall,0.8,0.87,0.39,0.51,0.33,315,32,NA
UVA-Ensemble,inc case,2,Overall,1.53,NA,0.35,0.58,NA,315,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.92,0.83,0.27,0.67,0.46,115,28,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.61,0.84,0.3,0.57,0.56,37,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.94,0.86,0.45,0.88,0.14,313,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.43,NA,0.72,0.99,NA,158,30,NA
DSMPG-bayes,inc case,1,Overall,0.92,0.7,0.52,0.93,0.25,182,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.22,0.94,0.4,315,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.73,0.63,0.63,0.97,0.22,315,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.12,0.98,0.44,0.89,0.36,315,32,NA
ILM-EKF,inc case,1,Overall,0.91,0.71,0.5,0.94,0.22,314,32,NA
MUNI-ARIMA,inc case,1,Overall,0.42,0.68,0.55,0.89,0.24,155,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.88,0.96,0.34,0.73,0.21,315,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.8,NA,NA,NA,NA,315,32,NA
UMass-SemiMech,inc case,1,Overall,1.07,1.19,0.54,0.93,0.2,311,32,NA
USC-SIkJalpha,inc case,1,Overall,0.92,0.98,0.45,0.51,0.32,315,32,NA
UVA-Ensemble,inc case,1,Overall,1.78,NA,0.4,0.71,NA,315,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.9,0.79,0.32,0.79,0.34,103,24,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.58,0.8,0.32,0.66,0.44,41,17,NA
