model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
DSMPG-bayes,inc case,2,Overall,1.02,0.9,0.49,0.95,0.22,189,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.26,0.84,0.19,317,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.82,0.72,0.51,0.93,0.2,317,32,NA
IEM_Health-CovidProject,inc case,2,Overall,1.19,1.1,0.33,0.8,0.3,317,32,NA
ILM-EKF,inc case,2,Overall,1.05,0.92,0.44,0.93,0.17,317,32,NA
LANL-GrowthRate,inc case,2,Overall,0.74,0.7,0.57,0.94,-0.1,317,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.88,NA,0.33,0.67,NA,317,32,NA
UMass-SemiMech,inc case,2,Overall,0.92,0.95,0.49,0.92,0.22,218,32,NA
USC-SIkJalpha,inc case,2,Overall,0.87,0.95,0.42,0.59,0.15,317,32,NA
UVA-Ensemble,inc case,2,Overall,1.53,NA,0.25,0.49,NA,289,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.88,0.9,0.28,0.73,0.24,165,32,NA
epiforecasts-EpiExpert_Rt,inc case,2,Overall,0.59,0.77,0.36,0.78,0.33,55,19,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.96,0.9,0.46,0.87,0.14,316,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.38,NA,0.78,1,NA,104,29,NA
DSMPG-bayes,inc case,1,Overall,0.9,0.74,0.5,0.92,0.27,210,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.19,0.92,0.26,318,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.75,0.67,0.66,0.97,0.16,318,32,NA
IEM_Health-CovidProject,inc case,1,Overall,1.19,1.04,0.44,0.92,0.3,318,32,NA
ILM-EKF,inc case,1,Overall,0.95,0.82,0.5,0.93,0.16,318,32,NA
LANL-GrowthRate,inc case,1,Overall,0.93,0.85,0.67,0.95,-0.23,318,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.93,0.89,0.33,0.74,0.17,318,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.84,NA,NA,NA,NA,254,32,NA
UMass-SemiMech,inc case,1,Overall,1.03,1.08,0.58,0.94,0.15,250,32,NA
USC-SIkJalpha,inc case,1,Overall,0.98,1.04,0.5,0.61,0.18,318,32,NA
UVA-Ensemble,inc case,1,Overall,1.73,NA,0.31,0.64,NA,318,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.84,0.82,0.34,0.8,0.25,139,32,NA
epiforecasts-EpiNow2,inc case,1,Overall,1.01,0.84,0.56,0.89,0.12,317,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.28,0.8,0.22,285,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.95,0.89,0.44,0.89,0.28,285,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.43,1.4,0.33,0.75,0.35,285,32,NA
ILM-EKF,inc case,3,Overall,1.32,1.25,0.44,0.88,0.22,285,32,NA
LANL-GrowthRate,inc case,3,Overall,0.76,0.74,0.52,0.88,0.03,285,32,NA
RobertWalraven-ESG,inc case,3,Overall,0.93,NA,0.31,0.62,NA,285,32,NA
