model,target_variable,horizon,location,rel_ae,rel_wis,cov_50,cov_95,bias,n,n_loc,location_name
BIOCOMSC-Gompertz,inc case,2,Overall,0.37,NA,0.73,0.98,NA,185,31,NA
DSMPG-bayes,inc case,2,Overall,0.77,0.6,0.55,0.97,0.18,163,25,NA
EuroCOVIDhub-baseline,inc case,2,Overall,1,1,0.31,0.89,0.46,312,32,NA
EuroCOVIDhub-ensemble,inc case,2,Overall,0.57,0.55,0.51,0.92,0.34,312,32,NA
IEM_Health-CovidProject,inc case,2,Overall,0.89,0.9,0.34,0.75,0.47,311,32,NA
ILM-EKF,inc case,2,Overall,0.66,0.59,0.47,0.95,0.26,311,32,NA
MUNI-ARIMA,inc case,2,Overall,0.47,0.72,0.59,0.92,0.27,184,32,NA
RobertWalraven-ESG,inc case,2,Overall,0.69,0.86,0.38,0.72,0.23,312,32,NA
UMass-SemiMech,inc case,2,Overall,0.8,0.89,0.4,0.88,0.32,312,32,NA
USC-SIkJalpha,inc case,2,Overall,0.72,0.84,0.36,0.41,0.4,312,32,NA
UVA-Ensemble,inc case,2,Overall,1.55,NA,0.47,0.68,NA,312,32,NA
epiforecasts-EpiExpert,inc case,2,Overall,0.78,0.71,0.28,0.72,0.42,100,24,NA
epiforecasts-EpiExpert_direct,inc case,2,Overall,0.55,0.7,0.29,0.58,0.56,45,17,NA
epiforecasts-EpiNow2,inc case,2,Overall,0.71,0.71,0.45,0.87,0.1,310,32,NA
EuroCOVIDhub-baseline,inc case,4,Overall,1,1,0.29,0.8,0.49,312,32,NA
EuroCOVIDhub-ensemble,inc case,4,Overall,0.96,0.87,0.33,0.77,0.5,312,32,NA
IEM_Health-CovidProject,inc case,4,Overall,1.5,1.42,0.23,0.56,0.61,312,32,NA
ILM-EKF,inc case,4,Overall,1.31,1.07,0.43,0.86,0.38,311,32,NA
LANL-GrowthRate,inc case,4,Overall,0.71,0.67,0.42,0.86,0.34,312,32,NA
RobertWalraven-ESG,inc case,4,Overall,0.69,0.78,0.38,0.67,0.26,312,32,NA
UMass-SemiMech,inc case,4,Overall,0.87,1.04,0.33,0.8,0.41,276,32,NA
USC-SIkJalpha,inc case,4,Overall,0.74,0.83,0.29,0.39,0.4,312,32,NA
UVA-Ensemble,inc case,4,Overall,1.25,NA,0.25,0.48,NA,248,32,NA
epiforecasts-EpiExpert,inc case,4,Overall,0.79,0.76,0.23,0.62,0.53,113,27,NA
epiforecasts-EpiExpert_direct,inc case,4,Overall,0.58,0.86,0.22,0.38,0.51,37,17,NA
epiforecasts-EpiNow2,inc case,4,Overall,0.94,0.86,0.4,0.82,0.19,310,32,NA
EuroCOVIDhub-baseline,inc case,3,Overall,1,1,0.3,0.83,0.47,312,32,NA
EuroCOVIDhub-ensemble,inc case,3,Overall,0.75,0.68,0.42,0.86,0.43,312,32,NA
IEM_Health-CovidProject,inc case,3,Overall,1.18,1.12,0.3,0.65,0.55,312,32,NA
ILM-EKF,inc case,3,Overall,0.97,0.78,0.45,0.9,0.32,312,32,NA
MUNI-ARIMA,inc case,3,Overall,0.49,0.84,0.61,0.92,0.28,122,31,NA
RobertWalraven-ESG,inc case,3,Overall,0.73,0.83,0.35,0.65,0.24,312,32,NA
UMass-SemiMech,inc case,3,Overall,0.84,0.9,0.38,0.79,0.36,308,32,NA
USC-SIkJalpha,inc case,3,Overall,0.72,0.79,0.34,0.42,0.38,312,32,NA
UVA-Ensemble,inc case,3,Overall,1.27,NA,0.35,0.6,NA,280,32,NA
epiforecasts-EpiExpert,inc case,3,Overall,0.77,0.7,0.24,0.68,0.44,100,24,NA
epiforecasts-EpiExpert_direct,inc case,3,Overall,0.6,0.77,0.17,0.42,0.5,40,17,NA
epiforecasts-EpiNow2,inc case,3,Overall,0.82,0.76,0.41,0.85,0.12,310,32,NA
BIOCOMSC-Gompertz,inc case,1,Overall,0.41,NA,0.72,0.98,NA,213,31,NA
DSMPG-bayes,inc case,1,Overall,0.7,0.5,0.57,0.96,0.18,144,25,NA
EuroCOVIDhub-baseline,inc case,1,Overall,1,1,0.25,0.96,0.44,311,32,NA
EuroCOVIDhub-ensemble,inc case,1,Overall,0.55,0.52,0.61,0.96,0.25,311,32,NA
IEM_Health-CovidProject,inc case,1,Overall,0.88,0.8,0.44,0.85,0.39,309,32,NA
ILM-EKF,inc case,1,Overall,0.66,0.57,0.55,0.95,0.2,310,32,NA
MUNI-ARIMA,inc case,1,Overall,0.43,0.59,0.55,0.92,0.23,215,32,NA
RobertWalraven-ESG,inc case,1,Overall,0.78,1.01,0.4,0.77,0.23,311,32,NA
SDSC_ISG-TrendModel,inc case,1,Overall,0.61,NA,NA,NA,NA,311,32,NA
UMass-SemiMech,inc case,1,Overall,0.94,1.05,0.53,0.92,0.24,311,32,NA
USC-SIkJalpha,inc case,1,Overall,0.84,0.95,0.36,0.39,0.42,311,32,NA
UVA-Ensemble,inc case,1,Overall,1.92,NA,0.47,0.79,NA,311,32,NA
epiforecasts-EpiExpert,inc case,1,Overall,0.82,0.72,0.37,0.84,0.32,98,24,NA
epiforecasts-EpiExpert_Rt,inc case,1,Overall,0.7,0.65,0.57,0.93,0.13,69,19,NA
epiforecasts-EpiExpert_direct,inc case,1,Overall,0.58,0.7,0.32,0.66,0.48,50,17,NA
epiforecasts-EpiNow2,inc case,1,Overall,0.86,0.79,0.55,0.87,0.09,310,32,NA
LANL-GrowthRate,inc case,5,Overall,NA,NA,0.31,0.8,0.42,314,32,NA
USC-SIkJalpha,inc case,5,Overall,NA,NA,0.29,0.41,0.36,314,32,NA
EuroCOVIDhub-baseline,inc death,4,Overall,1,1,0.55,0.84,0.34,315,32,NA
EuroCOVIDhub-ensemble,inc death,4,Overall,0.55,0.49,0.51,0.9,0.44,315,32,NA
IEM_Health-CovidProject,inc death,4,Overall,1.25,1.13,0.35,0.78,0.45,315,32,NA
ILM-EKF,inc death,4,Overall,0.89,0.76,0.57,0.96,0.34,314,32,NA
