model,continuous_weeks,target_variable,horizon,location,relative_skill,inv_skill,skill_weight
IEM_Health-CovidProject,11,inc case,1,AT,1.1455512431841346,0.8729421804130164,0.10282973594430839
ILM-EKF,11,inc case,1,AT,1.0205823890911003,0.9798327020815729,0.11542109006231721
LANL-GrowthRate,11,inc case,1,AT,0.6342974637264297,1.5765473727817025,0.18571212811612955
RobertWalraven-ESG,11,inc case,1,AT,0.9374865328418972,1.0666819895199982,0.12565165228583036
USC-SIkJalpha,11,inc case,1,AT,1.4052569014481429,0.7116136551042601,0.08382576290919266
epiforecasts-EpiNow2,11,inc case,1,AT,0.7172366141133671,1.3942400322607331,0.16423691921098674
IEM_Health-CovidProject,11,inc case,2,AT,1.2977009740312324,0.7705935496785198,0.09069820722006043
ILM-EKF,11,inc case,2,AT,1.0779975988506183,0.9276458510354931,0.10918312988623728
LANL-GrowthRate,11,inc case,2,AT,0.6557335096891537,1.5250097565915819,0.1794923549174016
RobertWalraven-ESG,11,inc case,2,AT,0.7627259237517642,1.3110869433690033,0.15431382123923348
USC-SIkJalpha,11,inc case,2,AT,1.241492170888243,0.8054823247773976,0.09480458645836605
epiforecasts-EpiNow2,11,inc case,2,AT,0.879175094572894,1.1374298546136627,0.1338745291795801
IEM_Health-CovidProject,11,inc case,3,AT,1.3415810999451272,0.7453891531722544,0.10099818307884335
ILM-EKF,11,inc case,3,AT,1.1609305994028132,0.8613779329396637,0.11671434417963854
LANL-GrowthRate,11,inc case,3,AT,0.7958294348438704,1.2565506579889003,0.17025916310064165
Priesemann-bayes,5,inc case,1,AT,0.9931444397658672,1.0069028833668434,0.11860986894823598
RobertWalraven-ESG,11,inc case,3,AT,0.6603146759171737,1.5144294629087338,0.20520103291535813
USC-SIkJalpha,11,inc case,3,AT,1.195259429950622,0.8366384526590277,0.11336221254742294
epiforecasts-EpiNow2,11,inc case,3,AT,0.8616649239413644,1.160543933279625,0.15725051558045605
IEM_Health-CovidProject,11,inc case,4,AT,1.499416227340517,0.6669262221962736,0.0893618364524214
ILM-EKF,11,inc case,4,AT,1.2900935154891071,0.7751376066880505,0.10386114345432607
LANL-GrowthRate,11,inc case,4,AT,0.8401488140838966,1.1902653235193887,0.15948435019552357
Priesemann-bayes,5,inc case,2,AT,0.891565104016007,1.1216230822578788,0.132014085479781
RobertWalraven-ESG,11,inc case,4,AT,0.6196470714021528,1.6138218772456636,0.21623694174574692
UMass-SemiMech,8,inc case,1,AT,1.135796965753557,0.8804390486609014,0.10371284252299902
USC-SIkJalpha,11,inc case,4,AT,1.1452217529194222,0.8731933334751807,0.11699968791209084
epiforecasts-EpiNow2,11,inc case,4,AT,0.820187998910484,1.2192326653503507,0.16336570135103115
LANL-GrowthRate,11,inc case,5,AT,0.7978291306067002,1.2534012129132979,0.6110484943209296
UMass-SemiMech,8,inc case,2,AT,1.114371785059744,0.8973665821468978,0.10561928561934009
USC-SIkJalpha,11,inc case,5,AT,1.253401212913298,0.7978291306067001,0.38895150567907044
UMass-SemiMech,8,inc case,3,AT,0.9947340790124838,1.0052937977079703,0.13621454859763937
UMass-SemiMech,8,inc case,4,AT,0.8891783552264306,1.1246337634313517,0.15069033888886002
IEM_Health-CovidProject,11,inc death,1,AT,1.0489456977088645,0.9533381968048746,0.10111898584702947
ILM-EKF,11,inc death,1,AT,1.591765761157558,0.6282331385698255,0.06663563681869278
LANL-GrowthRate,11,inc death,1,AT,0.6781538707120124,1.4745915981428706,0.15640746111138623
RobertWalraven-ESG,11,inc death,1,AT,0.8010741643382605,1.2483238687719571,0.13240762201904796
USC-SIkJalpha,11,inc death,1,AT,1.4495027871618056,0.6898917400207604,0.07317566140635842
epiforecasts-EpiNow2,11,inc death,1,AT,0.7449074482775911,1.3424486522617614,0.1423912801599462
IEM_Health-CovidProject,11,inc death,2,AT,1.2370318820558814,0.8083866022418541,0.08443839348965258
ILM-EKF,11,inc death,2,AT,1.2963184269767325,0.771415401640317,0.08057664123458058
LANL-GrowthRate,11,inc death,2,AT,0.6572571314281178,1.5214745526262379,0.15892255834382485
RobertWalraven-ESG,11,inc death,2,AT,0.8211897694694894,1.2177453217007645,0.12719713359770599
USC-SIkJalpha,11,inc death,2,AT,1.3364371100755477,0.7482581802472328,0.07815780034002152
epiforecasts-EpiNow2,11,inc death,2,AT,0.7921308979870704,1.2624176162565528,0.13186328810265013
IEM_Health-CovidProject,11,inc death,3,AT,1.398721366370651,0.7149386747374582,0.08404497348117823
ILM-EKF,11,inc death,3,AT,1.2828350880207835,0.779523423811899,0.0916372659603104
LANL-GrowthRate,11,inc death,3,AT,0.7523055460706505,1.3292471459542956,0.15626031305787938
RobertWalraven-ESG,11,inc death,3,AT,0.86840204938775,1.1515403501235753,0.1353699017949796
USC-SIkJalpha,11,inc death,3,AT,1.4717846564388857,0.679447224582154,0.07987275830732925
epiforecasts-EpiNow2,11,inc death,3,AT,0.998598190422855,1.0014037774057565,0.11772052189920354
IEM_Health-CovidProject,11,inc death,4,AT,1.6385306487960776,0.610302895911503,0.07473489537605961
ILM-EKF,11,inc death,4,AT,1.3404686763999831,0.7460077341647702,0.09135268788011754
LANL-GrowthRate,11,inc death,4,AT,0.8773900581517072,1.1397439379545518,0.1395678187489429
RobertWalraven-ESG,11,inc death,4,AT,0.9838027763857644,1.0164638929702354,0.12447150948090563
UMass-MechBayes,8,inc death,1,AT,0.6225926999304215,1.6061865166613036,0.1703655137183248
UMass-SemiMech,8,inc death,1,AT,0.6734589241908968,1.4848715550119322,0.15749783891921415
USC-SIkJalpha,11,inc death,4,AT,1.3535533118329932,0.7387961680251749,0.0904695925440955
epiforecasts-EpiNow2,11,inc death,4,AT,0.9889391779017636,1.0111845322193669,0.12382502316073282
LANL-GrowthRate,11,inc death,5,AT,0.7678330819845021,1.302366391163365,0.6291018851352697
UMass-MechBayes,8,inc death,2,AT,0.5052795665506439,1.9791023943964903,0.20672315235176003
UMass-SemiMech,8,inc death,2,AT,0.7905855926823109,1.2648851803726713,0.13212103253980426
USC-SIkJalpha,11,inc death,5,AT,1.302366391163365,0.767833081984502,0.37089811486473045
UMass-MechBayes,8,inc death,3,AT,0.5575815324488242,1.7934596858115663,0.21083105035400035
UMass-SemiMech,8,inc death,3,AT,0.946020107454109,1.0570599843709025,0.12426321514511922
UMass-MechBayes,8,inc death,4,AT,0.5296976736003566,1.8878693447962442,0.23117982711895282
UMass-SemiMech,8,inc death,4,AT,0.9843790173826265,1.015868869959163,0.12439864569019325
IEM_Health-CovidProject,11,inc case,1,BE,1.003793376144193,0.9962209591791048,0.1389731263055679
ILM-EKF,11,inc case,1,BE,0.9190965727888074,1.0880249471126935,0.15177981049836226
LANL-GrowthRate,11,inc case,1,BE,0.8479219676814784,1.179353806263986,0.16452021408175455
RobertWalraven-ESG,11,inc case,1,BE,0.7719408941764099,1.295435968665591,0.1807137109848461
USC-SIkJalpha,11,inc case,1,BE,1.1018521175161355,0.907562806390265,0.12660528707069127
epiforecasts-EpiNow2,11,inc case,1,BE,1.045162258941027,0.9567892367384314,0.1334723890517469
IEM_Health-CovidProject,11,inc case,2,BE,1.266632817188632,0.7894947820944355,0.11917625812668263
ILM-EKF,11,inc case,2,BE,1.135973827852609,0.8803019712966033,0.1328838357643795
LANL-GrowthRate,11,inc case,2,BE,0.8522607425954429,1.1733498330037324,0.1771201605664651
RobertWalraven-ESG,11,inc case,2,BE,0.7571708238843611,1.3207059337943072,0.19936394114949926
USC-SIkJalpha,11,inc case,2,BE,1.0902130357805155,0.9172519197443558,0.13846152505865816
epiforecasts-EpiNow2,11,inc case,2,BE,1.1905591012274257,0.8399415022480062,0.12679131965592697
IEM_Health-CovidProject,11,inc case,3,BE,1.5677472640004235,0.637857914322426,0.09689018752402775
ILM-EKF,11,inc case,3,BE,1.4319271218680656,0.6983595636455426,0.10608034730225477
LANL-GrowthRate,11,inc case,3,BE,0.8718680807766911,1.1469625073430425,0.17422283227064025
RobertWalraven-ESG,11,inc case,3,BE,0.6160627570784738,1.6232112532532468,0.24656469597290331
USC-SIkJalpha,11,inc case,3,BE,0.909087269643841,1.1000044037485823,0.16708992796565403
epiforecasts-EpiNow2,11,inc case,3,BE,1.3467350690225726,0.7425365411519101,0.11279080042782826
IEM_Health-CovidProject,11,inc case,4,BE,1.7634622315883275,0.5670662983801547,0.06803014915705063
ILM-EKF,11,inc case,4,BE,1.704507690163232,0.5866796646157901,0.0703831372191055
LANL-GrowthRate,11,inc case,4,BE,0.6514003837977821,1.5351541461640215,0.18417029162362583
RobertWalraven-ESG,11,inc case,4,BE,0.35006639223418373,2.856600982510285,0.3427024167676284
UMass-SemiMech,8,inc case,1,BE,1.342181974792613,0.7450554535680715,0.10393546200703097
USC-SIkJalpha,11,inc case,4,BE,0.7271302020023854,1.375269514656633,0.16498915643636786
epiforecasts-EpiNow2,11,inc case,4,BE,1.3983626852638635,0.7151220570586846,0.08579219104744766
LANL-GrowthRate,11,inc case,5,BE,0.9360952348214302,1.0682673757983185,0.532971115175617
UMass-SemiMech,8,inc case,2,BE,1.421359254300683,0.7035518972239048,0.1062029596783884
USC-SIkJalpha,11,inc case,5,BE,1.0682673757983183,0.9360952348214304,0.46702888482438304
UMass-SemiMech,8,inc case,3,BE,1.5763534798491403,0.6343754828997502,0.0963612085366916
UMass-SemiMech,8,inc case,4,BE,1.4293434982943984,0.699621890184743,0.08393265774877416
IEM_Health-CovidProject,11,inc death,1,BE,0.8866346853997573,1.1278602297733589,0.12537323817150847
ILM-EKF,11,inc death,1,BE,1.2112879001580892,0.825567563144556,0.09177030627420314
LANL-GrowthRate,11,inc death,1,BE,0.8992045571999869,1.1120940079684178,0.12362066083148389
RobertWalraven-ESG,11,inc death,1,BE,0.736489516860029,1.3577925783158862,0.15093257818206046
USC-SIkJalpha,11,inc death,1,BE,0.9427562495826812,1.060719566104874,0.1179098644352135
epiforecasts-EpiNow2,11,inc death,1,BE,0.9869821492278982,1.013189550370577,0.11262641545310956
IEM_Health-CovidProject,11,inc death,2,BE,1.1538175948868985,0.8666881181492329,0.10450474249480513
ILM-EKF,11,inc death,2,BE,1.074598287803847,0.9305803027508045,0.11220882445854112
LANL-GrowthRate,11,inc death,2,BE,1.0003209797656605,0.9996791232292902,0.12054071950773057
RobertWalraven-ESG,11,inc death,2,BE,0.7476108671181897,1.3375942538859726,0.16128632680852714
USC-SIkJalpha,11,inc death,2,BE,1.0589710345307854,0.9443128918470233,0.1138646919583194
epiforecasts-EpiNow2,11,inc death,2,BE,1.03516320569735,0.966031244634838,0.11648347813753768
IEM_Health-CovidProject,11,inc death,3,BE,1.3140981648024628,0.7609781573283922,0.09655341553427273
