location,target,type,quantile,target_end_date,forecast_date,scenario_id,value
AT,1 wk ahead inc case,point,NA,2021-05-08,2021-05-03,forecast,12166
AT,1 wk ahead inc case,quantile,0.01,2021-05-08,2021-05-03,forecast,10079
AT,1 wk ahead inc case,quantile,0.025,2021-05-08,2021-05-03,forecast,10360
AT,1 wk ahead inc case,quantile,0.05,2021-05-08,2021-05-03,forecast,10664
AT,1 wk ahead inc case,quantile,0.1,2021-05-08,2021-05-03,forecast,11003
AT,1 wk ahead inc case,quantile,0.15,2021-05-08,2021-05-03,forecast,11232
AT,1 wk ahead inc case,quantile,0.2,2021-05-08,2021-05-03,forecast,11403
AT,1 wk ahead inc case,quantile,0.25,2021-05-08,2021-05-03,forecast,11580
AT,1 wk ahead inc case,quantile,0.3,2021-05-08,2021-05-03,forecast,11681
AT,1 wk ahead inc case,quantile,0.35,2021-05-08,2021-05-03,forecast,11806
AT,1 wk ahead inc case,quantile,0.4,2021-05-08,2021-05-03,forecast,11931
AT,1 wk ahead inc case,quantile,0.45,2021-05-08,2021-05-03,forecast,12062
AT,1 wk ahead inc case,quantile,0.5,2021-05-08,2021-05-03,forecast,12166
AT,1 wk ahead inc case,quantile,0.55,2021-05-08,2021-05-03,forecast,12268
AT,1 wk ahead inc case,quantile,0.6,2021-05-08,2021-05-03,forecast,12409
AT,1 wk ahead inc case,quantile,0.65,2021-05-08,2021-05-03,forecast,12507
AT,1 wk ahead inc case,quantile,0.7,2021-05-08,2021-05-03,forecast,12645
AT,1 wk ahead inc case,quantile,0.75,2021-05-08,2021-05-03,forecast,12788
AT,1 wk ahead inc case,quantile,0.8,2021-05-08,2021-05-03,forecast,12956
AT,1 wk ahead inc case,quantile,0.85,2021-05-08,2021-05-03,forecast,13137
AT,1 wk ahead inc case,quantile,0.9,2021-05-08,2021-05-03,forecast,13385
AT,1 wk ahead inc case,quantile,0.95,2021-05-08,2021-05-03,forecast,13722
AT,1 wk ahead inc case,quantile,0.975,2021-05-08,2021-05-03,forecast,14128
AT,1 wk ahead inc case,quantile,0.99,2021-05-08,2021-05-03,forecast,14440
AT,1 wk ahead inc death,point,NA,2021-05-08,2021-05-03,forecast,156
AT,1 wk ahead inc death,quantile,0.01,2021-05-08,2021-05-03,forecast,111
AT,1 wk ahead inc death,quantile,0.025,2021-05-08,2021-05-03,forecast,119
AT,1 wk ahead inc death,quantile,0.05,2021-05-08,2021-05-03,forecast,124
AT,1 wk ahead inc death,quantile,0.1,2021-05-08,2021-05-03,forecast,131
AT,1 wk ahead inc death,quantile,0.15,2021-05-08,2021-05-03,forecast,136
AT,1 wk ahead inc death,quantile,0.2,2021-05-08,2021-05-03,forecast,141
AT,1 wk ahead inc death,quantile,0.25,2021-05-08,2021-05-03,forecast,144
AT,1 wk ahead inc death,quantile,0.3,2021-05-08,2021-05-03,forecast,147
AT,1 wk ahead inc death,quantile,0.35,2021-05-08,2021-05-03,forecast,149
AT,1 wk ahead inc death,quantile,0.4,2021-05-08,2021-05-03,forecast,152
AT,1 wk ahead inc death,quantile,0.45,2021-05-08,2021-05-03,forecast,154
AT,1 wk ahead inc death,quantile,0.5,2021-05-08,2021-05-03,forecast,156
AT,1 wk ahead inc death,quantile,0.55,2021-05-08,2021-05-03,forecast,159
AT,1 wk ahead inc death,quantile,0.6,2021-05-08,2021-05-03,forecast,161
AT,1 wk ahead inc death,quantile,0.65,2021-05-08,2021-05-03,forecast,164
AT,1 wk ahead inc death,quantile,0.7,2021-05-08,2021-05-03,forecast,167
AT,1 wk ahead inc death,quantile,0.75,2021-05-08,2021-05-03,forecast,170
AT,1 wk ahead inc death,quantile,0.8,2021-05-08,2021-05-03,forecast,173
AT,1 wk ahead inc death,quantile,0.85,2021-05-08,2021-05-03,forecast,178
AT,1 wk ahead inc death,quantile,0.9,2021-05-08,2021-05-03,forecast,183
AT,1 wk ahead inc death,quantile,0.95,2021-05-08,2021-05-03,forecast,194
AT,1 wk ahead inc death,quantile,0.975,2021-05-08,2021-05-03,forecast,202
AT,1 wk ahead inc death,quantile,0.99,2021-05-08,2021-05-03,forecast,212
AT,2 wk ahead inc case,point,NA,2021-05-15,2021-05-03,forecast,11176
AT,2 wk ahead inc case,quantile,0.01,2021-05-15,2021-05-03,forecast,8070
AT,2 wk ahead inc case,quantile,0.025,2021-05-15,2021-05-03,forecast,8626
AT,2 wk ahead inc case,quantile,0.05,2021-05-15,2021-05-03,forecast,8947
AT,2 wk ahead inc case,quantile,0.1,2021-05-15,2021-05-03,forecast,9363
AT,2 wk ahead inc case,quantile,0.15,2021-05-15,2021-05-03,forecast,9715
AT,2 wk ahead inc case,quantile,0.2,2021-05-15,2021-05-03,forecast,9971
AT,2 wk ahead inc case,quantile,0.25,2021-05-15,2021-05-03,forecast,10270
AT,2 wk ahead inc case,quantile,0.3,2021-05-15,2021-05-03,forecast,10483
AT,2 wk ahead inc case,quantile,0.35,2021-05-15,2021-05-03,forecast,10627
AT,2 wk ahead inc case,quantile,0.4,2021-05-15,2021-05-03,forecast,10846
AT,2 wk ahead inc case,quantile,0.45,2021-05-15,2021-05-03,forecast,11020
AT,2 wk ahead inc case,quantile,0.5,2021-05-15,2021-05-03,forecast,11176
AT,2 wk ahead inc case,quantile,0.55,2021-05-15,2021-05-03,forecast,11379
AT,2 wk ahead inc case,quantile,0.6,2021-05-15,2021-05-03,forecast,11575
AT,2 wk ahead inc case,quantile,0.65,2021-05-15,2021-05-03,forecast,11802
AT,2 wk ahead inc case,quantile,0.7,2021-05-15,2021-05-03,forecast,12020
AT,2 wk ahead inc case,quantile,0.75,2021-05-15,2021-05-03,forecast,12353
AT,2 wk ahead inc case,quantile,0.8,2021-05-15,2021-05-03,forecast,12626
AT,2 wk ahead inc case,quantile,0.85,2021-05-15,2021-05-03,forecast,12961
AT,2 wk ahead inc case,quantile,0.9,2021-05-15,2021-05-03,forecast,13482
AT,2 wk ahead inc case,quantile,0.95,2021-05-15,2021-05-03,forecast,14144
AT,2 wk ahead inc case,quantile,0.975,2021-05-15,2021-05-03,forecast,14845
AT,2 wk ahead inc case,quantile,0.99,2021-05-15,2021-05-03,forecast,15561
AT,2 wk ahead inc death,point,NA,2021-05-15,2021-05-03,forecast,139
AT,2 wk ahead inc death,quantile,0.01,2021-05-15,2021-05-03,forecast,100
AT,2 wk ahead inc death,quantile,0.025,2021-05-15,2021-05-03,forecast,105
AT,2 wk ahead inc death,quantile,0.05,2021-05-15,2021-05-03,forecast,109
AT,2 wk ahead inc death,quantile,0.1,2021-05-15,2021-05-03,forecast,116
AT,2 wk ahead inc death,quantile,0.15,2021-05-15,2021-05-03,forecast,120
AT,2 wk ahead inc death,quantile,0.2,2021-05-15,2021-05-03,forecast,123
AT,2 wk ahead inc death,quantile,0.25,2021-05-15,2021-05-03,forecast,126
AT,2 wk ahead inc death,quantile,0.3,2021-05-15,2021-05-03,forecast,129
AT,2 wk ahead inc death,quantile,0.35,2021-05-15,2021-05-03,forecast,132
AT,2 wk ahead inc death,quantile,0.4,2021-05-15,2021-05-03,forecast,134
AT,2 wk ahead inc death,quantile,0.45,2021-05-15,2021-05-03,forecast,136
AT,2 wk ahead inc death,quantile,0.5,2021-05-15,2021-05-03,forecast,139
AT,2 wk ahead inc death,quantile,0.55,2021-05-15,2021-05-03,forecast,141
AT,2 wk ahead inc death,quantile,0.6,2021-05-15,2021-05-03,forecast,143
AT,2 wk ahead inc death,quantile,0.65,2021-05-15,2021-05-03,forecast,147
AT,2 wk ahead inc death,quantile,0.7,2021-05-15,2021-05-03,forecast,150
AT,2 wk ahead inc death,quantile,0.75,2021-05-15,2021-05-03,forecast,153
AT,2 wk ahead inc death,quantile,0.8,2021-05-15,2021-05-03,forecast,157
AT,2 wk ahead inc death,quantile,0.85,2021-05-15,2021-05-03,forecast,161
AT,2 wk ahead inc death,quantile,0.9,2021-05-15,2021-05-03,forecast,167
AT,2 wk ahead inc death,quantile,0.95,2021-05-15,2021-05-03,forecast,175
AT,2 wk ahead inc death,quantile,0.975,2021-05-15,2021-05-03,forecast,184
AT,2 wk ahead inc death,quantile,0.99,2021-05-15,2021-05-03,forecast,203
AT,3 wk ahead inc case,point,NA,2021-05-22,2021-05-03,forecast,10468
AT,3 wk ahead inc case,quantile,0.01,2021-05-22,2021-05-03,forecast,6083
AT,3 wk ahead inc case,quantile,0.025,2021-05-22,2021-05-03,forecast,6530
AT,3 wk ahead inc case,quantile,0.05,2021-05-22,2021-05-03,forecast,7112
AT,3 wk ahead inc case,quantile,0.1,2021-05-22,2021-05-03,forecast,7691
AT,3 wk ahead inc case,quantile,0.15,2021-05-22,2021-05-03,forecast,8151
AT,3 wk ahead inc case,quantile,0.2,2021-05-22,2021-05-03,forecast,8587
AT,3 wk ahead inc case,quantile,0.25,2021-05-22,2021-05-03,forecast,8914
AT,3 wk ahead inc case,quantile,0.3,2021-05-22,2021-05-03,forecast,9244
AT,3 wk ahead inc case,quantile,0.35,2021-05-22,2021-05-03,forecast,9525
AT,3 wk ahead inc case,quantile,0.4,2021-05-22,2021-05-03,forecast,9805
AT,3 wk ahead inc case,quantile,0.45,2021-05-22,2021-05-03,forecast,10170
AT,3 wk ahead inc case,quantile,0.5,2021-05-22,2021-05-03,forecast,10468
AT,3 wk ahead inc case,quantile,0.55,2021-05-22,2021-05-03,forecast,10767
AT,3 wk ahead inc case,quantile,0.6,2021-05-22,2021-05-03,forecast,11124
AT,3 wk ahead inc case,quantile,0.65,2021-05-22,2021-05-03,forecast,11427
AT,3 wk ahead inc case,quantile,0.7,2021-05-22,2021-05-03,forecast,11866
AT,3 wk ahead inc case,quantile,0.75,2021-05-22,2021-05-03,forecast,12298
AT,3 wk ahead inc case,quantile,0.8,2021-05-22,2021-05-03,forecast,12812
AT,3 wk ahead inc case,quantile,0.85,2021-05-22,2021-05-03,forecast,13447
AT,3 wk ahead inc case,quantile,0.9,2021-05-22,2021-05-03,forecast,14071
AT,3 wk ahead inc case,quantile,0.95,2021-05-22,2021-05-03,forecast,15322
AT,3 wk ahead inc case,quantile,0.975,2021-05-22,2021-05-03,forecast,17067
AT,3 wk ahead inc case,quantile,0.99,2021-05-22,2021-05-03,forecast,18143
AT,3 wk ahead inc death,point,NA,2021-05-22,2021-05-03,forecast,127
AT,3 wk ahead inc death,quantile,0.01,2021-05-22,2021-05-03,forecast,82
AT,3 wk ahead inc death,quantile,0.025,2021-05-22,2021-05-03,forecast,89
AT,3 wk ahead inc death,quantile,0.05,2021-05-22,2021-05-03,forecast,95
