location,target,type,quantile,target_end_date,forecast_date,value
AT,1 wk ahead inc case,point,NA,2021-05-15,2021-05-10,8218
AT,1 wk ahead inc case,quantile,0.01,2021-05-15,2021-05-10,4012
AT,1 wk ahead inc case,quantile,0.025,2021-05-15,2021-05-10,4582
AT,1 wk ahead inc case,quantile,0.05,2021-05-15,2021-05-10,5004
AT,1 wk ahead inc case,quantile,0.1,2021-05-15,2021-05-10,5566
AT,1 wk ahead inc case,quantile,0.15,2021-05-15,2021-05-10,5940
AT,1 wk ahead inc case,quantile,0.2,2021-05-15,2021-05-10,6326
AT,1 wk ahead inc case,quantile,0.25,2021-05-15,2021-05-10,6722
AT,1 wk ahead inc case,quantile,0.3,2021-05-15,2021-05-10,7032
AT,1 wk ahead inc case,quantile,0.35,2021-05-15,2021-05-10,7321
AT,1 wk ahead inc case,quantile,0.4,2021-05-15,2021-05-10,7571
AT,1 wk ahead inc case,quantile,0.45,2021-05-15,2021-05-10,7899
AT,1 wk ahead inc case,quantile,0.5,2021-05-15,2021-05-10,8218
AT,1 wk ahead inc case,quantile,0.55,2021-05-15,2021-05-10,8448
AT,1 wk ahead inc case,quantile,0.6,2021-05-15,2021-05-10,8700
AT,1 wk ahead inc case,quantile,0.65,2021-05-15,2021-05-10,9073
AT,1 wk ahead inc case,quantile,0.7,2021-05-15,2021-05-10,9433
AT,1 wk ahead inc case,quantile,0.75,2021-05-15,2021-05-10,9814
AT,1 wk ahead inc case,quantile,0.8,2021-05-15,2021-05-10,10200
AT,1 wk ahead inc case,quantile,0.85,2021-05-15,2021-05-10,10872
AT,1 wk ahead inc case,quantile,0.9,2021-05-15,2021-05-10,11576
AT,1 wk ahead inc case,quantile,0.95,2021-05-15,2021-05-10,12655
AT,1 wk ahead inc case,quantile,0.975,2021-05-15,2021-05-10,13667
AT,1 wk ahead inc case,quantile,0.99,2021-05-15,2021-05-10,14716
AT,1 wk ahead inc death,point,NA,2021-05-15,2021-05-10,122
AT,1 wk ahead inc death,quantile,0.01,2021-05-15,2021-05-10,80
AT,1 wk ahead inc death,quantile,0.025,2021-05-15,2021-05-10,87
AT,1 wk ahead inc death,quantile,0.05,2021-05-15,2021-05-10,92
AT,1 wk ahead inc death,quantile,0.1,2021-05-15,2021-05-10,97
AT,1 wk ahead inc death,quantile,0.15,2021-05-15,2021-05-10,101
AT,1 wk ahead inc death,quantile,0.2,2021-05-15,2021-05-10,105
AT,1 wk ahead inc death,quantile,0.25,2021-05-15,2021-05-10,108
AT,1 wk ahead inc death,quantile,0.3,2021-05-15,2021-05-10,111
AT,1 wk ahead inc death,quantile,0.35,2021-05-15,2021-05-10,114
AT,1 wk ahead inc death,quantile,0.4,2021-05-15,2021-05-10,116
AT,1 wk ahead inc death,quantile,0.45,2021-05-15,2021-05-10,119
AT,1 wk ahead inc death,quantile,0.5,2021-05-15,2021-05-10,122
AT,1 wk ahead inc death,quantile,0.55,2021-05-15,2021-05-10,124
AT,1 wk ahead inc death,quantile,0.6,2021-05-15,2021-05-10,127
AT,1 wk ahead inc death,quantile,0.65,2021-05-15,2021-05-10,129
AT,1 wk ahead inc death,quantile,0.7,2021-05-15,2021-05-10,132
AT,1 wk ahead inc death,quantile,0.75,2021-05-15,2021-05-10,135
AT,1 wk ahead inc death,quantile,0.8,2021-05-15,2021-05-10,139
AT,1 wk ahead inc death,quantile,0.85,2021-05-15,2021-05-10,143
AT,1 wk ahead inc death,quantile,0.9,2021-05-15,2021-05-10,148
AT,1 wk ahead inc death,quantile,0.95,2021-05-15,2021-05-10,155
AT,1 wk ahead inc death,quantile,0.975,2021-05-15,2021-05-10,167
AT,1 wk ahead inc death,quantile,0.99,2021-05-15,2021-05-10,181
AT,2 wk ahead inc case,point,NA,2021-05-22,2021-05-10,6440
AT,2 wk ahead inc case,quantile,0.01,2021-05-22,2021-05-10,1774
AT,2 wk ahead inc case,quantile,0.025,2021-05-22,2021-05-10,2257
AT,2 wk ahead inc case,quantile,0.05,2021-05-22,2021-05-10,2604
AT,2 wk ahead inc case,quantile,0.1,2021-05-22,2021-05-10,3245
AT,2 wk ahead inc case,quantile,0.15,2021-05-22,2021-05-10,3707
AT,2 wk ahead inc case,quantile,0.2,2021-05-22,2021-05-10,4158
AT,2 wk ahead inc case,quantile,0.25,2021-05-22,2021-05-10,4605
AT,2 wk ahead inc case,quantile,0.3,2021-05-22,2021-05-10,4947
AT,2 wk ahead inc case,quantile,0.35,2021-05-22,2021-05-10,5227
AT,2 wk ahead inc case,quantile,0.4,2021-05-22,2021-05-10,5622
AT,2 wk ahead inc case,quantile,0.45,2021-05-22,2021-05-10,6046
AT,2 wk ahead inc case,quantile,0.5,2021-05-22,2021-05-10,6440
AT,2 wk ahead inc case,quantile,0.55,2021-05-22,2021-05-10,6813
AT,2 wk ahead inc case,quantile,0.6,2021-05-22,2021-05-10,7306
AT,2 wk ahead inc case,quantile,0.65,2021-05-22,2021-05-10,7737
AT,2 wk ahead inc case,quantile,0.7,2021-05-22,2021-05-10,8341
AT,2 wk ahead inc case,quantile,0.75,2021-05-22,2021-05-10,8901
AT,2 wk ahead inc case,quantile,0.8,2021-05-22,2021-05-10,9632
AT,2 wk ahead inc case,quantile,0.85,2021-05-22,2021-05-10,10701
AT,2 wk ahead inc case,quantile,0.9,2021-05-22,2021-05-10,11909
AT,2 wk ahead inc case,quantile,0.95,2021-05-22,2021-05-10,13795
AT,2 wk ahead inc case,quantile,0.975,2021-05-22,2021-05-10,15734
AT,2 wk ahead inc case,quantile,0.99,2021-05-22,2021-05-10,18669
AT,2 wk ahead inc death,point,NA,2021-05-22,2021-05-10,100
AT,2 wk ahead inc death,quantile,0.01,2021-05-22,2021-05-10,51
AT,2 wk ahead inc death,quantile,0.025,2021-05-22,2021-05-10,59
AT,2 wk ahead inc death,quantile,0.05,2021-05-22,2021-05-10,65
AT,2 wk ahead inc death,quantile,0.1,2021-05-22,2021-05-10,72
AT,2 wk ahead inc death,quantile,0.15,2021-05-22,2021-05-10,78
AT,2 wk ahead inc death,quantile,0.2,2021-05-22,2021-05-10,82
AT,2 wk ahead inc death,quantile,0.25,2021-05-22,2021-05-10,86
AT,2 wk ahead inc death,quantile,0.3,2021-05-22,2021-05-10,89
AT,2 wk ahead inc death,quantile,0.35,2021-05-22,2021-05-10,92
AT,2 wk ahead inc death,quantile,0.4,2021-05-22,2021-05-10,95
AT,2 wk ahead inc death,quantile,0.45,2021-05-22,2021-05-10,97
AT,2 wk ahead inc death,quantile,0.5,2021-05-22,2021-05-10,100
AT,2 wk ahead inc death,quantile,0.55,2021-05-22,2021-05-10,102
AT,2 wk ahead inc death,quantile,0.6,2021-05-22,2021-05-10,105
AT,2 wk ahead inc death,quantile,0.65,2021-05-22,2021-05-10,107
AT,2 wk ahead inc death,quantile,0.7,2021-05-22,2021-05-10,111
AT,2 wk ahead inc death,quantile,0.75,2021-05-22,2021-05-10,115
AT,2 wk ahead inc death,quantile,0.8,2021-05-22,2021-05-10,119
AT,2 wk ahead inc death,quantile,0.85,2021-05-22,2021-05-10,123
AT,2 wk ahead inc death,quantile,0.9,2021-05-22,2021-05-10,129
AT,2 wk ahead inc death,quantile,0.95,2021-05-22,2021-05-10,139
AT,2 wk ahead inc death,quantile,0.975,2021-05-22,2021-05-10,149
AT,2 wk ahead inc death,quantile,0.99,2021-05-22,2021-05-10,159
AT,3 wk ahead inc case,point,NA,2021-05-29,2021-05-10,5378
AT,3 wk ahead inc case,quantile,0.01,2021-05-29,2021-05-10,816
