model,GM_cum_death,PL_cum_death,GM_inc_death,PL_inc_death,GM_cum_case,PL_cum_case,GM_inc_case,PL_inc_case
FIAS_FZJ-Epi1Ger,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIT-baseline,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIT-time_series_baseline,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LANL-GrowthRate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MIT_CovidAnalytics-DELPHI,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
MOCOS-agent1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ICM-agentModel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITWW-county_repro,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LeipzigIMISE-SECIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
epiforecasts-EpiExpert,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Karlen-pypm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
USC-SIkJalpha,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
