location_name,location,target_variable,date,value,source,snapshot_date
Austria,AT,inc case,2020-01-04,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-04,0,ECDC,2022-08-12
Austria,AT,inc case,2020-01-11,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-11,0,ECDC,2022-08-12
Austria,AT,inc case,2020-01-18,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-18,0,ECDC,2022-08-12
Austria,AT,inc case,2020-01-25,0,ECDC,2022-08-12
Austria,AT,inc death,2020-01-25,0,ECDC,2022-08-12
Austria,AT,inc case,2020-02-01,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-01,0,ECDC,2022-08-12
Austria,AT,inc case,2020-02-08,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-08,0,ECDC,2022-08-12
Austria,AT,inc case,2020-02-15,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-15,0,ECDC,2022-08-12
Austria,AT,inc case,2020-02-22,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-22,0,ECDC,2022-08-12
Austria,AT,inc death,2020-02-29,0,ECDC,2022-08-12
Austria,AT,hospitaladmissions,2020-02-29,4,ECDC,2024-01-26
Austria,AT,inc hospitalization,2020-02-29,4,ECDC,2024-09-06
Austria,AT,inc case,2020-02-29,12,ECDC,2022-08-12
Austria,AT,inc death,2020-03-07,0,ECDC,2022-08-12
Austria,AT,ICUadmissions,2020-03-07,2,ECDC,2024-01-26
Austria,AT,hospitaladmissions,2020-03-07,14,ECDC,2024-01-26
Austria,AT,inc hospitalization,2020-03-07,14,ECDC,2024-09-06
Austria,AT,inc case,2020-03-07,114,ECDC,2022-08-12
Austria,AT,inc death,2020-03-14,3,ECDC,2022-08-12
Austria,AT,ICUadmissions,2020-03-14,8,ECDC,2024-01-26
Austria,AT,hospitaladmissions,2020-03-14,46,ECDC,2024-01-26
Austria,AT,inc hospitalization,2020-03-14,46,ECDC,2024-09-06
Austria,AT,inc case,2020-03-14,873,ECDC,2022-08-12
Austria,AT,inc death,2020-03-21,31,ECDC,2022-08-12
