"target_end_date","location","target","forecast_date","type","value","quantile"
2022-01-22,"IT","1 wk ahead inc death","2022-01-17","quantile",955,0.025
2022-01-29,"IT","2 wk ahead inc death","2022-01-17","quantile",713,0.025
2022-02-05,"IT","3 wk ahead inc death","2022-01-17","quantile",553,0.025
2022-02-12,"IT","4 wk ahead inc death","2022-01-17","quantile",487,0.025
2022-01-22,"IT","1 wk ahead inc death","2022-01-17","point",1945,NA
2022-01-29,"IT","2 wk ahead inc death","2022-01-17","point",1942,NA
2022-02-05,"IT","3 wk ahead inc death","2022-01-17","point",2012,NA
2022-02-12,"IT","4 wk ahead inc death","2022-01-17","point",1855,NA
2022-01-22,"IT","1 wk ahead inc death","2022-01-17","quantile",3442,0.975
2022-01-29,"IT","2 wk ahead inc death","2022-01-17","quantile",3954,0.975
2022-02-05,"IT","3 wk ahead inc death","2022-01-17","quantile",4989,0.975
2022-02-12,"IT","4 wk ahead inc death","2022-01-17","quantile",5118,0.975
