"target_end_date","location","target","forecast_date","type","value","quantile"
2022-06-25,"IT","1 wk ahead inc case","2022-06-20","quantile",48515,0.025
2022-07-02,"IT","2 wk ahead inc case","2022-06-20","quantile",7616,0.025
2022-07-09,"IT","3 wk ahead inc case","2022-06-20","quantile",4843,0.025
2022-07-16,"IT","4 wk ahead inc case","2022-06-20","quantile",3645,0.025
2022-06-25,"IT","1 wk ahead inc case","2022-06-20","point",251370,NA
2022-07-02,"IT","2 wk ahead inc case","2022-06-20","point",297920,NA
2022-07-09,"IT","3 wk ahead inc case","2022-06-20","point",345155,NA
2022-07-16,"IT","4 wk ahead inc case","2022-06-20","point",388251,NA
2022-06-25,"IT","1 wk ahead inc case","2022-06-20","quantile",417816,0.975
2022-07-02,"IT","2 wk ahead inc case","2022-06-20","quantile",648700,0.975
2022-07-09,"IT","3 wk ahead inc case","2022-06-20","quantile",927607,0.975
2022-07-16,"IT","4 wk ahead inc case","2022-06-20","quantile",1231179,0.975
2022-06-25,"IT","1 wk ahead inc death","2022-06-20","quantile",157,0.025
2022-07-02,"IT","2 wk ahead inc death","2022-06-20","quantile",138,0.025
2022-07-09,"IT","3 wk ahead inc death","2022-06-20","quantile",125,0.025
2022-07-16,"IT","4 wk ahead inc death","2022-06-20","quantile",116,0.025
2022-06-25,"IT","1 wk ahead inc death","2022-06-20","point",352,NA
2022-07-02,"IT","2 wk ahead inc death","2022-06-20","point",367,NA
2022-07-09,"IT","3 wk ahead inc death","2022-06-20","point",382,NA
2022-07-16,"IT","4 wk ahead inc death","2022-06-20","point",396,NA
2022-06-25,"IT","1 wk ahead inc death","2022-06-20","quantile",704,0.975
2022-07-02,"IT","2 wk ahead inc death","2022-06-20","quantile",868,0.975
2022-07-09,"IT","3 wk ahead inc death","2022-06-20","quantile",1034,0.975
2022-07-16,"IT","4 wk ahead inc death","2022-06-20","quantile",1173,0.975
