"target_end_date","location","target","forecast_date","type","value","quantile"
2022-07-02,"IT","1 wk ahead inc case","2022-06-27","quantile",50341,0.025
2022-07-09,"IT","2 wk ahead inc case","2022-06-27","quantile",9305,0.025
2022-07-16,"IT","3 wk ahead inc case","2022-06-27","quantile",4873,0.025
2022-07-23,"IT","4 wk ahead inc case","2022-06-27","quantile",3525,0.025
2022-07-02,"IT","1 wk ahead inc case","2022-06-27","point",438516,NA
2022-07-09,"IT","2 wk ahead inc case","2022-06-27","point",567557,NA
2022-07-16,"IT","3 wk ahead inc case","2022-06-27","point",703429,NA
2022-07-23,"IT","4 wk ahead inc case","2022-06-27","point",865956,NA
2022-07-02,"IT","1 wk ahead inc case","2022-06-27","quantile",729657,0.975
2022-07-09,"IT","2 wk ahead inc case","2022-06-27","quantile",1381811,0.975
2022-07-16,"IT","3 wk ahead inc case","2022-06-27","quantile",2499840,0.975
2022-07-23,"IT","4 wk ahead inc case","2022-06-27","quantile",4100244,0.975
2022-07-02,"IT","1 wk ahead inc death","2022-06-27","quantile",176,0.025
2022-07-09,"IT","2 wk ahead inc death","2022-06-27","quantile",164,0.025
2022-07-16,"IT","3 wk ahead inc death","2022-06-27","quantile",164,0.025
2022-07-23,"IT","4 wk ahead inc death","2022-06-27","quantile",162,0.025
2022-07-02,"IT","1 wk ahead inc death","2022-06-27","point",379,NA
2022-07-09,"IT","2 wk ahead inc death","2022-06-27","point",408,NA
2022-07-16,"IT","3 wk ahead inc death","2022-06-27","point",439,NA
2022-07-23,"IT","4 wk ahead inc death","2022-06-27","point",464,NA
2022-07-02,"IT","1 wk ahead inc death","2022-06-27","quantile",772,0.975
2022-07-09,"IT","2 wk ahead inc death","2022-06-27","quantile",957,0.975
2022-07-16,"IT","3 wk ahead inc death","2022-06-27","quantile",1190,0.975
2022-07-23,"IT","4 wk ahead inc death","2022-06-27","quantile",1367,0.975
