target_end_date,location,target,forecast_date,type,value,quantile
2022-06-18,IT,1 wk ahead inc case,2022-06-13,quantile,81739,0.025
2022-06-25,IT,2 wk ahead inc case,2022-06-13,quantile,58890,0.025
2022-07-02,IT,3 wk ahead inc case,2022-06-13,quantile,43994,0.025
2022-07-09,IT,4 wk ahead inc case,2022-06-13,quantile,33037,0.025
2022-06-18,IT,1 wk ahead inc case,2022-06-13,point,122124,NA
2022-06-25,IT,2 wk ahead inc case,2022-06-13,point,106828,NA
2022-07-02,IT,3 wk ahead inc case,2022-06-13,point,92894,NA
2022-07-09,IT,4 wk ahead inc case,2022-06-13,point,81545,NA
2022-06-18,IT,1 wk ahead inc case,2022-06-13,quantile,181576,0.975
2022-06-25,IT,2 wk ahead inc case,2022-06-13,quantile,196528,0.975
2022-07-02,IT,3 wk ahead inc case,2022-06-13,quantile,200429,0.975
2022-07-09,IT,4 wk ahead inc case,2022-06-13,quantile,198001,0.975
2022-06-18,IT,1 wk ahead inc death,2022-06-13,quantile,220,0.025
2022-06-25,IT,2 wk ahead inc death,2022-06-13,quantile,202,0.025
2022-07-02,IT,3 wk ahead inc death,2022-06-13,quantile,194,0.025
2022-07-09,IT,4 wk ahead inc death,2022-06-13,quantile,187,0.025
2022-06-18,IT,1 wk ahead inc death,2022-06-13,point,453,NA
2022-06-25,IT,2 wk ahead inc death,2022-06-13,point,479,NA
2022-07-02,IT,3 wk ahead inc death,2022-06-13,point,500,NA
2022-07-09,IT,4 wk ahead inc death,2022-06-13,point,511,NA
2022-06-18,IT,1 wk ahead inc death,2022-06-13,quantile,885,0.975
2022-06-25,IT,2 wk ahead inc death,2022-06-13,quantile,1110,0.975
2022-07-02,IT,3 wk ahead inc death,2022-06-13,quantile,1302,0.975
2022-07-09,IT,4 wk ahead inc death,2022-06-13,quantile,1476,0.975
