"forecast_date","target","target_end_date","location","type","quantile","value","forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","point",NA,48914,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","point",NA,2018082,"forecast"
2021-03-15,"1 wk ahead inc death",2021-03-20,"PL","point",NA,1912,2021-03-15,"1 wk ahead inc case",2021-03-20,"PL","point",NA,129039,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.01,48870,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.01,2001089,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.025,48875,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.025,2003696,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.05,48883,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.05,2006288,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.1,48890,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.1,2008495,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.15,48894,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.15,2010513,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.2,48898,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.2,2011973,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.25,48901,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.25,2013333,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.3,48904,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.3,2014327,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.35,48907,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.35,2015317,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.4,48909,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.4,2016257,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.45,48912,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.45,2017173,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.5,48914,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.5,2018082,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.55,48916,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.55,2019054,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.6,48918,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.6,2019898,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.65,48921,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.65,2020829,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.7,48924,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.7,2022104,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.75,48926,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.75,2023171,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.8,48930,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.8,2024246,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.85,48934,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.85,2025556,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.9,48938,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.9,2027491,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.95,48944,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.95,2029623,"forecast"
2021-03-15,"1 wk ahead cum death",2021-03-20,"PL","quantile",0.975,48951,2021-03-15,"1 wk ahead cum case",2021-03-20,"PL","quantile",0.975,2032521,"forecast"
