"scenario_id","forecast_date","target","target_end_date","location","type","quantile","value"
"EXAMPLE",2021-02-01,"4 wk ahead inc case",2021-02-06,"EXAMPLE","point",NA,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","point",NA,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.01,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.025,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.05,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.1,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.15,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.2,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.25,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.3,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.35,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.4,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.45,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.5,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.55,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.6,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.65,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.7,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.75,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.8,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.85,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.9,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.95,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.975,1
"forecast",2021-02-01,"1 wk ahead inc case",2021-02-07,"BEL","quantile",0.99,1
"forecast",2021-02-01,"2 wk ahead inc case",2021-02-14,"BEL","point",NA,1
"forecast",2021-02-01,"2 wk ahead inc case",2021-02-14,"BEL","quantile",0.01,1
"forecast",2021-02-01,"2 wk ahead inc case",2021-02-14,"BEL","quantile",0.025,1
"forecast",2021-02-01,"2 wk ahead inc case",2021-02-14,"BEL","quantile",0.05,1
